experiment,condition,R_min_mbps,wall_time_s,seconds_per_trial,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
target_local_v1_communication,Rmin_0.1Mbps,0.1,44.052791199996136,0.4405279119999614,proposed_c2f_adaptive_pd,0.979,0.9681094652438844,0.9862243659103536,0.009057450333234573,0.04897822445561139,0.04873333333333333,7782.4,12.970666666666668,12.16,1.0,1.0,518.54,0.5314911618169282,3.0003562409235167,1.0357534246777742,1.2679896079802966,0.9996451511627328,0.9964110956288924,0.9997316200834342,2.0192498078846386,1.0,1.0,5895562.047935251,2154.9429726272338,34.81204360853234,148128.90648869783,518.54,119.14,0.9953766233766234,0.88,102373.45452654648,0.97,0.9790000000000001,0.96,1.0,0.12579666940789475,0.07547800164473684,757550.6332153643,454530.37992921856
target_local_v1_communication,Rmin_0.2Mbps,0.2,43.17474320001202,0.43174743200012017,proposed_c2f_adaptive_pd,0.979,0.9681094652438844,0.9862243659103536,0.009057450333234573,0.04897822445561139,0.04873333333333333,7782.4,12.970666666666668,12.16,1.0,1.0,518.54,0.5314911618169282,3.0003562409235167,1.0357534246777742,1.2679896079802966,0.9996451511627328,0.9964110956288924,0.9997316200834342,2.0192498078846386,1.0,1.0,5895562.047935251,2154.9429726272338,34.81204360853234,148128.90648869783,518.54,119.14,0.9953766233766234,0.88,102373.45452654648,0.97,0.9790000000000001,0.96,1.0,0.12579666940789475,0.07547800164473684,757550.6332153643,454530.37992921856
target_local_v1_communication,Rmin_0.5Mbps,0.5,42.27733050001552,0.42277330500015525,proposed_c2f_adaptive_pd,0.979,0.9681094652438844,0.9862243659103536,0.009057450333234573,0.04897822445561139,0.04873333333333333,7782.4,12.970666666666668,12.16,1.0,1.0,518.54,0.5314911618169282,3.0003562409235167,1.0357534246777742,1.2679896079802966,0.9996451511627328,0.9964110956288924,0.9997316200834342,2.0192498078846386,1.0,1.0,5895562.047935251,2154.9429726272338,34.81204360853234,148128.90648869783,518.54,119.14,0.9953766233766234,0.88,102373.45452654648,0.97,0.9790000000000001,0.96,1.0,0.12579666940789475,0.07547800164473684,757550.6332153643,454530.37992921856
target_local_v1_communication,Rmin_1Mbps,1.0,37.32121019996703,0.37321210199967025,proposed_c2f_adaptive_pd,0.974,0.9621759154980226,0.9821961846420791,0.010010134572028262,0.048844221105527635,0.0486,7884.8,13.141333333333334,12.32,1.0,1.0,313.05,0.33633679267554795,3.240898004639499,1.3227414258081933,1.5308407441595255,1.0,1.0,1.0,2.7611527881551137,1.0,1.0,5895479.793952146,1982.1455496690182,32.58510846487946,148128.90648869783,313.05,118.8,0.9953766233766234,0.87,102360.51007948708,0.97,0.974,0.95,1.0,0.12352881493506493,0.07411728896103896,747701.8813352457,448621.12880114745
target_local_v1_communication,Rmin_2Mbps,2.0,25.70064120000461,0.2570064120000461,proposed_c2f_adaptive_pd,0.901,0.8809259831949872,0.9180048441387278,0.018539430471870344,0.0496969696969697,0.04646666666666667,7264.0,12.106666666666671,11.35,0.9400000000000002,0.9400000000000002,129.53,0.15785398832573466,3.977361241224699,2.2742063530907553,2.446379761790958,1.0,1.0,1.0,4.676770770063185,1.0,1.0,5892877.200787937,1106.9359291607636,6.5679020391746725,127724.24367863516,129.53,91.59,0.9952175324675325,0.57,100775.92153633636,0.87,0.9010000000000001,0.86,0.94,0.1240363436123348,0.07442180616740085,811244.1080379869,486746.464822792
