split,scene_id,boost_db,two_cpi_h0,two_cpi_h1,perfect_two_cpi_h0,perfect_two_cpi_h1,crossfit_map_h0,map_seconds_h0,crossfit_map_h1,map_seconds_h1
train,0,50.0,15.416296232261738,13.103546660430155,13.221909382023343,11.39081760107701,13.225846797713679,5.470810999860987,12.387039686216367,5.554314299952239
calibration,1,50.0,14.446163129663159,14.04049088188485,13.55962806651107,16.706506582654,13.884188501467506,5.493403600063175,14.663963599633082,5.423939200118184
calibration,2,50.0,18.67236769210056,41.48950002897682,13.715245626704405,26.183402063103102,12.649980557871942,5.57527850009501,27.24849176605707,5.631075199926272
calibration,3,50.0,143.4681353510724,118.99702886769452,14.716623220121864,43.41395559021143,11.328863190153616,5.676813300000504,27.19823910293971,5.636812499957159
calibration,4,50.0,60.4704789516902,81.90918479669723,22.837881418176934,49.309294408327126,17.505331214834108,5.710522600216791,39.01358148590795,5.74620379996486
calibration,5,50.0,18.283860895161844,27.026670952971422,13.70136063266445,35.119174079463185,15.431037783620978,5.656653499929234,20.808884017975704,5.68261139979586
calibration,6,50.0,17.73146136347993,12.451711640339255,18.01231943311337,11.011861428299872,18.04996891802344,5.685592900030315,11.419882300221715,5.728406599955633
calibration,7,50.0,11.95427394212306,19.008312017521966,9.988794306384817,17.79594159314737,9.572774877212002,5.672292400151491,17.943189630072986,5.710661299992353
calibration,8,50.0,13.526681451124356,18.40150117296816,12.14822337114026,17.27960196506751,12.735520725360795,5.724405900109559,17.021864296636068,5.802584999939427
calibration,9,50.0,16.63433526614476,14.273376713214613,15.051173085371316,10.466665462144022,16.05573860249028,5.647389000048861,11.014190104104971,5.601292900042608
calibration,10,50.0,26.04707157033328,34.202776108301265,19.169078341880503,41.58491162996219,17.811554767103566,5.646853700047359,24.064144833348962,5.696532800095156
calibration,11,50.0,21.119760617417427,14.873153397836864,20.488560596304765,14.486103675509181,21.812842310542788,5.652378899976611,14.892549592511294,5.664973499951884
calibration,12,50.0,16.119190263035744,85.4208939248266,19.251965165567253,84.05379200007545,14.348480032472409,5.680111800087616,74.0564296887593,5.637468499829993
