trial,arm,p_d,p_fa,n_selected,kappa_db_median,rinr_db_median
0,open_loop,0.0,0.0,0,34.72062442712779,43.82223703100182
0,measured,0.6666666666666666,0.05555555555555555,9,34.72062442712779,8.074517045995051
0,structural_only,1.0,0.044444444444444446,3,34.72062442712779,-5.775843331359286
1,open_loop,0.0,0.0,0,39.62166741176911,46.022912583702364
1,measured,0.3333333333333333,0.03333333333333333,13,39.62166741176911,6.259868310680895
1,structural_only,0.6666666666666666,0.03333333333333333,13,39.62166741176911,-5.822552526689304
2,open_loop,0.0,0.0,0,37.24942989408326,42.973976900001624
2,measured,0.3333333333333333,0.044444444444444446,18,37.24942989408326,5.226004037561122
2,structural_only,0.6666666666666666,0.06666666666666667,9,37.24942989408326,-5.800720171730555
3,open_loop,0.0,0.0,0,34.56350999948488,42.44473771839412
3,measured,0.3333333333333333,0.011111111111111112,13,34.56350999948488,8.161237238465606
3,structural_only,1.0,0.022222222222222223,4,34.56350999948488,-5.749332506760711
4,open_loop,0.0,0.0,0,35.267806151578185,43.02773252153595
4,measured,0.6666666666666666,0.03333333333333333,13,35.267806151578185,7.018332400476774
4,structural_only,1.0,0.044444444444444446,8,35.267806151578185,-5.776436711911064
5,open_loop,0.0,0.0,0,38.056966887719284,46.11643266763558
5,measured,0.3333333333333333,0.044444444444444446,16,38.056966887719284,7.772661292704326
5,structural_only,1.0,0.044444444444444446,13,38.056966887719284,-5.803771179077302
6,open_loop,0.0,0.0,0,38.91918235917501,42.34973556482683
6,measured,0.6666666666666666,0.03333333333333333,8,38.91918235917501,6.890125168522264
6,structural_only,1.0,0.05555555555555555,8,38.91918235917501,-5.803764890696099
7,open_loop,0.0,0.0,0,35.92005186877079,42.918622763389905
7,measured,0.6666666666666666,0.07777777777777778,13,35.92005186877079,7.969167571955196
7,structural_only,1.0,0.044444444444444446,8,35.92005186877079,-5.769478248980561
8,open_loop,0.0,0.0,0,34.331843211115455,42.891503951898386
8,measured,0.6666666666666666,0.044444444444444446,13,34.331843211115455,8.546779556103814
8,structural_only,1.0,0.03333333333333333,3,34.331843211115455,-5.786334601347294
9,open_loop,0.0,0.0,0,34.34953940833386,42.54868889461655
9,measured,0.6666666666666666,0.06666666666666667,10,34.34953940833386,8.561843509773553
9,structural_only,1.0,0.06666666666666667,8,34.34953940833386,-5.79478055825319
10,open_loop,0.0,0.0,0,42.301292720433985,49.34866545430549
10,measured,0.3333333333333333,0.03333333333333333,15,42.301292720433985,6.891931921413212
10,structural_only,1.0,0.022222222222222223,7,42.301292720433985,-5.791760118192706
11,open_loop,0.0,0.0,0,37.0927663315276,43.627748677105885
11,measured,0.0,0.044444444444444446,11,37.0927663315276,6.50553230744733
11,structural_only,0.6666666666666666,0.044444444444444446,13,37.0927663315276,-5.715442225100835
12,open_loop,0.0,0.0,0,38.242378809396584,43.865780989397024
12,measured,1.0,0.03333333333333333,3,38.242378809396584,6.942296699564368
12,structural_only,1.0,0.07777777777777778,3,38.242378809396584,-5.718815979158428
13,open_loop,0.0,0.0,0,38.523214678312485,44.18723311814618
13,measured,0.0,0.03333333333333333,15,38.523214678312485,6.448995799513494
13,structural_only,0.6666666666666666,0.05555555555555555,5,38.523214678312485,-5.814058876764025
14,open_loop,0.0,0.0,0,37.660511722558034,43.759931313969034
14,measured,0.6666666666666666,0.03333333333333333,14,37.660511722558034,7.14358911322269
14,structural_only,0.6666666666666666,0.03333333333333333,10,37.660511722558034,-5.793108287669396
15,open_loop,0.0,0.0,0,32.412780371356185,40.35846617150559
15,measured,0.6666666666666666,0.011111111111111112,10,32.412780371356185,7.795367425736634
15,structural_only,0.6666666666666666,0.03333333333333333,13,32.412780371356185,-5.769910009088381
16,open_loop,0.0,0.0,0,35.43369236643265,42.136827362033074
16,measured,0.3333333333333333,0.044444444444444446,13,35.43369236643265,8.234789700105493
16,structural_only,0.6666666666666666,0.07777777777777778,8,35.43369236643265,-5.722273315214366
17,open_loop,0.0,0.0,0,35.80377424004314,43.10729340819911
17,measured,0.6666666666666666,0.022222222222222223,13,35.80377424004314,6.804834011652632
17,structural_only,1.0,0.011111111111111112,8,35.80377424004314,-5.763857401713004
18,open_loop,0.0,0.0,0,40.207231961266814,46.53640578607188
18,measured,0.6666666666666666,0.06666666666666667,15,40.207231961266814,6.967085406195439
18,structural_only,1.0,0.03333333333333333,3,40.207231961266814,-5.822317601456703
19,open_loop,0.0,0.0,0,38.00990360261969,43.46365911694488
19,measured,0.6666666666666666,0.1,14,38.00990360261969,5.938716424434549
19,structural_only,1.0,0.05555555555555555,8,38.00990360261969,-5.805887522485516
