method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_D_cluster_ci95_low,P_D_cluster_ci95_high,P_D_cluster_ci95_half_width,P_D_weak,P_D_weak_cluster_ci95_low,P_D_weak_cluster_ci95_high,P_FA,P_FA_ci95_low,P_FA_ci95_high,P_FA_ci95_half_width,P_FA_cluster_ci95_low,P_FA_cluster_ci95_high,P_FA_cluster_ci95_half_width,P_FA_overall,P_FA_overall_ci95_low,P_FA_overall_ci95_high,P_FA_overall_ci95_half_width,B_mean_bits,B_std_bits,T_mean_ms,T_std_ms,selected_links_mean,selected_links_std,selected_observations_mean,selected_observations_std,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,receiver_capacity_max_utilization_mean,receiver_capacity_binding_rate,fusion_capacity_max_utilization_mean,fusion_capacity_binding_rate,report_capacity_utilization_mean,report_capacity_binding_rate,assignment_capacity_max_utilization_mean,assignment_capacity_binding_rate,cpu_capacity_max_utilization_mean,cpu_capacity_binding_rate,selector_score_evaluations_mean,coordination_messages_mean,bid_rounds_mean,bundle_column_count_mean,bundle_pricing_iterations_mean,bundle_lp_worst_deficit_bound_mean,detection_runtime_mean_ms,detection_runtime_p90_ms,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,paired_proposed_delta_P_D,paired_proposed_delta_ci95_low,paired_proposed_delta_ci95_high,paired_reference_method,paired_reference_delta_P_D,paired_reference_delta_ci95_low,paired_reference_delta_ci95_high,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
proposed_lagrangian,0.8752,0.8685779167433416,0.8815339202933423,0.006478001775000353,0.8684000000000001,0.8819000000000001,0.006750000000000034,0.908,0.889,0.925,0.049356399958809596,0.048575742879558556,0.05014894163371496,0.0007865993770782009,0.04859366666666667,0.05008353406084656,0.000744933697089948,0.04793,0.047171349066974226,0.04870022859884992,0.0007644397659378466,1408.64,1501.5604384772528,2.347733333333334,2.502600730795422,2.201,2.346188185120708,14.078,4.076507819200154,1.0,1.0,1060.738,0.4435757955184455,2.1750332060822193,1.4332996913056923,1.550008590870378,0.9995358179518536,0.998768289994747,0.9990349761072587,-0.09488212120775917,1.0,1.0,172255.98565957602,142.37951824126108,3.3491487426512156,9640.654903007593,0.0,0.0,0.9560160990039335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.134,11994.249163847984,0.788,0.8752000000000001,0.863,0.891,-0.0024000000000000002,-0.0037216486443601947,-0.0010783513556398058,proposed_c2f,-0.0024000000000000002,-0.0037216486443601947,-0.0010783513556398058,0.621308496138119,0.37278509768287127,122285.31467200705,73371.1888032042
proposed_c2f,0.8728,0.8661258661423091,0.879187814154268,0.006530974005979462,0.8659975,0.8797,0.006851250000000031,0.902,0.883,0.92,0.049451607357744544,0.04866959057527827,0.050245525834172675,0.0007879676294472032,0.048688825396825404,0.05019791038359789,0.000754542493386242,0.04794333333333333,0.04718458127038681,0.04871366272063281,0.0007645407251229974,892.16,1134.2208490413145,1.4869333333333334,1.8903680817355244,1.394,1.7722200766270537,12.957,3.4373174133326705,1.0,1.0,1060.738,0.4435757955184455,2.3099500784644507,1.7130488261300039,1.8174431156397717,0.9996511237450482,0.9989917737206786,0.9992189486949296,0.34927267328490774,1.0,1.0,177041.32075003124,138.63696345972585,3.216825870119701,9438.869426822464,1060.738,250.0,0.9579853519415853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.13,11602.750843710872,0.786,0.8728,0.862,0.891,0.0,0.0,0.0,proposed_c2f,0.0,0.0,0.0,0.9782998565279771,0.5869799139167862,198441.22214628683,119064.73328777208
proposed_c2f_adaptive,0.8726,0.8659215632447637,0.8789922706568047,0.006535353706020541,0.8657000000000001,0.8795000000000001,0.006899999999999962,0.9,0.881,0.918,0.04948077848841208,0.048698501016528964,0.05027495811131444,0.0007882285473927372,0.04871741666666667,0.050229021825396826,0.0007558025793650766,0.047966666666666664,0.04720773766559428,0.048737172394517435,0.0007647173644615771,894.72,1140.852015644448,1.4912000000000003,1.9014200260740803,1.398,1.78258127444445,12.958,3.4325261834398293,1.0,1.0,1060.738,0.4435757955184455,2.274706900507691,1.6510027608438047,1.7588494822991354,0.9996914022651626,0.9991355678216296,0.9993269670419604,0.2645497500149152,1.0,1.0,177141.895467491,138.25389040490137,3.209543782178579,9358.256790880134,1060.738,62.617,0.957910914287736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16563.567,16563.567,0.0,0.0,0.0,nan,0.0,0.0,0.13,11621.67936909604,0.786,0.8725999999999999,0.862,0.89,0.0002,-7.704709182933329e-05,0.0004770470918293333,proposed_c2f,0.0002,-7.704709182933329e-05,0.0004770470918293333,0.9752771816881258,0.5851663090128755,197985.8452560477,118791.5071536286
proposed_c2f_adaptive_pd,0.8892,0.8828977757153367,0.8952033089719698,0.006152766628316542,0.8826000000000002,0.8958,0.006599999999999939,0.92,0.903,0.936,0.04948506694129763,0.04870339696933397,0.05027861933923504,0.0007876111849505346,0.0487197867063492,0.05027272685185186,0.0007764700727513271,0.04805,0.04729043948420665,0.04882113510837685,0.0007653478120851001,1223.68,1282.917634768499,2.0394666666666668,2.1381960579474986,1.912,2.00455880432578,14.582,4.062176264024003,1.0,1.0,1060.738,0.4435757955184455,2.2849878479199823,1.5862504982717023,1.701643136047669,0.9994426227601417,0.99859062663372,0.998895041182196,0.2919201864926874,1.0,1.0,227461.08248817487,210.4075044267443,4.301188136611055,14188.006719026545,1060.738,69.203,0.9534947374376088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18483.555,18483.555,0.0,0.0,0.0,nan,0.0,0.0,0.185,18113.137180688806,0.825,0.8892000000000001,0.876,0.904,-0.016399999999999998,-0.02048102659168524,-0.012318973408314757,proposed_c2f,-0.016399999999999998,-0.02048102659168524,-0.012318973408314757,0.7266605648535565,0.43599633891213385,185882.8145333542,111529.68872001252
proposed_c2f_pd,0.8895,0.8832049521804759,0.8954959020993438,0.006145474959433961,0.8829000000000001,0.8961,0.006599999999999939,0.922,0.905,0.938,0.049474768280123586,0.04869317613389443,0.050268243123955836,0.0007875334950307039,0.048697877314814814,0.05026539748677249,0.0007837600859788366,0.04804,0.047280515232414805,0.04881105961627208,0.000765272191928637,1216.64,1281.1513222098317,2.027733333333334,2.1352522036830535,1.901,2.001798940952862,14.578,4.060531492304918,1.0,1.0,1060.738,0.4435757955184455,2.3157645583896853,1.6264812041466787,1.7416977413710228,0.9994454194815898,0.9985936190651515,0.9989011224487182,0.36970114097408735,1.0,1.0,227343.00512850238,210.4075044267443,4.3084396982332045,14300.455660673642,1060.738,250.0,0.9532449808216757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.184,18093.747408782,0.825,0.8895000000000002,0.878,0.904,-0.0167,-0.020790471382632097,-0.012609528617367902,proposed_c2f,-0.0167,-0.020790471382632097,-0.012609528617367902,0.7311119147816937,0.4386671488690162,186861.36008063384,112116.8160483803
proposed_c2f_full,0.8683,0.86153031111157,0.874786825297307,0.006628257092868517,0.8612000000000002,0.8754025000000001,0.007101249999999948,0.898,0.879,0.917,0.04939340825514658,0.04861199187779125,0.05018672295486194,0.0007873655385353465,0.04863151322751323,0.0501957166005291,0.0007821016865079342,0.04790666666666667,0.047148192750260956,0.048676718846471095,0.0007642630481050697,884.48,1130.479159294854,1.4741333333333335,1.8841319321580903,1.382,1.7663736863982096,12.95,3.430670488403105,1.0,1.0,1060.738,0.4435757955184455,2.3112208791487214,1.7165908661208662,1.8186395108543811,0.9996625969770295,0.9990240047228629,0.9992449267280287,0.3593892028398925,1.0,1.0,174798.7911917011,122.09726771895158,3.0318989992296896,8782.00979800653,1060.738,1060.738,0.9581219809099009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.124,10187.362583169066,0.78,0.8683,0.853,0.881,0.0045,0.0010308094772868291,0.00796919052271317,proposed_c2f,0.0045,0.0010308094772868291,0.00796919052271317,0.9817067655571634,0.589024059334298,197628.8793321512,118577.32759929071
proposed_c2f_full_pd,0.8837,0.8772686804979442,0.8898366283266179,0.006283973914336882,0.8768000000000001,0.8904025000000001,0.006801249999999981,0.918,0.901,0.934,0.04973425230600418,0.04895114224838348,0.05052922477908977,0.0007890412653531464,0.0489613998015873,0.05051368386243386,0.000776142030423279,0.04834666666666667,0.047584863101726514,0.049120037226456505,0.0007675870623649952,1208.96,1274.657490622481,2.0149333333333335,2.1244291510374684,1.889,1.9916523290976262,14.576,4.0590915239743,1.0,1.0,1060.738,0.4435757955184455,2.318127329394393,1.628226730666308,1.7425654060653286,0.999452752554288,0.9986227376043818,0.9989209798339304,0.3791611916993998,1.0,1.0,194493.28556612253,170.15777954366058,3.9001348895231667,12232.289416279178,1060.738,1060.738,0.9540651268856222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.17,15216.498704478268,0.804,0.8836999999999999,0.87,0.898,-0.0109,-0.014358888754414547,-0.007441111245585453,proposed_c2f,-0.0109,-0.014358888754414547,-0.007441111245585453,0.730958840656432,0.43857530439385917,160876.5265733544,96525.91594401264
all_neighbor,0.9997,0.9991182482825978,0.9998979696471224,0.00038986068226232184,0.9993,1.0,0.00035000000000001696,0.998,0.995,1.0,0.04942482744823447,0.04865482410377281,0.050206373638292306,0.0007757747672597487,0.048625916666666665,0.050210750000000005,0.0007924166666666704,0.04941,0.048640221795281484,0.05019131796724136,0.0007755480859799394,589272.32,92965.21867568321,982.1205333333332,154.9420311261445,920.738,145.258154180755,1060.738,145.258154180755,1.0,1.0,1060.738,0.4435757955184455,1.4859137495531236,0.5955667267809325,0.6610421410656595,0.9594595758349403,0.4461678578132052,0.8858270564250778,-2.3110696984950776,1.0,1.0,12791212.818929361,29324.02739583953,1404.1084310079864,1093492.086937924,0.0,0.0,0.9802526849815925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.997,3364575.0981633146,0.999,0.9997,0.999,1.0,-0.1269,-0.13359794493037158,-0.12020205506962844,proposed_c2f,-0.1269,-0.13359794493037158,-0.12020205506962844,0.001696499166972581,0.0010178995001835485,21706.793930061678,13024.076358037006
random,0.7321,0.7233319218130217,0.740689819594799,0.008678948890888605,0.7232999999999999,0.7406025,0.008651250000000055,0.828,0.804,0.851,0.0489010989010989,0.048128501572885875,0.049685451208008845,0.000778474817561485,0.04812739814814814,0.04966909490740741,0.0007708483796296343,0.04806,0.04730036374514233,0.04883121059133778,0.0007654234230977247,7920.64,2401.3755204882054,13.20106666666667,4.002292534147011,12.376,3.7521492507628214,14.582,4.062176264024003,1.0,1.0,1060.738,0.4435757955184455,1.6482345216236143,0.6515406225413257,0.722850068475342,0.962763848286225,0.7256842284256797,0.8959354359765109,-1.8957982557233326,1.0,1.0,31060.494059471966,21.359199156366213,0.5724707414660098,1551.5958967070464,0.0,0.0,0.9739941331378295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.003,1673.7263657625842,0.568,0.7320999999999999,0.706,0.752,0.14070000000000002,0.13051544496911247,0.15088455503088757,proposed_c2f,0.14070000000000002,0.13051544496911247,0.15088455503088757,0.09242939964447316,0.05545763978668389,3921.4626670915436,2352.8776002549257
nearest,0.7301,0.7213122710123062,0.7387110064454255,0.008699367716559658,0.7202999999999999,0.7396,0.009650000000000047,0.801,0.775,0.825,0.048541942492446616,0.047771717194942595,0.049323942910676224,0.0007761128578668147,0.04772469675925926,0.049337060846560844,0.0008061820436507938,0.047663333333333335,0.04690670843322888,0.048431542728685585,0.0007624171477283517,8489.6,2573.1482351392037,14.149333333333336,4.288580391898674,13.265,4.020544117405006,14.582,4.062176264024003,1.0,1.0,1060.738,0.4435757955184455,1.6957175726189744,0.6635466275633,0.7313680359654099,0.9604146826771823,0.7408043655763238,0.8894444813562445,-1.8475331903108136,1.0,1.0,3245472.7582178214,29.143623648749184,0.3600377221003454,9599.788630051902,0.0,0.0,0.9729130909472928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.017,631736.4682199112,0.605,0.7301,0.713,0.739,0.1427,0.13178053976847995,0.15361946023152004,proposed_c2f,0.1427,0.13178053976847995,0.15361946023152004,0.08599934036939312,0.05159960422163587,382288.06518773804,229372.8391126428
