trial,seed,F_greedy,F_swap_shortlist,F_swap_full,dF_shortlist,dF_full,rel_gap_shortlist,rel_gap_full,pd_mean_greedy,pd_worst_greedy,pd_mean_swap_full,pd_worst_swap_full,d_pd_worst_full,links_greedy,links_swap_full,evals_full
0,20260918,0.08721896026394658,0.08433381863293103,0.2109234970799932,-0.002885141631015553,0.12370453681604661,-0.03307929402373505,1.4183216177042866,0.6113186786498978,0.11438033479521317,0.6989415871761986,0.12152970147844294,0.007149366683229769,32,60,48655
1,20260919,-2.734708812656118,-2.734705343973089,-2.6848358263530074,3.4686830288066517e-06,0.049872986303110434,1.268392090870418e-06,0.01823703718373976,0.35694355371670017,0.08659991447754152,0.4233044378685508,0.08725109379587083,0.0006511793183293091,50,60,39558
2,20260920,0.021825806373913022,-0.009015644845494039,-0.0012219230378999468,-0.03084145121940706,-0.02304772941181297,-1.4130727035253945,-1.055985241368238,0.6735869819952985,0.14003453843614092,0.7278336761285721,0.14836968020110172,0.008335141764960807,35,60,34019
3,20260921,-0.816377231461331,-0.7958578215315947,-0.7632735267183396,0.020519409929736332,0.05310370474299142,0.025134716083404472,0.06504799827395329,0.6684250951713613,0.08535962513011011,0.7682712875588786,0.08535962513011011,0.0,25,60,31001
4,20260922,-0.3504437463248435,-0.3881184896734912,-0.29750851216457797,-0.03767474334864773,0.05293523416026552,-0.10750582295660419,0.1510520153816563,0.6183639691838596,0.10731373246550265,0.6720476093014481,0.11596595677643726,0.008652224310934611,43,60,37040
5,20260923,-1.3400146701468438,-1.3259036770820956,-1.211176326384953,0.014110993064748278,0.12883834376189074,0.010530476553067842,0.09614696512820427,0.490389701878635,0.1326038458102193,0.5610088745366204,0.13527345915186648,0.00266961334164717,43,60,39550
6,20260924,0.2678218756324705,0.19829689575225667,0.21411279275365797,-0.06952497988021383,-0.05370908287881254,-0.25959410416355355,-0.20054031341531273,0.7155290314059813,0.16812588302522374,0.7735429549863855,0.17001347753096635,0.001887594505742607,30,60,25847
7,20260925,1.7177543144820513,1.7325342727129827,1.8325172342717797,0.014779958230931367,0.11476291978972841,0.008604232925700972,0.06680985681257479,0.7254527899445035,0.23628785918329925,0.8394797211088261,0.24170727407515621,0.005419414891856961,26,60,47636
8,20260926,-0.4867405124207314,-0.609407179087398,-0.5723344519716285,-0.12266666666666665,-0.08559393955089706,-0.25201655407026274,-0.17585127468681075,0.6752318749147179,0.12207749601366882,0.7545129291466551,0.12507389642953395,0.0029964004158651303,25,60,44107
9,20260927,-1.4096819142951105,-1.4426873358778334,-1.4225257382969052,-0.033005421582722905,-0.012843824001794735,-0.02341338230137311,-0.00911115044574938,0.5442181233866947,0.08424421527848694,0.6754511090491322,0.08585709044665402,0.0016128751681670772,31,60,36040
10,20260928,0.9299110399456811,0.9520457208152842,1.0153957311728692,0.02213468086960302,0.08548469122718805,0.02380300901782602,0.09192781626958796,0.7154385249539257,0.18016185519265715,0.8260833082551846,0.18058639303869736,0.0004245378460402127,24,60,39082
11,20260929,-2.6584277435612953,-2.6988031043983467,-2.6636726752672852,-0.0403753608370514,-0.005244931705989941,-0.015187684124513224,-0.0019729449930294897,0.4383453641678109,0.0833611357184955,0.5130095982503193,0.09040402630415162,0.007042890585656117,41,60,44100
12,20260930,3.3154396204517416,3.290884184221823,3.3643300236300298,-0.024555436229918737,0.04889040317828819,-0.00740638920957727,0.014746280667185451,0.8022436944237036,0.36658037643122454,0.88632222957562,0.37023642828754655,0.003656051856322007,22,56,35426
13,20260931,-1.019357060575034,-1.0690497779465973,-0.9588050571950184,-0.04969271737156333,0.06055200338001554,-0.04874907850594664,0.05940215231928377,0.5640840569863019,0.10611234613564087,0.5829042840281221,0.11031468702711947,0.004202340891478598,40,60,28346
14,20260932,-0.8854545586680441,-0.9601811671632138,-0.8854944080033974,-0.07472660849516966,-3.984933535328139e-05,-0.08439349909449681,-4.500438217092161e-05,0.637230089925489,0.06641756762639779,0.7142317103114258,0.06834546678203506,0.0019278991556372638,30,60,36034
15,20260933,-1.7545034822935417,-1.7605236849164492,-1.6866705932076884,-0.006020202622907478,0.06783288908585328,-0.0034312856507059657,0.038662156997933114,0.4843250791835123,0.06045183843020355,0.566041180227016,0.06268686359316243,0.002235025162958884,46,60,31495
16,20260934,2.520329506219416,4.83797512705227,5.206551791027014,2.317645620832854,2.686222284807598,0.9195804021313885,1.0658218610617414,0.7384680844760345,0.301775981678727,0.9022368830146771,0.5377959888019557,0.23602000712322868,22,60,37054
17,20260935,-0.7257862865175119,-0.7498720587872443,-0.5911803732730969,-0.02408577226973241,0.13460591324441495,-0.03318576379460328,0.18546218872539577,0.6495446949909793,0.09005686101845102,0.754193537493421,0.0976369090695051,0.0075800480510540835,25,59,37087
18,20260936,-1.1327410001019689,-1.1945163179960006,-1.1539894887391706,-0.06177531789403168,-0.021248488637201746,-0.054536136582387935,-0.018758470502338104,0.5853720604884115,0.09853427739916461,0.6374328741523008,0.1009998472743374,0.002465569875172796,36,60,42576
19,20260937,-1.6808142966951185,-1.7642200385618154,-1.705609368037654,-0.08340574186669691,-0.024795071342535557,-0.0496222230086289,-0.014751820823566636,0.5854992914586548,0.04873941497112841,0.6578885408714632,0.05003757930613777,0.001298164335009358,32,60,33034
