trial,seed,F_optimal,F_c2f,F_lagrangian,gap_c2f,gap_lagrangian,rel_gap_c2f
0,20260918,-1.0901614895153475,-1.0901912788187338,-1.0901614895153475,2.9789303386262844e-05,0.0,2.732558769756787e-05
1,20260919,-0.6655190735892236,-0.7888470358845742,-0.6655190735892236,0.12332796229535059,0.0,0.18531093576361113
2,20260920,-0.5634693421098795,-0.5636747435067376,-0.5634693421098795,0.00020540139685809589,0.0,0.00036452985372546054
3,20260921,-0.13204691048113412,-0.13933133582936708,-0.13204691048113412,0.0072844253482329535,0.0,0.055165435690172376
4,20260922,-0.19843362770208023,-0.24324065806363507,-0.19843362770208023,0.04480703036155484,0.0,0.22580361443991842
5,20260923,-0.7035981195771512,-0.7035981195771512,-0.7035981195771512,0.0,0.0,0.0
