split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,conflict_index,direct_inr_db,stat_h0,stat_h1,dof_real,identifiable_fraction,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,protect_dim,n_coefficients,calibration_error_db
calibration,0,0,0,0,0.0,no_ic,0.0017895041784108192,2.352714214268446,2.679865608888313,4.251440066946762,10,0.9988401314951593,0.0,0.0,1.0789283118044114e-09,1.0789283118044114e-09,1.0789283118044114e-09,0.0,1.0,1.0,1.0,1.0,0.8974667156113038,0,5,0.0
calibration,0,0,0,0,0.0,plain_ls,0.0017895041784108192,2.352714214268446,2.680412264951404,4.251091144460754,10,0.9988401443622859,15.207546049124812,15.231162578670162,1.0789283118044114e-09,3.252654874082958e-11,3.235015244538785e-11,1.7639629544173457e-13,0.9999103295516535,0.9985362436621895,0.9999723527010443,0.9987388132727196,0.8974667156113038,0,5,22.303799136336394
calibration,0,0,0,0,0.0,ridge_ls,0.0017895041784108192,2.352714214268446,2.680391736978225,4.251118593785225,10,0.9988401433985602,15.207562263141048,15.23114056058544,1.0789283118044114e-09,3.2526427305944526e-11,3.235031645626817e-11,1.761108496763561e-13,0.9999103299445379,0.9985362465595088,0.9999723527758102,0.9987388150728276,0.8974667156113038,0,5,22.30378292232016
calibration,0,0,0,0,0.0,protected_ls,0.0017895041784108192,2.352714214268446,2.474970455290661,4.553407267659266,10,0.9984354620003707,13.788495703390778,13.805628002809216,1.0789283118044114e-09,4.509651890690734e-11,4.491896998878906e-11,1.7754891811828005e-13,0.9998972577828591,0.9998723761669241,1.0,0.998724241029323,0.8974667156113038,45,5,5.124382096387693
calibration,0,0,0,0,0.0,tp_uic_stage1,0.0017895041784108192,2.352714214268446,2.4749819413514706,4.553370264458952,10,0.9984355179076195,13.7885118375633,13.80561177048087,1.0789283118044114e-09,4.5096351372274746e-11,4.491913787967021e-11,1.7721349260453664e-13,0.9998972580173583,0.9998723764610914,1.0,0.9987242428310963,0.8974667156113038,45,5,5.124365962215172
calibration,0,0,0,0,0.0,tp_uic_full,0.0017895041784108192,2.352714214268446,2.680257871004299,4.251217074965657,10,0.9988411486943802,15.207075257798149,15.231126934191648,1.0789283118044114e-09,3.253007493047885e-11,3.235041795855779e-11,1.79656971921057e-13,0.9999291360792825,0.9991011887165989,1.0000011330212948,0.9987451412156585,0.8974667156113038,45,5,22.291939787054176
calibration,0,0,0,0,0.0,perfect_channel,0.0017895041784108192,2.352714214268446,2.70738164172934,4.144474626632999,10,0.9988430977670611,inf,inf,1.0789283118044114e-09,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8974667156113038,0,5,nan
calibration,0,0,0,1,0.0,no_ic,0.001750031314283978,2.076434332008082,1.1949983036295084,3.424656130445254,10,0.9988418465209693,0.0,0.0,1.0124290573745518e-09,1.0124290573745518e-09,1.0124290573745518e-09,0.0,1.0,1.0,1.0,1.0,0.9105809611332915,0,5,0.0
calibration,0,0,0,1,0.0,plain_ls,0.001750031314283978,2.076434332008082,1.1952818781513557,3.424880291104717,10,0.998841863700266,12.40616056174995,12.43003202509213,1.0124290573745518e-09,5.8176627961108674e-11,5.78577310961657e-11,3.1889686494297403e-13,0.9998648300622028,0.9993208966569654,0.9999788991217601,0.9997004731292676,0.9105809611332915,0,5,24.828915184116486
calibration,0,0,0,1,0.0,ridge_ls,0.001750031314283978,2.076434332008082,1.1952953460392752,3.424906047667728,10,0.9988418630207775,12.406182214619053,12.430016921085759,1.0124290573745518e-09,5.817633790728062e-11,5.785793231563662e-11,3.184055916439993e-13,0.9998648305097798,0.9993208981584808,0.9999788991823334,0.999700473870134,0.9105809611332915,0,5,24.828893531247385
