condition,trial,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms,selector_seconds,objective_gain,extra_pd_evaluations,accepted_moves
rcs50_k0,63,balanced,1.0,0.03666666666666667,0,60,10,1.0,0.0,0.0,0.8512859999900684,0.0,0,0
rcs50_k0,63,robust,1.0,0.05,0,11,10,1.0,0.0,0.0,0.777936500031501,0.0,0,0
rcs50_k0,64,v1,1.0,0.05333333333333334,0,10,10,1.0,0.0,0.0,0.7075502999359742,0.0,0,0
rcs50_k0,64,joint,1.0,0.05333333333333334,0,10,10,1.0,0.0,0.0,0.7911903999047354,0.0,276,0
rcs50_k0,64,balanced,1.0,0.056666666666666664,0,60,10,1.0,0.0,0.0,0.8963785000378266,0.0,0,0
rcs50_k0,64,robust,1.0,0.05333333333333334,0,10,10,1.0,0.0,0.0,0.7079377999762073,0.0,0,0
rcs50_k0,65,v1,1.0,0.07666666666666666,0,10,10,1.0,0.0,0.0,0.6051341999555007,0.0,0,0
rcs50_k0,65,joint,1.0,0.07666666666666666,0,10,10,1.0,0.0,0.0,0.6860246999422088,0.0,276,0
rcs50_k0,65,balanced,1.0,0.02666666666666667,0,60,10,1.0,0.0,0.0,0.7465968000469729,0.0,0,0
rcs50_k0,65,robust,1.0,0.07666666666666666,0,10,10,1.0,0.0,0.0,0.6515423000091687,0.0,0,0
rcs50_k0,66,v1,1.0,0.03,0,10,10,1.0,0.0,0.0,0.6124122999608517,0.0,0,0
rcs50_k0,66,joint,1.0,0.03,0,10,10,1.0,0.0,0.0,0.6960934000089765,0.0,281,0
rcs50_k0,66,balanced,1.0,0.06333333333333334,0,60,10,1.0,0.0,0.0,0.8561299999710172,0.0,0,0
rcs50_k0,66,robust,1.0,0.03,0,10,10,1.0,0.0,0.0,0.6939062000019476,0.0,0,0
rcs50_k0,67,v1,0.9,0.04,0,10,10,0.9,0.0,0.0,0.5878560999408364,0.0,0,0
rcs50_k0,67,joint,0.9,0.04,0,10,10,0.9,0.0,0.0,0.6719749999465421,0.0,289,0
rcs50_k0,67,balanced,0.9,0.043333333333333335,0,60,10,0.9,0.0,0.0,0.7096189999720082,0.0,0,0
rcs50_k0,67,robust,0.9,0.04,0,10,10,0.9,0.0,0.0,0.6487190000480041,0.0,0,0
rcs50_k0,68,v1,1.0,0.05,0,10,10,1.0,0.0,0.0,0.6250188000267372,0.0,0,0
rcs50_k0,68,joint,1.0,0.05,0,10,10,1.0,0.0,0.0,0.7019579000771046,0.0,268,0
rcs50_k0,68,balanced,1.0,0.06333333333333334,0,60,10,1.0,0.0,0.0,0.8788532000035048,0.0,0,0
rcs50_k0,68,robust,1.0,0.05333333333333334,0,10,10,1.0,0.0,0.0,0.6493080999935046,0.0,0,0
rcs50_k0,69,v1,1.0,0.05,0,10,10,1.0,0.0,0.0,0.6635041000554338,0.0,0,0
rcs50_k0,69,joint,1.0,0.05,0,10,10,1.0,0.0,0.0,0.7477570000337437,0.0,284,0
rcs50_k0,69,balanced,1.0,0.043333333333333335,0,60,10,1.0,0.0,0.0,0.8709839000366628,0.0,0,0
rcs50_k0,69,robust,1.0,0.05333333333333334,0,10,10,1.0,0.0,0.0,0.7025002000154927,0.0,0,0
rcs50_k0,70,v1,1.0,0.043333333333333335,0,10,10,1.0,0.0,0.0,0.7214999999850988,0.0,0,0
rcs50_k0,70,joint,1.0,0.043333333333333335,0,10,10,1.0,0.0,0.0,0.8031141000101343,0.0,279,0
rcs50_k0,70,balanced,1.0,0.056666666666666664,0,60,10,0.9833333333333333,0.0,0.0,0.9411794000770897,0.0,0,0
rcs50_k0,70,robust,1.0,0.04,0,10,10,1.0,0.0,0.0,0.7250817000167444,0.0,0,0
rcs50_k0,71,v1,1.0,0.043333333333333335,0,10,10,1.0,0.0,0.0,0.815918399952352,0.0,0,0
rcs50_k0,71,joint,1.0,0.043333333333333335,0,10,10,1.0,0.0,0.0,0.8966894999612123,0.0,268,0
rcs50_k0,71,balanced,1.0,0.07666666666666666,0,60,10,1.0,0.0,0.0,1.251291900058277,0.0,0,0
rcs50_k0,71,robust,1.0,0.043333333333333335,0,10,10,1.0,0.0,0.0,0.8091723999241367,0.0,0,0
rcs50_k0,72,v1,0.9,0.04666666666666667,0,10,10,0.9,0.0,0.0,0.65283450006973,0.0,0,0
rcs50_k0,72,joint,0.9,0.04666666666666667,0,10,10,0.9,0.0,0.0,0.7395143000176176,0.0,288,0
rcs50_k0,72,balanced,1.0,0.06333333333333334,0,60,10,0.9,0.0,0.0,0.82720669999253,0.0,0,0
rcs50_k0,72,robust,1.0,0.056666666666666664,0,10,10,1.0,0.0,0.0,0.6781255999812856,0.0,0,0
rcs50_k0,73,v1,1.0,0.07,0,10,10,1.0,0.0,0.0,0.6725702000549063,0.0,0,0
rcs50_k0,73,joint,1.0,0.07,0,10,10,1.0,0.0,0.0,0.755799200036563,0.0,275,0
rcs50_k0,73,balanced,1.0,0.05,0,60,10,0.9833333333333333,0.0,0.0,0.9931223999010399,0.0,0,0
