receiver,arm,norm_y2,norm_x2,norm_s2,norm_n2,i_in,i_res,i_res_structural,i_res_estimate,kappa_db,kappa_structural_db,norm_r2,linearity_rel_err,noise_survive_ratio,norm_n_minus_fn2,norm_fn2,i_res_estimate_over_norm_fn2,noise_enhance_db,orthogonality_rel,overcount_db,residual_over_noise_old,residual_over_noise_new,sigma2,n_bins
0,tp_uic_full,6.228346826358114e-10,8.046419179791492e-10,1.8607826172757272e-12,6.228346826358114e-10,8.046419179791492e-10,2.35511659524044e-13,1.1025732904845537e-16,2.3540140219499553e-13,35.33590240777962,68.63195185867238,6.242841102277594e-10,1.2054492490561471e-29,0.9996585156435286,6.226219943350235e-10,2.354014021950126e-13,0.9999999999999275,-34.2256374287882,0.0009380580017919239,33.296049450892745,0.0003781286850105522,1.7702503107542243e-07,3.8309036447402614e-14,16384
1,tp_uic_full,6.343033680333096e-10,1.0669461211194639e-09,4.447721889857801e-12,6.343033680333096e-10,1.0669461211194639e-09,1.8034651409495734e-13,6.551996263960858e-17,1.8028099413231772e-13,37.72034736591544,72.11768847767968,6.379848843236594e-10,1.1492702369761613e-29,0.9997095321881537,6.341191233219503e-10,1.8028099413233282e-13,0.9999999999999163,-35.46347073169904,0.00018535839963033698,34.397341111764234,0.0002843221763966523,1.032943634569632e-07,3.8309036447402614e-14,16384
2,tp_uic_full,6.258667384603376e-10,9.501748190375326e-10,1.6358595854369633e-12,6.258667384603376e-10,9.501748190375326e-10,3.0803617714469114e-13,1.749071648080317e-16,3.078612699798831e-13,34.89201791844276,67.34995916763066,6.277499185882728e-10,5.1574660986351126e-30,0.9996766043156482,6.256643358581402e-10,3.0786126997986034e-13,1.000000000000074,-33.08126815108121,0.003799304104372204,32.4579412491879,0.0004921753437520502,2.7946390830468445e-07,3.8309036447402614e-14,16384
3,tp_uic_full,6.316524700456859e-10,5.027594999685612e-10,1.2061506393078178e-12,6.316524700456859e-10,5.027594999685612e-10,4.877558901797011e-13,5.46250710614474e-16,4.872096394690866e-13,30.13157762950096,59.639682706736245,6.328983738810606e-10,3.648058559424537e-29,0.9997527437746859,6.314962900402322e-10,4.872096394691778e-13,0.9999999999998128,-31.12762326516667,0.009436121849856736,29.50810507723528,0.0007721902680827367,8.647962867539566e-07,3.8309036447402614e-14,16384
4,tp_uic_full,6.378413792133724e-10,1.3102955054008925e-09,4.056930932246296e-12,6.378413792133724e-10,1.3102955054008925e-09,2.166786709780341e-13,6.852920527390335e-17,2.166101417727602e-13,37.81553088167398,72.81493555920284,6.421764879382709e-10,1.144896579160175e-29,0.9996780066228685,6.376359985136053e-10,2.1661014177276069e-13,0.9999999999999978,-34.69033903562124,0.0004777518459333565,34.999404677528865,0.00033970619975338755,1.0743925920644727e-07,3.8309036447402614e-14,16384
5,tp_uic_full,6.325097653859004e-10,4.942932884056571e-10,5.419804058048475e-13,6.325097653859004e-10,4.942932884056571e-10,1.1783271508846696e-13,9.577454945248162e-17,1.1773694053901448e-13,36.22718828817688,67.12734595950306,6.329041158382314e-10,2.4559696290231862e-29,0.9998207019570081,6.323963576227935e-10,1.1773694053900403e-13,1.0000000000000888,-37.3015448878351,0.00025085590995410346,30.900157671326166,0.00018629390649261526,1.5141987474936235e-07,3.8309036447402614e-14,16384
