method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA,P_FA_ci95_low,P_FA_ci95_high,P_FA_ci95_half_width,P_FA_overall,P_FA_overall_ci95_low,P_FA_overall_ci95_high,P_FA_overall_ci95_half_width,B_mean_bits,B_std_bits,T_mean_ms,T_std_ms,selected_links_mean,selected_links_std,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,paired_proposed_delta_P_D,paired_proposed_delta_ci95_low,paired_proposed_delta_ci95_high,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
proposed_c2f,0.8655,0.8586721553834772,0.8720471314952755,0.006687488055899138,0.049610757254069354,0.04883527825083223,0.05039789798962257,0.0007813098693951678,0.04907,0.04830276072647463,0.04984878774356338,0.0007730135085443762,9841.92,4019.2364839108436,16.403200000000005,6.698727473184741,15.378,6.280057006110693,0.9939000000000001,1.0,599.223,0.5304100292548655,3.6231151051009736,3.021689522338196,3.1014613945504053,0.9853462350444959,0.9328463438132795,0.9593951177925205,2.0525257348504438,1.0,1.0,49194.33219717791,151.03681022192623,2.463906688519193,3356.402273289674,599.223,213.467,0.9958369533421048,0.681,5499.360952798584,0.884,0.8654999999999999,0.854,0.881,0.0,0.0,0.0,0.08794015801794772,0.052764094810768616,4998.448696715469,2999.0692180292804
global_topk_deflection,0.4269,0.41723519276528004,0.4366209498589693,0.009692878546844641,0.05005024404249211,0.04891760635449545,0.051207694812910765,0.0011450442292076576,0.023243333333333335,0.022710222125346558,0.02378865444103939,0.0005392161578464151,9841.92,4019.2364839108436,16.403200000000005,6.698727473184741,15.378,6.280057006110693,0.46630000000000005,1.0,599.223,0.5304100292548655,3.648799679774532,3.0324421923339044,3.114817809776277,0.9882690384301202,0.9451157101936501,0.9674661174888735,2.16528736029493,1.0,1.0,4759457.182230072,0.0,0.0,97021.72316454965,0.0,0.0,0.986226203234106,0.0,536399.1239544743,0.409,0.42689999999999995,0.405,0.448,0.43860000000000005,0.42348008315004515,0.45371991684995494,0.043375682793601246,0.02602540967616074,483590.31390522094,290154.1883431325
cost_aware_greedy,0.8603,0.8533666962668034,0.866956584341718,0.0067949440374572845,0.04996132243635018,0.04918400769899879,0.050750266314699616,0.0007831293078504123,0.04951666666666667,0.04874609403266694,0.05029877633141977,0.0007763411493764139,9841.92,4019.2364839108436,16.403200000000005,6.698727473184741,15.378,6.280057006110693,0.9957999999999999,1.0,599.223,0.5304100292548655,3.627063530102872,3.019283391287192,3.1002697103098016,0.9847983936505911,0.9303885985964154,0.9575485309718368,2.06033397359024,1.0,1.0,49280.400279179274,150.9737066992518,2.3806620726739656,3518.6460765743454,0.0,0.0,0.9959858780732875,0.672,5497.942687148557,0.884,0.8603,0.849,0.871,0.0052,0.0015985372874803118,0.008801462712519689,0.08741180582650539,0.05244708349590322,5007.193746665211,3004.3162479991256
exact_marginal_greedy,0.8603,0.8533666962668034,0.866956584341718,0.0067949440374572845,0.04996132243635018,0.04918400769899879,0.050750266314699616,0.0007831293078504123,0.04951666666666667,0.04874609403266694,0.05029877633141977,0.0007763411493764139,9841.92,4019.2364839108436,16.403200000000005,6.698727473184741,15.378,6.280057006110693,0.9957999999999999,1.0,599.223,0.5304100292548655,3.627321590149221,3.019283391287192,3.1002831951916825,0.9848062920709991,0.9303885985964154,0.9575722211616444,2.061299404951156,1.0,1.0,49290.503151484954,150.9737066992518,2.3806620726739656,3519.4265193662472,0.0,0.0,0.9959858780732875,0.672,5497.942687148557,0.884,0.8603,0.849,0.871,0.0052,0.0015985372874803118,0.008801462712519689,0.08741180582650539,0.05244708349590322,5008.220261034936,3004.9321566209605
sense_sinr,0.8436,0.8363488084374546,0.8505872981878242,0.0071192448751847826,0.04977233633512092,0.04899533860363527,0.050561001051549,0.0007828312239568647,0.04919,0.048421863466861184,0.04996968192993617,0.0007739092315374937,9841.92,4019.2364839108436,16.403200000000005,6.698727473184741,15.378,6.280057006110693,0.9939000000000001,1.0,599.223,0.5304100292548655,3.5824617311904277,2.9863819156871982,3.063275228649414,0.9693392015408584,0.8638553874677154,0.9139504856095076,1.872803400435441,1.0,1.0,3349873.740806978,349.4481931114433,1.9837072923177588,46050.393539004304,0.0,0.0,0.9953018695093876,0.642,251112.16935180582,0.872,0.8436,0.827,0.854,0.0219,0.017423810717307132,0.026376189282692867,0.08571498244245025,0.051428989465470136,340367.9100020096,204220.7460012057
all_neighbor,0.907,0.901150178662336,0.912537235180762,0.005693528259212988,0.04977497749774978,0.04900244680586569,0.05055903975810142,0.0007782964761178651,0.04977,0.04899754458582986,0.05055398595697104,0.0007782206855705895,383502.72,200655.10758662884,639.1711999999978,334.42517931104834,599.223,313.5236056041076,1.0,1.0,599.223,0.5304100292548655,3.591460603969086,2.958497303262924,3.0361834638356258,0.9716049665149348,0.834516348596037,0.9181092293966258,1.9122025576659871,1.0,1.0,4974426.6437531235,1632.2310372253282,3.5695418346350136,153067.5512721659,0.0,0.0,0.9975064415888982,0.728,608995.5576077857,0.896,0.907,0.898,0.915,-0.0415,-0.046873140891791606,-0.0361268591082084,0.0023650418959218857,0.0014190251375531362,12971.033539874565,7782.620123924764
