split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,selected_base_arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,whitened_residual_power_h0,whitened_residual_ratio_h0,dof_real,identifiable_fraction,ncp_unit,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,s_q_energy,post_ic_sinr,protect_dim,n_coefficients,calibration_error_db
test,5,0,1,1,30.0,tp_uic_full,tp_uic_full,0.3540500713248526,32.88465148049363,0,1,2290.5971479602867,2345.546905498457,2242318.650465805,136.86026919346955,10,0.9989726563235549,5.422240453504158,11.527870948501365,11.527877005173428,1.219512668085286e-06,8.578260315791588e-08,8.578248352555688e-08,1.1963235900530728e-13,0.972906614565786,0.9822197881953374,0.970912394556616,0.7697315953447906,0.014102214998706647,2.4035385846242075e-13,2.7061816853048556e-06,15,5,56.51094839839221
test,5,0,1,1,30.0,perfect_channel,perfect_channel,0.3540500713248526,32.88465148049363,0,1,6.180553141628055,13.380907781402282,16352.652616210209,0.9980867075323614,10,0.9992231615965893,5.587184811213522,inf,inf,1.219512668085286e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.014102214998706647,2.4035385846242075e-13,0.0003829392923177758,0,5,nan
test,6,0,1,0,30.0,tp_uic_full,tp_uic_full,0.0013900004935899128,28.7564634391445,1,1,106.66674577847974,115.83962386988632,799838.9154913183,48.81829318184316,10,0.9999045404500894,0.19843282065887716,11.950888147581146,11.95091321332799,4.713760490220166e-07,3.00800599278288e-08,3.0079886318210716e-08,1.736096180832071e-13,0.9999577310059159,0.9988703795092314,0.9999475619857474,0.9991264628072567,0.27331913394381746,7.576685722204842e-15,2.4672514443578125e-07,15,5,51.959756335334795
test,6,0,1,0,30.0,perfect_channel,perfect_channel,0.0013900004935899128,28.7564634391445,1,1,9.392715937532492,4.906908243746523,16645.712459814466,1.0159736608773478,10,0.9999077043387578,0.19844802314109766,inf,inf,4.713760490220166e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.27331913394381746,7.576685722204842e-15,1.207141290402439e-05,0,5,nan
test,6,0,1,1,30.0,tp_uic_full,tp_uic_full,0.0025096231340710324,28.155882404831157,1,1,8.311300886936653,5.069994163487562,198825.55842535663,12.135349024985146,10,0.9999052814559306,0.19843290057572988,17.70723598354909,17.707389066802023,4.1049645266323365e-07,6.959624529414105e-09,6.959379215870014e-09,2.453135440911506e-13,0.9999821116623347,0.9992388472462972,0.9999400657515644,0.9989032130848169,0.3125364976558572,7.670021724034881e-15,1.0108872665692143e-06,15,5,45.602605549545146
test,6,0,1,1,30.0,perfect_channel,perfect_channel,0.0025096231340710324,28.155882404831157,1,1,6.961910059099715,1.6010525688542978,16452.324493393156,1.0041701961299534,10,0.9999077043387578,0.19844802314109766,inf,inf,4.1049645266323365e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3125364976558572,7.670021724034881e-15,1.2220118744310097e-05,0,5,nan
test,7,0,1,0,30.0,tp_uic_full,tp_uic_full,0.3877227840344977,28.054263993625355,0,1,17900.281572753614,17913.780489208577,240611.56530713924,14.685764484078323,10,0.9604190066765621,1.622380913887148,16.676395175191452,16.676568915756512,4.010029498328059e-07,8.620015561424897e-09,8.619670722500983e-09,3.4483892391390545e-13,0.9903835642658181,0.9905589988169248,0.9852057249469575,0.6376369997415791,0.13079763142249454,7.538535171882629e-14,8.073428955864199e-06,15,5,46.530278076446024
test,7,0,1,0,30.0,perfect_channel,perfect_channel,0.3877227840344977,28.054263993625355,0,1,5.982022703015644,5.875408626304629,16329.409684909915,0.9966680715887399,10,0.9612218013010507,1.6482514433430748,inf,inf,4.010029498328059e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.13079763142249454,7.538535171882629e-14,0.00012010630252830939,0,5,nan
test,7,0,1,1,30.0,tp_uic_full,tp_uic_full,0.3892013169519578,27.81818437632241,0,1,4005.965900090114,3980.560110384313,205177.40302966422,12.523034852884779,10,0.961089483014759,1.6411952511364079,17.206845626981604,17.206901437209336,3.7978657215645963e-07,7.225286006582301e-09,7.225193156619139e-09,9.284996316207544e-14,0.9802015543604041,0.9878970507040645,0.9957564620806203,0.7448190500601695,0.13872196839274537,7.239874323842476e-14,9.036787403453025e-06,15,5,45.7644691005654
test,7,0,1,1,30.0,perfect_channel,perfect_channel,0.3892013169519578,27.81818437632241,0,1,2.633022793403203,10.167623774200578,16075.864389761988,0.9811928948829338,10,0.9612218013010507,1.6482514433430748,inf,inf,3.7978657215645963e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.13872196839274537,7.239874323842476e-14,0.00011534794439238602,0,5,nan
test,8,0,1,0,30.0,tp_uic_full,tp_uic_full,0.07239858471667988,27.683396391183308,0,1,480.77208744832103,458.62216854719793,315266.1181787557,19.24231678337132,10,0.9494317114653448,0.5225106737274042,15.072801831023897,15.072886857544834,3.681805203001501e-07,1.1449344524675962e-08,1.1449120370687607e-08,2.2415398835436641e-13,0.9996337154813619,0.9915353497171135,0.9990561844075331,0.9928676249410064,0.26353187168961045,2.1853596979453874e-14,1.8088592156228885e-06,15,5,47.764795450050606
test,8,0,1,0,30.0,perfect_channel,perfect_channel,0.07239858471667988,27.683396391183308,0,1,6.925302927104832,5.197455981688958,16329.899853117811,0.9966979890818977,10,0.9499315187227884,0.5233127349462958,inf,inf,3.681805203001501e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.26353187168961045,2.1853596979453874e-14,3.481783490161185e-05,0,5,nan
test,8,0,1,1,30.0,tp_uic_full,tp_uic_full,0.07851764459706989,28.216795261920936,0,1,1075.915916184239,1068.0238043133763,627438.30001426,38.295794678604736,10,0.9493211896815622,0.5214935904826407,12.486035628873278,12.486056217539183,4.1629452020523086e-07,2.3485355109523794e-08,2.348524377240025e-08,1.1133712354660002e-13,0.9996993053060322,0.9949300345943232,0.9972389042062553,0.9907518031879233,0.3439289458619305,1.973067316077562e-14,8.180123491580955e-07,15,5,50.88489623813237
