method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_D_cluster_ci95_low,P_D_cluster_ci95_high,P_D_cluster_ci95_half_width,P_FA,P_FA_ci95_low,P_FA_ci95_high,P_FA_ci95_half_width,P_FA_overall,P_FA_overall_ci95_low,P_FA_overall_ci95_high,P_FA_overall_ci95_half_width,B_mean_bits,B_std_bits,T_mean_ms,T_std_ms,selected_links_mean,selected_links_std,selected_observations_mean,selected_observations_std,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,selector_score_evaluations_mean,coordination_messages_mean,bid_rounds_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,paired_proposed_delta_P_D,paired_proposed_delta_ci95_low,paired_proposed_delta_ci95_high,paired_reference_method,paired_reference_delta_P_D,paired_reference_delta_ci95_low,paired_reference_delta_ci95_high,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
proposed_c2f_adaptive_pd,0.982,0.9717265156214581,0.9885843541412616,0.008428919259901746,0.973,0.99,0.008500000000000008,0.04934804413239719,0.04695072045926231,0.05186111519610867,0.00245519736842318,0.0492,0.04680969587060068,0.05170574223249875,0.002448023180949034,473.6,930.1822617100371,0.7893333333333334,1.5503037695167285,0.74,1.4534097839219329,12.24,3.246906219772909,1.0,1.0,865.48,0.5314911618169282,3.953695469135882,3.6555863608660486,3.712334630642141,0.9996359665186019,0.9992722393114711,0.9993449847528971,3.54193705342311,1.0,1.0,14031.768472646438,242.9495041718097,27.45125726811289,7511.665627213504,865.48,61.11,0.9969999999999999,12756.24,12756.24,0.0,0.81,2310.1863613680944,0.95,0.982,0.95,1.0,,,,proposed_c2f_adaptive_pd,0.0,0.0,0.0,2.07347972972973,1.2440878378378377,29627.889511500078,17776.733706900046
proposed_c2f_adaptive_pd_calibrated,0.982,0.9717265156214581,0.9885843541412616,0.008428919259901746,0.973,0.99,0.008500000000000008,0.050551654964894686,0.048126008425844094,0.05309273975392831,0.0024833656640421073,0.0504,0.04798145128784501,0.05293367952660375,0.002476114119379369,473.6,930.1822617100371,0.7893333333333334,1.5503037695167285,0.74,1.4534097839219329,12.24,3.246906219772909,1.0,1.0,865.48,0.5314911618169282,3.953695469135882,3.6555863608660486,3.712334630642141,0.9996359665186019,0.9992722393114711,0.9993449847528971,3.54193705342311,1.0,1.0,14031.768472646438,242.9495041718097,27.45125726811289,7511.665627213504,865.48,61.11,0.9969999999999999,12756.24,12756.24,0.0,0.81,2310.1863613680944,0.95,0.982,0.95,1.0,,,,proposed_c2f_adaptive_pd,0.0,0.0,0.0,2.07347972972973,1.2440878378378377,29627.889511500078,17776.733706900046
