experiment,condition,R_min_mbps,wall_time_s,seconds_per_trial,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_D_cluster_ci95_low,P_D_cluster_ci95_high,P_D_cluster_ci95_half_width,P_D_weak,P_D_weak_cluster_ci95_low,P_D_weak_cluster_ci95_high,P_FA_active,P_FA_cluster_ci95_low,P_FA_cluster_ci95_high,P_FA_cluster_ci95_half_width,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,selected_observations_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,receiver_capacity_max_utilization_mean,receiver_capacity_binding_rate,fusion_capacity_max_utilization_mean,fusion_capacity_binding_rate,report_capacity_utilization_mean,report_capacity_binding_rate,assignment_capacity_max_utilization_mean,assignment_capacity_binding_rate,cpu_capacity_max_utilization_mean,cpu_capacity_binding_rate,selector_score_evaluations_mean,coordination_messages_mean,detection_runtime_mean_ms,detection_runtime_p90_ms,bid_rounds_mean,bundle_column_count_mean,bundle_pricing_iterations_mean,bundle_lp_worst_deficit_bound_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
target_local_v1_communication,Rmin_0.1Mbps,0.1,27.82428619998973,0.2782428619998973,proposed_c2f_adaptive_pd,0.975,0.9633544581334902,0.9830099882094389,0.009827765037974334,0.965,0.985,0.010000000000000009,0.93,0.88,0.98,0.051654964894684054,0.04921842592592593,0.0540038888888889,0.0023927314814814853,0.0515,473.6,0.7893333333333334,0.74,12.24,1.0,1.0,865.48,0.5314911618169282,3.953695469135882,3.6555863608660486,3.712334630642141,0.9996359665186019,0.9992722393114711,0.9993449847528971,3.54193705342311,1.0,1.0,14031.768472646438,242.9495041718097,27.45125726811289,7511.665627213504,865.48,61.11,0.9969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12756.24,12756.24,0.0,0.0,0.0,0.0,0.0,nan,0.81,2310.1863613680944,0.95,0.975,0.96,0.99,2.058699324324324,1.2352195945945943,29627.889511500078,17776.733706900046
target_local_v1_communication,Rmin_0.2Mbps,0.2,27.32528720004484,0.2732528720004484,proposed_c2f_adaptive_pd,0.975,0.9633544581334902,0.9830099882094389,0.009827765037974334,0.965,0.985,0.010000000000000009,0.93,0.88,0.98,0.051654964894684054,0.04921842592592593,0.0540038888888889,0.0023927314814814853,0.0515,473.6,0.7893333333333334,0.74,12.24,1.0,1.0,865.48,0.5314911618169282,3.953695469135882,3.6555863608660486,3.712334630642141,0.9996359665186019,0.9992722393114711,0.9993449847528971,3.54193705342311,1.0,1.0,14031.768472646438,242.9495041718097,27.45125726811289,7511.665627213504,865.48,61.11,0.9969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12756.24,12756.24,0.0,0.0,0.0,0.0,0.0,nan,0.81,2310.1863613680944,0.95,0.975,0.96,0.99,2.058699324324324,1.2352195945945943,29627.889511500078,17776.733706900046
target_local_v1_communication,Rmin_0.5Mbps,0.5,28.354550100048073,0.2835455010004807,proposed_c2f_adaptive_pd,0.975,0.9633544581334902,0.9830099882094389,0.009827765037974334,0.965,0.985,0.010000000000000009,0.93,0.88,0.98,0.051654964894684054,0.04921842592592593,0.0540038888888889,0.0023927314814814853,0.0515,473.6,0.7893333333333334,0.74,12.24,1.0,1.0,865.48,0.5314911618169282,3.953695469135882,3.6555863608660486,3.712334630642141,0.9996359665186019,0.9992722393114711,0.9993449847528971,3.54193705342311,1.0,1.0,14031.768472646438,242.9495041718097,27.45125726811289,7511.665627213504,865.48,61.11,0.9969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12756.24,12756.24,0.0,0.0,0.0,0.0,0.0,nan,0.81,2310.1863613680944,0.95,0.975,0.96,0.99,2.058699324324324,1.2352195945945943,29627.889511500078,17776.733706900046
target_local_v1_communication,Rmin_1Mbps,1.0,24.443175000022165,0.24443175000022166,proposed_c2f_adaptive_pd,0.975,0.9633544581334902,0.9830099882094389,0.009827765037974334,0.965,0.985,0.010000000000000009,0.93,0.88,0.98,0.051654964894684054,0.049192499999999986,0.054037314814814816,0.0024224074074074148,0.0515,441.6,0.7360000000000001,0.69,12.26,1.0,1.0,584.22,0.33633679267554795,4.273245727775227,3.9058240713226366,3.981526391034408,1.0,1.0,1.0,4.442734091190091,1.0,1.0,14031.752822665998,242.9495041718097,27.45125726811289,7511.665627213504,584.22,61.13,0.9969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8868.59,8868.59,0.0,0.0,0.0,0.0,0.0,nan,0.81,2310.1863613680944,0.95,0.975,0.96,0.99,2.2078804347826084,1.324728260869565,31774.80258755887,19064.88155253532
target_local_v1_communication,Rmin_2Mbps,2.0,21.487554300110787,0.21487554300110787,proposed_c2f_adaptive_pd,0.972,0.9598295551975795,0.9805578525368679,0.010364148669644191,0.9600000000000002,0.9830000000000001,0.011499999999999955,0.91,0.85,0.96,0.05172183216315614,0.04925546296296297,0.054066666666666666,0.0024056018518518463,0.05156666666666666,339.2,0.5653333333333334,0.53,12.3,1.0,1.0,328.3,0.15785398832573466,5.469140460509248,5.400284665124019,5.412181172961971,1.0,1.0,1.0,7.327073524788617,1.0,1.0,14031.738686852446,242.9495041718097,27.41752831398701,7511.665627213504,328.3,60.86,0.9969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5320.18,5320.18,0.0,0.0,0.0,0.0,0.0,nan,0.8,2310.173743101656,0.95,0.9719999999999999,0.95,0.99,2.865566037735849,1.7193396226415094,41367.15414756028,24820.292488536164
