scene,realisation,receiver,target,boost_db,arm,conflict_index,direct_inr_db,kappa_db,eta_survive_q,model_rank,cov_rank,cov_trace_over_noise,cov_max_eig_over_noise,transfer_energy,ncp_unit,identifiable_fraction,statistic,residual_power,whitened_residual_power
0,0,0,1,30.0,no_ic,0.03207358356596697,32.1591841410702,0.0,1.0,0,45,1943.1924737135996,23841521.74660667,0.573054357179459,0.5719491957320776,0.9980714544204481,37.486999480097296,1.0322873369488337e-06,32274.936936442835
0,0,0,1,30.0,plain_ls,0.03207358356596697,32.1591841410702,14.274522105444996,0.9970194029689,5,48,109.41761807015325,712489.3170697748,0.5730543503189943,0.5719491959754045,0.9980714667937263,37.48599324449272,3.9123348841727766e-08,32269.891126265968
0,0,0,1,30.0,protected_ls,0.03207358356596697,32.1591841410702,13.132109072391758,0.9999949490365789,5,50,132.88191608017553,739940.6083147468,0.4760136521841024,0.4669142760901295,0.9808842119291703,14.419116372039534,5.0638248256061587e-08,32006.469946229096
0,0,0,1,30.0,tp_uic_full,0.03207358356596697,32.1591841410702,14.274512499254573,0.9983064360529178,50,45,109.41795282263931,712491.7056468358,0.5734971798104075,0.5723907330438835,0.9980707023408734,37.50864781661688,3.91234332273207e-08,32269.956012070823
0,0,0,1,30.0,perfect_channel,0.03207358356596697,32.1591841410702,inf,1.0,0,30,1.0001443735366702,2.5952930485581134,0.5772810227288578,0.5761552877369663,0.9980499359106418,6.228632953975802,6.227145622078503e-10,16254.236111536793
0,1,0,1,30.0,no_ic,0.03703550074086702,32.35061942298008,0.0,1.0,0,45,1943.218908532565,23841366.375704832,0.5669482885519259,0.565828899218423,0.9980255883012507,150.10127290357786,1.0792114524363166e-06,60545.356145513484
0,1,0,1,30.0,plain_ls,0.03703550074086702,32.35061942298008,11.137521549353986,0.9984895113116172,5,49,109.42503506767989,712788.8112081407,0.5669482967944695,0.5658289387795514,0.9980256435705921,150.10098724270148,8.36059899846493e-08,60540.18815028705
0,1,0,1,30.0,protected_ls,0.03703550074086702,32.35061942298008,10.589262630013106,0.999994547649086,5,50,133.064808438013,734653.3088920411,0.527416524393554,0.5262740800857947,0.9978338860181277,127.43162987544613,9.47568954068458e-08,60153.32794393063
0,1,0,1,30.0,tp_uic_full,0.03703550074086702,32.35061942298008,11.137488655465349,0.9994916781877413,50,45,109.42555371806944,712790.8491003534,0.5671595790628181,0.5660388705363689,0.99802399788733,150.0991670443132,8.360662791953396e-08,60540.32186354287
0,1,0,1,30.0,perfect_channel,0.03703550074086702,32.35061942298008,inf,1.0,0,30,1.0001443735366702,2.5952930485581134,0.5772810227288578,0.5761552877369663,0.9980499359106418,7.812859939957047,6.331789008349507e-10,16525.251919480877
1,0,0,1,30.0,no_ic,0.12324760436083289,27.002313720225196,0.0,1.0,0,45,484.13077293413244,3418657.131617381,0.4112757910262932,0.376571938856463,0.9156190251723045,4.424883413903317,3.153612750649547e-07,17148.494608571295
1,0,0,1,30.0,plain_ls,0.12324760436083289,27.002313720225196,17.32958223874253,0.9811399490966846,5,47,22.831093193189094,109113.6707047951,0.4114482456005219,0.37660692691762954,0.9153202886257533,4.406962593924662,6.459068287624411e-09,17150.00341411451
1,0,0,1,30.0,protected_ls,0.12324760436083289,27.002313720225196,3.4200478342045453,0.9994688192608736,5,50,195.23669162753768,2503075.708736678,0.38314992502084744,0.34503767344979697,0.9005291425569854,3.770789069732363,1.4388421466954977e-07,17071.974774009883
1,0,0,1,30.0,tp_uic_full,0.12324760436083289,27.002313720225196,16.99739276578258,0.9873440250824117,50,45,25.154681859427605,137648.87084272568,0.4117660618602512,0.3770320624045226,0.9156462791061276,4.427229114933827,6.923443943348745e-09,17146.421420043596
1,0,0,1,30.0,perfect_channel,0.12324760436083289,27.002313720225196,inf,1.0,0,30,1.0041175365358928,60.71401052447237,0.43771806199855146,0.4036246670311068,0.9221110620572073,4.659342240410164,6.188204179091921e-10,16150.735420432018
1,1,0,1,30.0,no_ic,0.10756979832679961,24.99095955970999,0.0,1.0,0,45,484.1325847722918,3430462.2885195576,0.4153217364313841,0.3807331057339593,0.9167184674834874,3.646020595497978,1.9885983995602835e-07,18286.820811357014
1,1,0,1,30.0,plain_ls,0.10756979832679961,24.99095955970999,13.62019972374287,0.9841867281892682,5,47,22.889562812500543,104575.83641262449,0.4154663705353758,0.3808264378571739,0.9166239793763227,3.5486438791071038,9.232742153724672e-09,18282.689244459307
1,1,0,1,30.0,protected_ls,0.10756979832679961,24.99095955970999,5.421048025792885,0.9980477534657822,5,50,192.32718346304125,2323685.5062950742,0.38387418409225244,0.34842211271587425,0.9076466382853754,4.85828898153175,5.7527222874785956e-08,18255.118607628974
1,1,0,1,30.0,tp_uic_full,0.10756979832679961,24.99095955970999,13.434971383303075,0.9863178383942627,50,45,24.340555126139368,117605.17737225359,0.41582535687899974,0.3812065458063716,0.9167467531743096,3.637307399069994,9.593512079617814e-09,18282.953369691102
1,1,0,1,30.0,perfect_channel,0.10756979832679961,24.99095955970999,inf,1.0,0,30,1.0041175365358928,60.71401052447237,0.43771806199855146,0.4036246670311068,0.9221110620572073,3.338112811396349,6.34472339035667e-10,16548.65335392667
