experiment,cpu_budget_cycles,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_D_cluster_ci95_low,P_D_cluster_ci95_high,P_D_cluster_ci95_half_width,P_D_weak,P_D_weak_cluster_ci95_low,P_D_weak_cluster_ci95_high,P_FA_active,P_FA_cluster_ci95_low,P_FA_cluster_ci95_high,P_FA_cluster_ci95_half_width,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,selected_observations_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,receiver_capacity_max_utilization_mean,receiver_capacity_binding_rate,fusion_capacity_max_utilization_mean,fusion_capacity_binding_rate,report_capacity_utilization_mean,report_capacity_binding_rate,assignment_capacity_max_utilization_mean,assignment_capacity_binding_rate,cpu_capacity_max_utilization_mean,cpu_capacity_binding_rate,selector_score_evaluations_mean,coordination_messages_mean,detection_runtime_mean_ms,detection_runtime_p90_ms,bid_rounds_mean,bundle_column_count_mean,bundle_pricing_iterations_mean,bundle_lp_worst_deficit_bound_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms,paired_reference_method,paired_reference_delta_P_D,paired_reference_delta_ci95_low,paired_reference_delta_ci95_high
v1.4_rcs_robust_cpu_dynamic_bundle,20000000.0,rcs_robust_bundle_cg,0.72,0.6251178763865427,0.7986044083240164,0.08674326596873683,0.6699999999999999,0.76,0.04500000000000004,0.6,0.3,0.9,0.05824915824915825,0.05133333333333333,0.0643379629629629,0.006502314814814787,0.057666666666666665,14400.0,24.000000000000007,22.5,44.9,1.0,1.0,1110.2,0.43952380952380954,1.7786303015649665,0.6805071280160682,0.8389288394486364,0.9859287252694777,0.8000150467532638,0.9863548321251334,-1.1267653276457115,1.0,1.0,292.06039322281026,18.093429512167226,0.3214032945679694,268.2211702164976,0.0,0.0,0.9817122593718338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.8,1231.5,0.0,0.0,0.0,0.0,1231.5,2.0,0.864386668724306,0.0,17.262949922635862,0.4,0.72,0.5,1.0,0.049999999999999996,0.02999999999999999,20.281971751584045,12.169183050950425,rcs_robust_bundle_cg,0.0,0.0,0.0
v1.4_rcs_robust_cpu_dynamic_bundle,20000000.0,joint_bundle_cg,0.63,0.5322034757513312,0.7181778743049083,0.09298719927678856,0.55,0.71,0.07999999999999996,0.6,0.3,0.9,0.05656565656565657,0.051000000000000004,0.06229629629629631,0.005648148148148152,0.056,11520.0,19.20000000000001,18.0,38.4,1.0,1.0,1082.2,0.43952380952380954,1.777362152146054,0.7392883944682296,0.8362650841506412,0.9871034804433613,0.867825253187058,0.9710562975530103,-1.1855430396684055,1.0,1.0,209.84727012751267,10.61170751365264,0.2552090966363329,266.13895045238655,0.0,0.0,0.9798326898326899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.925,0.7,1229.6,0.0,0.0,0.0,0.0,1229.6,2.0,0.802515950895226,0.0,16.71989727520197,0.2,0.63,0.4,0.8,0.0546875,0.03281249999999998,18.215908865235477,10.92954531914128,rcs_robust_bundle_cg,0.09,0.021789997475117742,0.15821000252488227
v1.4_rcs_robust_cpu_dynamic_bundle,20000000.0,fixed_fusion_bundle,0.64,0.542352199811621,0.7272892540950986,0.09246852714173881,0.58,0.7,0.06,0.5,0.2,0.8,0.05555555555555555,0.04833333333333333,0.06233333333333334,0.007000000000000003,0.055,9024.0,15.040000000000003,14.1,26.9,1.0,1.0,1156.4,0.43952380952380954,1.690801975584246,0.8548234516452148,0.9664387322953537,0.9909472616150656,0.9093919908429788,0.992440778090758,-1.2668014052391696,1.0,1.0,226.09180716874835,10.958656576649489,0.10740140217041601,168.13351539102402,0.0,0.0,0.9736484983314794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.6,81.6,0.0,0.0,0.0,0.0,81.6,2.0,0.8108259985555526,0.0,16.81890112850557,0.3,0.6399999999999999,0.5,0.9,0.07092198581560284,0.042553191489361694,25.05449990788435,15.032699944730606,rcs_robust_bundle_cg,0.08,0.015986668055266287,0.1440133319447337
v1.4_rcs_robust_cpu_dynamic_bundle,20000000.0,local_only_bundle,0.56,0.4622792771125631,0.6532813459903167,0.09550103443887681,0.4600000000000001,0.65,0.09499999999999997,0.5,0.2,0.8,0.04931972789115646,0.04255462962962963,0.05644537037037036,0.006945370370370366,0.04833333333333333,0.0,0.0,0.0,23.2,1.0,1.0,1108.8,0.43952380952380954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,165.35350970032624,6.552813948786342,0.07792601312644921,187.4152415132524,0.0,0.0,0.9806600901230057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.1,624.3,0.0,0.0,0.0,0.0,624.3,2.0,0.83256883340876,0.0,8.01369378505826,0.2,0.5599999999999998,0.3,0.7,560000000000.0001,560000000000.0001,165353509700326.25,165353509700326.25,rcs_robust_bundle_cg,0.16,0.06221802029230768,0.25778197970769234
