method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA,P_FA_ci95_low,P_FA_ci95_high,P_FA_ci95_half_width,P_FA_overall,P_FA_overall_ci95_low,P_FA_overall_ci95_high,P_FA_overall_ci95_half_width,B_mean_bits,B_std_bits,T_mean_ms,T_std_ms,selected_links_mean,selected_links_std,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,paired_proposed_delta_P_D,paired_proposed_delta_ci95_low,paired_proposed_delta_ci95_high,paired_reference_method,paired_reference_delta_P_D,paired_reference_delta_ci95_low,paired_reference_delta_ci95_high,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
proposed_c2f,0.839,0.8222446725163703,0.8544555217504819,0.016105424617055775,0.04755256807997242,0.04585061347510749,0.04931443330111286,0.001731909913002684,0.045983333333333334,0.044336261520280994,0.047688539771774945,0.0016761391257469754,6400.0,0.0,10.666666666666668,1.734723475976807e-15,10.0,0.0,0.9705000000000001,1.0,603.885,0.5290964551576377,3.8513408434754925,3.346586995054013,3.414378603286368,0.9852106158433639,0.9365017439851252,0.9601213292171599,2.4447434081347565,1.0,1.0,45817.30428678618,147.57506404629024,1.051677834951066,3069.744860873689,603.885,213.05,0.9965,0.495,1447.7486384385038,0.825,0.8390000000000001,0.815,0.865,,,,proposed_c2f_adaptive_logpd,0.0075,0.0009923662916224247,0.014007633708377574,0.13109374999999998,0.07865624999999998,7158.953794810341,4295.3722768862035
proposed_c2f_adaptive_pd,0.848,0.831598997753605,0.8630666883964381,0.01573384532141653,0.047800338409475465,0.04610948203689391,0.049549978447312584,0.0017202482052093362,0.04708333333333333,0.04541724647686532,0.04880741396554207,0.0016950837443383757,6400.0,0.0,10.666666666666668,1.734723475976807e-15,10.0,0.0,0.99,1.0,603.885,0.5290964551576377,3.8669633018498333,3.390722934794669,3.4527221698021746,0.9955395082876438,0.9832577869310346,0.9886465546151831,2.5769921492519163,1.0,1.0,3122719.0509109083,384.00839146471856,0.974762940361782,48764.861268024186,603.885,95.95,0.995,0.485,36086.83904066202,0.815,0.8479999999999999,0.8,0.895,,,,proposed_c2f_adaptive_logpd,-0.0015000000000000002,-0.004090974283680459,0.0010909742836804589,0.13249999999999998,0.07949999999999999,487924.8517048294,292754.91102289764
proposed_c2f_adaptive_logpd,0.8465,0.8300386551928598,0.8616327823099847,0.015797063558562474,0.04792294807370184,0.04623837402848812,0.04966569925312129,0.001713662612316584,0.047683333333333335,0.04600698248341445,0.04941760113191193,0.001705309324248741,6400.0,0.0,10.666666666666668,1.734723475976807e-15,10.0,0.0,1.0,1.0,603.885,0.5290964551576377,3.8669633018498333,3.390722934794669,3.4527221698021746,0.9955395082876438,0.9832577869310346,0.9886465546151831,2.5769921492519163,1.0,1.0,3122719.0446858234,384.00839146471856,0.9126201920677575,48764.861268024186,603.885,95.95,0.995,0.485,36086.83312659743,0.815,0.8465,0.795,0.89,,,,proposed_c2f_adaptive_logpd,0.0,0.0,0.0,0.132265625,0.079359375,487924.85073215986,292754.9104392959
exact_marginal_greedy,0.8305,0.8134263919140438,0.8463063933520173,0.01644000071898677,0.047864583333333335,0.046151116418284704,0.04963835606717536,0.0017436198244453263,0.04595,0.04430350846581111,0.04765463042774932,0.001675560980969104,6400.0,0.0,10.666666666666668,1.734723475976807e-15,10.0,0.0,0.9635000000000001,1.0,603.885,0.5290964551576377,3.8666355065139806,3.340942878558402,3.4103159074648532,0.9858086599952439,0.9367331691634394,0.9609017499767792,2.4859629578501123,1.0,1.0,45844.68251037127,147.23838180969756,0.9517207635596641,3201.584753599313,0.0,0.0,0.9965,0.47,1463.1977003092973,0.82,0.8305,0.805,0.85,,,,proposed_c2f_adaptive_logpd,0.016,0.007498462923487508,0.024501537076512495,0.129765625,0.077859375,7163.231642245511,4297.938985347306
sense_sinr,0.8045,0.7865419879122189,0.8212904874690687,0.017374249778424944,0.04747841105354059,0.045776013685239696,0.049240853036777575,0.0017324196757689397,0.045816666666666665,0.044172498670663966,0.047518990628914466,0.00167324597912525,6400.0,0.0,10.666666666666668,1.734723475976807e-15,10.0,0.0,0.9705000000000001,1.0,603.885,0.5290964551576377,3.8119408254022447,3.306426688773734,3.374555633719183,0.9669258019076138,0.8689224809364,0.9112699506651282,2.264855848275802,1.0,1.0,3078377.6338576144,319.65486884683867,0.6853955727716529,44801.65706066779,0.0,0.0,0.9945,0.43,36061.738905583996,0.81,0.8045,0.77,0.84,,,,proposed_c2f_adaptive_logpd,0.041999999999999996,0.0293144767351712,0.05468552326482879,0.125703125,0.07542187499999999,480996.5052902522,288597.9031741513
