split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,dof_real,identifiable_fraction,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,protect_dim,n_coefficients,calibration_error_db
calibration,0,1,2,0,40.0,no_ic,0.01952703491268953,36.14689058783366,1,1,254.978255020661,210.53331749045236,10,0.9996923134231434,0.0,0.0,2.584700499676971e-06,2.584700499676971e-06,2.584700499676971e-06,0.0,1.0,1.0,1.0,1.0,0.046722641026702635,0,5,0.0
calibration,0,1,2,0,40.0,plain_ls,0.01952703491268953,36.14689058783366,1,1,254.95653214347044,210.513416728234,10,0.999692318853348,13.501334820422455,13.501339792782757,2.584700499676971e-06,1.1541885051309755e-07,1.1541871836686828e-07,1.3214622927503555e-13,0.9999707467489266,0.9931519605411167,0.9999118871903885,0.9987112896170954,0.046722641026702635,0,5,57.800055521474015
calibration,0,1,2,0,40.0,protected_ls,0.01952703491268953,36.14689058783366,1,1,115.88737755691798,127.25683498171782,10,0.9997258872380098,13.303340058767803,13.30334441409037,2.584700499676971e-06,1.208025831223485e-07,1.2080246197552888e-07,1.2114681962703844e-13,0.9999915680225006,0.9932047556730168,1.0,0.998939442601958,0.046722641026702635,15,5,12.5888440894823
calibration,0,1,2,0,40.0,tp_uic_full,0.01952703491268953,36.14689058783366,1,1,255.284404703983,210.7941956507086,10,0.9996919860209743,13.501334503656707,13.501339413817306,2.584700499676971e-06,1.1541885893151901e-07,1.1541872843830836e-07,1.3049321065171487e-13,0.9999790551300103,0.9931522878330985,0.9999528356796383,0.9987359017150338,0.046722641026702635,15,5,57.799135138539995
calibration,0,1,2,0,40.0,perfect_channel,0.01952703491268953,36.14689058783366,1,1,5.947970031660949,2.673229269150731,10,0.9996919875777991,inf,inf,2.584700499676971e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.046722641026702635,0,5,nan
calibration,0,1,2,1,40.0,no_ic,0.02225577634863331,36.27262498062429,1,1,78.15367406889189,86.0714807458859,10,0.9996929425610345,0.0,0.0,2.660624991058675e-06,2.660624991058675e-06,2.660624991058675e-06,0.0,1.0,1.0,1.0,1.0,0.06238120596090798,0,5,0.0
calibration,0,1,2,1,40.0,plain_ls,0.02225577634863331,36.27262498062429,1,1,78.09711475342671,86.01888972277277,10,0.9996929539003659,11.295832614066985,11.29583606497575,2.660624991058675e-06,1.9742420809585763e-07,1.974240512224254e-07,1.5687343220881717e-13,0.9998548983987555,0.9918221159594937,0.9999417886886454,0.9983763912038013,0.06238120596090798,0,5,60.13129214852533
calibration,0,1,2,1,40.0,protected_ls,0.02225577634863331,36.27262498062429,1,1,28.24706944568269,34.60206300172672,10,0.9997008756083395,11.174128516356925,11.174132424962245,2.660624991058675e-06,2.0303495540380418e-07,2.0303477267453105e-07,1.8272927313883976e-13,0.9999805218761483,0.9918867882573089,1.0,0.9988313807093642,0.06238120596090798,15,5,14.447733392016307
calibration,0,1,2,1,40.0,tp_uic_full,0.02225577634863331,36.27262498062429,1,1,78.67610056641824,86.46352962612346,10,0.9996926829607031,11.295832524823076,11.295836038682568,2.660624991058675e-06,1.9742421215276116e-07,1.9742405241767588e-07,1.5973508529317899e-13,0.9999237368855117,0.9918267521334971,0.9999856322712195,0.9984027978373767,0.06238120596090798,15,5,60.13035449433776
calibration,0,1,2,1,40.0,perfect_channel,0.02225577634863331,36.27262498062429,1,1,2.0046987499770523,4.1311415802631295,10,0.9996919875777991,inf,inf,2.660624991058675e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.06238120596090798,0,5,nan
calibration,0,1,2,2,40.0,no_ic,0.02045708116333064,36.089524800162096,1,1,4496.955877816688,4579.240289921159,10,0.9996929284341627,0.0,0.0,2.5507837876131434e-06,2.5507837876131434e-06,2.5507837876131434e-06,0.0,1.0,1.0,1.0,1.0,0.07199736340109235,0,5,0.0
calibration,0,1,2,2,40.0,plain_ls,0.02045708116333064,36.089524800162096,1,1,4496.89990284595,4579.190053679625,10,0.9996929366488035,9.417519894364064,9.417521636142451,2.5507837876131434e-06,2.916900793258934e-07,2.916899623408992e-07,1.1698499420318918e-13,0.999986483748633,0.9951938072486832,0.999889291258968,0.9987620257277079,0.07199736340109235,0,5,61.82650466793025
calibration,0,1,2,2,40.0,protected_ls,0.02045708116333064,36.089524800162096,1,1,1476.9979977729347,1518.728198693614,10,0.9997054835997441,9.366663741199217,9.366665511707836,2.5507837876131434e-06,2.951258656185764e-07,2.9512574530325944e-07,1.2031531697493123e-13,0.9999930065075542,0.9952680006937497,1.0,0.999015855741943,0.07199736340109235,15,5,16.367508809508706
calibration,0,1,2,2,40.0,tp_uic_full,0.02045708116333064,36.089524800162096,1,1,4498.926003104053,4581.1801773745565,10,0.9996930183334114,9.417519028479127,9.417520781415424,2.5507837876131434e-06,2.916901374823014e-07,2.9169001974787287e-07,1.1773442853804823e-13,1.0000303796941254,0.9951967388764098,0.9999370684638906,0.9987863717263925,0.07199736340109235,15,5,61.82576513040317
calibration,0,1,2,2,40.0,perfect_channel,0.02045708116333064,36.089524800162096,1,1,6.0006014345384795,11.259479687168723,10,0.9996919875777991,inf,inf,2.5507837876131434e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.07199736340109235,0,5,nan
calibration,0,3,2,0,40.0,no_ic,0.006539906985412852,45.68816996773151,1,1,54362.47484986025,54267.766660384426,10,0.9991283980601138,0.0,0.0,2.325616846604823e-05,2.325616846604823e-05,2.325616846604823e-05,0.0,1.0,1.0,1.0,1.0,0.2278958720860367,0,5,0.0
calibration,0,3,2,0,40.0,plain_ls,0.006539906985412852,45.68816996773151,1,1,54361.33093787574,54266.623797655164,10,0.9991284599785409,6.873514669585821,6.87351478448304,2.325616846604823e-05,4.777346017033736e-06,4.777345890643972e-06,1.263897639743014e-13,0.999950690559335,0.9977978526835763,0.9997055064107928,0.999523438969244,0.2278958720860367,0,5,73.96915491006175
calibration,0,3,2,0,40.0,protected_ls,0.006539906985412852,45.68816996773151,1,1,78149.73907616264,78210.70335459628,10,0.999232346101145,6.780339350113077,6.780339457710685,2.325616846604823e-05,4.8809485496810085e-06,4.880948428754218e-06,1.2092679050765378e-13,0.9999931689042675,0.9979336545307347,1.0,0.9999135985758075,0.2278958720860367,15,5,15.850398178407819
calibration,0,3,2,0,40.0,tp_uic_full,0.006539906985412852,45.68816996773151,1,1,54357.802519380086,54263.16797379295,10,0.9991286312313019,6.8735141824757715,6.87351429660665,2.325616846604823e-05,4.777346552866789e-06,4.777346427320006e-06,1.2554678260051878e-13,0.9999798351405828,0.997804805760476,0.9997803382652443,0.9995940385500033,0.2278958720860367,15,5,73.9680961173366
calibration,0,3,2,0,40.0,perfect_channel,0.006539906985412852,45.68816996773151,1,1,5.2468134061504355,5.3476357574775255,10,0.9991280935292541,inf,inf,2.325616846604823e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2278958720860367,0,5,nan
