experiment,condition,fusion_rule,wall_time_s,seconds_per_trial,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
target_local_v1_fusion_rule,max_in_rate,max_in_rate,48.559098099998664,0.48559098099998665,proposed_c2f_adaptive_pd,0.866,0.8434794492074035,0.8857192610273587,0.021119905909977588,0.04978268137746573,0.049633333333333335,10233.6,17.056000000000004,15.99,0.998,1.0,606.2,0.5314911618169282,4.0904001481189685,3.598809122574728,3.65822264873128,0.9966359997321783,0.984520022637031,0.9904510767079162,3.0605803663019553,1.0,1.0,5513683.2921532225,398.97063244343417,1.7427566399847627,47248.98198283964,606.2,125.69,0.9983548387096775,0.66,20446.420106896752,0.85,0.866,0.8,0.92,0.08462320200125077,0.05077392120075046,538782.3729824522,323269.4237894712
target_local_v1_fusion_rule,max_min_rate,max_min_rate,48.694703500019386,0.4869470350001939,proposed_c2f_adaptive_pd,0.946,0.9302075210460795,0.9583788854148602,0.014085682184390325,0.048044132397191575,0.0479,9190.4,15.317333333333336,14.36,1.0,1.0,508.9,0.5314911618169282,1.6230575703895445,0.973737080089252,1.063374744872838,0.9944784016102409,0.9754528423334338,0.9845986833599227,-1.4644879522103205,1.0,1.0,187688.08071538075,530.3455573839092,11.527182002813568,33189.9487943093,508.9,138.17,0.9974117647058824,0.8,24326.879441525183,0.94,0.946,0.93,0.97,0.102933495821727,0.0617600974930362,20422.18844831354,12253.313068988122
target_local_v1_fusion_rule,nearest_target,nearest_target,42.68747720000101,0.4268747720000101,proposed_c2f_adaptive_pd,0.979,0.9681094652438844,0.9862243659103536,0.009057450333234573,0.04897822445561139,0.04873333333333333,7782.4,12.970666666666668,12.16,1.0,1.0,518.54,0.5314911618169282,3.0003562409235167,1.0357534246777742,1.2679896079802966,0.9996451511627328,0.9964110956288924,0.9997316200834342,2.0192498078846386,1.0,1.0,5895562.047935251,2154.9429726272338,34.81204360853234,148128.90648869783,518.54,119.14,0.9953766233766234,0.88,102373.45452654648,0.97,0.9790000000000001,0.96,1.0,0.12579666940789475,0.07547800164473684,757550.6332153643,454530.37992921856
