trial,arm,receiver,target,gate,t_h1,thr_h1,det_h1,dof_h1,kappa_db,eta_survive,eta_survive_q,s_q_energy,rho_weighted,rho_min,xi_rel,ncp_unit,ncp_best,calib_min_ratio,gate_targets,supported_targets,n_candidates,t_h0,thr_h0,det_h0,dof_h0
0,no_ic,5,8,2.14762660599707e-13,17.275656141920756,20.66856907571369,0,28,0.0,1.0,1.0,8.283168786267226e-14,2.9284072167963237e-06,8.523799133545448e-12,3.024614565379968e-13,7.065638320425618e-06,5.311399808866025e-06,11.178789519848086,0,0,0,9.020093366389826,20.66856907571369,0,28
0,fixed_kappa,5,8,2.14762660599707e-13,16.936848642680754,20.66856907571369,0,28,39.99999999999999,1.0,1.0,8.283168786267226e-14,3.512890145162901e-06,9.423657023288727e-12,3.5644254846477525e-13,8.574836218453414e-06,6.732654811607936e-06,1.0010178789519852,0,0,0,9.639925588668067,20.66856907571369,0,28
0,plain_ls,5,8,2.14762660599707e-13,19.157108657803125,20.66856907571369,0,28,32.64947553089491,0.5065633209482949,0.9816275307226395,8.283168786267226e-14,1.4242118553409475e-06,4.698853867304626e-12,1.0256010155833894e-13,3.4351075220258696e-06,2.617755135987015e-06,0.9999999999999962,0,0,0,7.517046833674403,20.66856907571369,0,28
0,ridge_ls,5,8,2.14762660599707e-13,17.937240905292363,20.66856907571369,0,28,32.651198189053204,0.5067855403271205,0.9816653315356931,8.283168786267226e-14,2.5516125077781632e-06,7.441922031719856e-12,2.0340584085107184e-13,6.1544007896234435e-06,4.808696666230733e-06,0.9999999999999973,0,0,0,8.84082652766989,20.66856907571369,0,28
0,protected_ls,5,8,2.14762660599707e-13,21.68683826124249,20.66856907571369,1,28,7.499853452912721,0.6338366731745809,0.9999999894561878,8.283168786267226e-14,4.889062598821472e-07,5.351393858795038e-12,2.6561948620949014e-13,1.149678335046525e-06,8.329637381189453e-07,1.9999999999998201,0,0,0,9.144283772633159,20.66856907571369,0,28
0,tp_uic_stage1,5,8,2.14762660599707e-13,19.019184987539468,20.66856907571369,0,28,7.49969798126175,0.6342103128778448,0.999999989633413,8.283168786267226e-14,5.372834658921151e-07,5.7452037573843665e-12,2.6962388346075326e-13,1.263623320957282e-06,8.666035741357964e-07,1.5745854396048533,0,0,0,8.093185206204307,20.66856907571369,0,28
0,tp_uic_full,5,8,2.14762660599707e-13,17.90637973996998,20.66856907571369,0,28,32.773199487766064,0.508036058424449,0.9945153583867004,8.283168786267226e-14,2.5004182677073446e-06,7.428679004822494e-12,2.040504315150056e-13,6.0815656842887586e-06,4.748431905828249e-06,1.0000013606695777,10,3,126,8.788131494647978,20.66856907571369,0,28
0,perfect_channel,5,8,2.14762660599707e-13,16.92398108459109,20.66856907571369,0,28,inf,1.0,1.0,8.283168786267226e-14,3.514934150980706e-06,9.426109971467518e-12,3.5648904625412066e-13,8.586726102377875e-06,6.744040689272539e-06,1.0,0,0,0,9.618445273964735,20.66856907571369,0,28
1,no_ic,2,5,2.982795285253295e-13,12.596190039450084,20.66856907571369,0,28,0.0,1.0,1.0,3.114427934766046e-13,0.00040732310015394055,9.260124060381066e-10,7.168643701158339e-12,0.0032214810650628214,0.0022572210317578704,13.754786443097856,0,0,0,16.28726210774003,20.66856907571369,0,28
1,fixed_kappa,2,5,2.982795285253295e-13,9.454430269173228,20.66856907571369,0,28,39.99999999999999,1.0,1.0,3.114427934766046e-13,0.0013647675639191187,2.0948527612781867e-09,1.104387568002764e-11,0.011090580449149408,0.00926720522815283,1.0012754786443105,0,0,0,20.073954869504973,20.66856907571369,0,28
