split,scene_id,boost_db,two_cpi_h0,two_cpi_h1,perfect_two_cpi_h0,perfect_two_cpi_h1,crossfit_map_h0,map_seconds_h0,crossfit_map_h1,map_seconds_h1
train,0,10.0,15.421278315425788,16.703437528584946,14.194888714100689,18.79259993512822,15.217198822726694,5.577459299936891,17.006281067474895,5.543888899963349
calibration,1,10.0,16.458260528503942,14.970125364867442,15.890215358998411,13.810803088344624,16.305007960736305,5.580621000146493,14.946122269427388,5.688143500126898
calibration,2,10.0,11.458172861268801,11.277099213534417,11.405347337870872,11.537263617574162,11.408542588148485,5.733806800097227,11.266814874598179,5.793204799992964
test,3,10.0,12.127311663800675,16.922866750861107,11.771197552878093,16.89508320009916,12.009918732936146,5.730395900085568,16.988478063572476,5.825382400071248
test,4,10.0,15.43929849225592,18.850158955328435,13.789985008687026,19.977235073453542,15.565336671450517,5.842224899912253,19.004708287143558,5.801950399996713
test,5,10.0,9.790781976240007,62.62140985569326,10.417077581347115,59.73182458520328,10.376482082224683,5.960713000036776,62.124339751591336,5.897448300151154
test,6,10.0,13.620104339108568,32.76488216237032,19.194865214880394,37.52570548255005,14.57484476934087,5.852021900005639,33.380562926693415,5.90831149998121
test,7,10.0,12.00225691453586,30.352357022113125,12.617775093347506,30.17131690095129,11.84099033814184,5.843964899890125,30.060206348331928,5.847366500180215
test,8,10.0,14.224484361392458,15.90785902329864,14.874128075716003,15.057808380556132,14.114456664900098,5.71759989997372,16.14097045254795,5.771675300085917
test,9,10.0,13.252648751650613,52.68086186895764,13.58797517613636,150.58195468524224,13.27211717422069,6.049312999937683,47.743023157207354,5.760307700140402
test,10,10.0,16.0124339372829,76.30046526008668,15.208177291963992,60.837191275767644,15.95485349867224,6.699773599859327,77.29254541682597,9.572897299891338
train,0,50.0,15.032603817359671,26.440021611387095,7.181022272352605,15.493935327814519,8.002241095045667,5.88891760003753,18.454426146691173,6.07159149996005
calibration,1,50.0,17.885091770251886,35.72213035704899,14.27344687535189,22.92396925049774,12.733887054225399,5.797088699880987,24.34621832523474,6.086171600036323
calibration,2,50.0,12.802247512314114,20.72858888076176,13.228708946644424,22.523272487956266,12.71746479971813,6.090516199823469,22.049366142139064,6.088319000089541
test,3,50.0,19.5441319038535,18.47733843594408,16.74587738203252,15.359815984060173,15.805294776128877,5.928345300024375,15.425568244000596,6.058866099920124
test,4,50.0,16.234605988593252,30.657661049682332,11.170990632993115,26.48635585160593,10.517381888046849,5.891752500087023,21.719394891912913,5.8648004999849945
test,5,50.0,25.86255994549557,72.46967853685817,14.822601662941352,69.01520197692427,12.39712051104605,6.123709500068799,67.91774744699615,6.4870569000486284
test,6,50.0,17.90505181795486,39.18368927156172,18.817908717618586,49.62543315745162,17.8302163323054,6.074786799959838,32.19569255573485,5.935597300063819
test,7,50.0,26.060406041277506,50.298104748640384,8.948217722836157,29.18909021884553,7.475776773657228,5.950458700070158,34.890309883684,5.776684699812904
test,8,50.0,13.826283979440122,22.64127786180964,10.83364928437486,19.20537408511146,11.048135901050344,5.564881100086495,19.912388630281228,5.543192500015721
test,9,50.0,11.040211648483737,22.838969833972794,13.37568156346271,112.55168361536454,8.745029586393574,5.624818000011146,23.309243485772228,5.587418799987063
test,10,50.0,35.17360772864453,96.96378510144642,15.07895411473374,48.596015329699014,14.436972026485913,5.575112800113857,74.20310039314236,5.645348999882117
