trial,area_m,rcs_m2,kappa_db,sense_sinr_db,residual_over_echo_db,residual_over_n0_db,echo_over_n0_db
0,600.0,0.1,0.0,-51.117787420330494,51.11774989567564,49.53009603313306,-1.7061132439218545
0,600.0,0.1,10.0,-41.11823752535177,41.11784296914247,39.53020960642984,-1.7061132439218545
0,600.0,0.1,20.0,-31.12273574280532,31.118773594121404,29.53134517607313,-1.7061132439218545
0,600.0,0.1,30.0,-21.180987363123048,21.128068892326134,19.542684571592822,-1.7061132439218551
0,600.0,0.1,40.0,-11.696882204412784,11.236457124666487,9.654479301284805,-1.7061132439218545
0,600.0,0.1,45.0,-7.776022303467769,6.526887491884641,4.911862285458163,-1.7061132439218545
0,600.0,0.1,50.0,-5.108958082130853,2.2738425653256273,0.6379116296951243,-1.7061132439218551
0,600.0,0.1,55.0,-3.6162913721682473,-0.8873269433442864,-2.6394501382463575,-1.7061132439218551
0,600.0,0.1,60.0,-3.0136414347538105,-2.7964796836518047,-4.552886262881707,-1.7061132439218545
0,600.0,0.1,70.0,-2.7527668638478002,-3.970216946653171,-5.69040633865052,-1.7061132439218551
0,600.0,0.1,80.0,-2.7168418806930177,-4.1125552623508534,-5.822432618649072,-1.7061132439218545
1,600.0,0.1,0.0,-49.34117130215747,49.341154137633644,51.165902998466606,2.2017951719667903
1,600.0,0.1,10.0,-39.341370319060246,39.34119528584922,41.16598092714629,2.20179517196679
1,600.0,0.1,20.0,-29.343359439675886,29.34160674656356,31.166760137044633,2.20179517196679
1,600.0,0.1,30.0,-19.37971157992695,19.34637294459651,21.174544556362886,2.2017951719667903
1,600.0,0.1,40.0,-9.80297824196157,9.436152944918664,11.251630828564739,2.2017951719667903
1,600.0,0.1,45.0,-5.675201694614332,4.6319021279124675,6.431425427026319,2.20179517196679
1,600.0,0.1,50.0,-2.462574932819912,0.26772234047319443,1.9554518397539102,2.2017951719667903
1,600.0,0.1,55.0,-0.47294660865914656,-3.3594157432020744,-1.710935644505721,2.20179517196679
1,600.0,0.1,60.0,0.5204651065456138,-5.813924803693501,-4.071919988104145,2.2017951719667903
1,600.0,0.1,70.0,1.104616778947486,-7.6845367181103255,-5.624813999669918,2.20179517196679
1,600.0,0.1,80.0,1.1780829530059926,-7.985135367344714,-5.815624939764014,2.2017951719667903
2,600.0,0.1,0.0,-50.32430885059324,50.32426054609922,49.42943764027751,-1.6974186246734868
2,600.0,0.1,10.0,-40.32493422417029,40.32439007734805,39.42955387662074,-1.6974186246734868
2,600.0,0.1,20.0,-30.331257194298992,30.325685177396014,29.430716068980274,-1.6974186246734868
2,600.0,0.1,30.0,-20.405124468359826,20.339985699734267,19.442320919104482,-1.6974186246734868
2,600.0,0.1,40.0,-11.014450652163363,10.48813674207528,9.556695143239542,-1.6974186246734868
2,600.0,0.1,45.0,-7.226616782393621,5.788666839342401,4.819764986077474,-1.6974186246734868
2,600.0,0.1,50.0,-4.748955091739831,1.7103002231684643,0.5601206977630182,-1.6974186246734868
2,600.0,0.1,55.0,-3.4822617563572185,-1.3336205544464659,-2.6916160853743234,-1.6974186246734868
2,600.0,0.1,60.0,-2.926712131577729,-3.044887286961026,-4.578436911468203,-1.6974186246734868
2,600.0,0.1,70.0,-2.7227709014244468,-4.0364131687850096,-5.693717974700846,-1.6974186246734868
2,600.0,0.1,80.0,-2.70533127054744,-4.128844632353698,-5.8227738875562185,-1.6974186246734868
3,600.0,0.1,0.0,-49.72667624669539,49.726602427433015,48.80026901144086,-0.5413106415151246
3,600.0,0.1,10.0,-39.72753413603129,39.72678006997337,38.8004033676976,-0.5413106415151246
3,600.0,0.1,20.0,-29.736094408257255,29.72855609584826,28.801746701705035,-0.5413106415151246
3,600.0,0.1,30.0,-19.818024430773683,19.746559715576634,18.8151572379737,-0.5413106415151241
3,600.0,0.1,40.0,-10.463807146544399,9.88366771056598,8.947033100288404,-0.5413106415151246
3,600.0,0.1,45.0,-6.583215666124277,5.223907779855805,4.248404108889561,-0.5413106415151252
3,600.0,0.1,50.0,-3.9467338116957,1.1006255808896954,0.08343010319062807,-0.5413106415151246
3,600.0,0.1,55.0,-2.4412475355637815,-2.1033417248374966,-3.0044706886197616,-0.5413106415151252
3,600.0,0.1,60.0,-1.8625591251349376,-3.9950675301856076,-4.728388759602334,-0.5413106415151246
3,600.0,0.1,70.0,-1.566790831384728,-5.144795767760122,-5.712814677734946,-0.5413106415151246
3,600.0,0.1,80.0,-1.550071778093289,-5.28696396295759,-5.8247372824928165,-0.5413106415151246
4,600.0,0.1,0.0,-51.22838362734513,51.22835944470913,50.27588685716228,-1.5309186968585018
4,600.0,0.1,10.0,-41.228658233691284,41.228416245596776,40.27598251004129,-1.5309186968585018
4,600.0,0.1,20.0,-31.231649465904617,31.228984213617924,30.276938922978335,-1.5309186968585018
4,600.0,0.1,30.0,-21.297511953534322,21.23834453056949,20.286491485890036,-1.5309186968585018
