receiver,eps,offgrid_energy_fraction,i_in,i_res,i_res_structural,i_res_estimate,kappa_db,kappa_structural_db,eta_survive_q,meets_gamma_req
0,0.0,0.0,8.046419179791492e-10,2.6966076332827433e-13,5.536184250265177e-16,2.691071449032478e-13,34.747848939383985,61.623921179966814,0.9997830325484819,True
0,0.001,1e-06,8.046427226210671e-10,2.7045969809752444e-13,1.3525531942767992e-15,2.6910714490324767e-13,34.73500528860961,57.74448733385627,0.9997830325484819,True
0,0.003,9e-06,8.046491597564109e-10,2.768856041298881e-13,7.778459226640362e-15,2.6910714490324777e-13,34.63306185673024,50.14712982558226,0.9997830325484819,False
0,0.01,0.0001,8.04722382170947e-10,3.5007065842876164e-13,8.096351352551394e-14,2.691071449032477e-13,33.61490369354551,39.97356734033599,0.9997830325484819,False
0,0.03,0.0009,8.053660957053305e-10,9.93694098016382e-13,7.245869531131343e-13,2.6910714490324777e-13,29.087406323680437,30.45902832853088,0.9997830325484819,False
0,0.1,0.010000000000000002,8.126883371589406e-10,8.315814455132742e-12,8.046707310229495e-12,2.691071449032475e-13,19.90019236600847,20.043058226143366,0.9997830325484819,False
1,0.0,0.0,1.0669461211194639e-09,2.0143715263597782e-13,7.061110248030323e-17,2.0136654153349753e-13,37.24002914932508,71.7926949651285,0.999878491065244,True
1,0.001,1e-06,1.0669471880655846e-09,2.0250523674258119e-13,1.1386952090836856e-15,2.013665415334975e-13,37.217066647146,59.717354297593616,0.999878491065244,True
1,0.003,9e-06,1.0669557236345532e-09,2.1104312732876125e-13,9.676585795263687e-15,2.0136654153349756e-13,37.037751836980995,50.424242459716176,0.999878491065244,False
1,0.01,0.0001,1.0670528157315753e-09,3.0814382929659504e-13,1.0677728776309744e-13,2.0136654153349758e-13,35.394324409234216,39.99707030955858,0.999878491065244,False
1,0.03,0.0009,1.0679063726284709e-09,1.1617294199150148e-12,9.603628783815172e-13,2.0136654153349756e-13,29.634281904553287,30.460978135268032,0.999878491065244,False
1,0.1,0.010000000000000002,1.0776155823306583e-09,1.0871087478699971e-11,1.0669720937166475e-11,2.013665415334974e-13,19.96190872175324,20.043108019101503,0.999878491065244,False
2,0.0,0.0,9.501748190375326e-10,3.2245084943238334e-13,1.3677369293345641e-16,3.223140757394499e-13,34.69339991487159,68.41800943654276,0.9999967584380702,True
2,0.001,1e-06,9.501757692123517e-10,3.233993190260688e-13,1.0852432866190325e-15,3.2231407573944973e-13,34.68064850030176,59.42276843171422,0.9999967584380702,True
2,0.003,9e-06,9.501833706109041e-10,3.309976172256516e-13,8.683541486201736e-15,3.2231407573944984e-13,34.57982558054198,50.39110541958428,0.9999967584380702,False
2,0.01,0.0001,9.502698365194365e-10,4.1745593055240573e-13,9.514185481295595e-14,3.223140757394498e-13,33.57236308899579,39.994753302609645,0.9999967584380702,False
2,0.03,0.0009,9.510299763746666e-10,1.1776019940135631e-12,8.552879182741132e-13,3.2231407573944994e-13,29.071956736964836,30.460818688092616,0.9999967584380702,False
2,0.1,0.010000000000000002,9.596765672279082e-10,9.824540178949255e-12,9.502226103209805e-12,3.2231407573944984e-13,19.89812657505179,20.042995304667464,0.9999967584380702,False
3,0.0,0.0,5.027594999685612e-10,2.91062338739184e-13,2.7650165682065074e-16,2.907858370823634e-13,32.373742709643096,62.59662547646976,0.9956065950593714,True
3,0.001,1e-06,5.027600027280611e-10,2.9156291440255457e-13,7.770773201911195e-16,2.9078583708236344e-13,32.36628437221968,58.108964861084765,0.9956065950593714,True
3,0.003,9e-06,5.027640248040609e-10,2.9558070360211564e-13,4.79486651975219e-15,2.9078583708236344e-13,32.306881156590556,50.20587672539552,0.9956065950593714,False
3,0.01,0.0001,5.028097759185581e-10,3.4131766346519463e-13,5.053182638283112e-14,2.907858370823635e-13,31.68244948949605,39.97838717578417,0.9956065950593714,False
3,0.03,0.0009,5.032119835185329e-10,7.434921001992111e-13,4.527062631168476e-13,2.907858370823635e-13,28.304746164852126,30.459344719439343,0.9956065950593714,False
3,0.1,0.010000000000000002,5.077870949682469e-10,5.318572395229394e-12,5.027786558147031e-12,2.907858370823634e-13,19.798865842685874,20.043048268654942,0.9956065950593714,False
4,0.0,0.0,1.3102955054008925e-09,1.9206299060620555e-13,6.655730711412931e-17,1.9199643329909142e-13,38.33925564333921,72.94173509066755,0.9999179329991998,True
4,0.001,1e-06,1.310296815696398e-09,1.9337339967586562e-13,1.3769663767741596e-15,1.9199643329909147e-13,38.309729530152204,59.78446349954631,0.9999179329991998,True
4,0.003,9e-06,1.3103072980604418e-09,2.0385599719868959e-13,1.1859563899598166e-14,1.9199643329909142e-13,38.08049667533141,50.433044405053025,0.9999179329991998,False
4,0.01,0.0001,1.3104265349514327e-09,3.2309377205533274e-13,1.310973387562413e-13,1.9199643329909144e-13,36.08084091923092,39.99818802867301,0.9999179329991998,False
4,0.03,0.0009,1.3114747713557533e-09,1.3713332733036968e-12,1.1793368400046052e-12,1.919964332990915e-13,29.806169269207086,30.461220753500307,0.9999179329991998,False
4,0.1,0.010000000000000002,1.3233984604549017e-09,1.3295039880349129e-11,1.3103043447050038e-11,1.9199643329909134e-13,19.98000980684242,20.043184440251682,0.9999179329991998,False
5,0.0,0.0,4.942932884056571e-10,1.7399691377217344e-13,1.734606807828061e-16,1.7382345309139062e-13,34.534431684215306,64.54783667042597,1.0001478886935127,True
5,0.001,1e-06,4.942937826989453e-10,1.7449474831560174e-13,6.712952242110264e-16,1.7382345309139072e-13,34.52202787134213,58.670715903752736,1.0001478886935127,True
5,0.003,9e-06,4.942977370452525e-10,1.784564127172228e-13,4.6329596258320356e-15,1.7382345309139077e-13,34.42456463545795,50.28130106674966,1.0001478886935127,False
5,0.01,0.0001,4.943427177344978e-10,2.2346518892785314e-13,4.964173583646243e-14,1.738234530913907e-13,33.44818261863302,39.98181181668012,1.0001478886935127,False
5,0.03,0.0009,4.947381523652222e-10,6.190012707150627e-13,4.45177817623672e-13,1.7382345309139072e-13,29.02683862268622,30.45841886708203,1.0001478886935127,False
5,0.1,0.010000000000000002,4.992362212897138e-10,5.11767263746677e-12,4.943849184375379e-12,1.738234530913906e-13,19.892335854692977,20.042408735408834,1.0001478886935127,False
