receiver,i_in,i_res,i_res_structural,i_res_estimate,estimate_share,kappa_db,kappa_pred_db,calibration_error_db,protect_dim,n_coefficients,eta_protect,eta_survive,eta_survive_q,eta_survive_pred_q,noise_enhance_db,s_q_energy,prior_quantile_fraction,arm,trial,view
0,8.046419179791492e-10,2.6966076332827393e-13,5.536184250265177e-16,2.691071449032474e-13,0.9979469819109258,34.74784893938399,34.2023806997729,0.5454682396110863,45,5,0.9999999999999976,0.9905333527365904,0.9997830325484819,0.9998813771448197,-33.64447559707485,5.200147302619617e-13,0.00044358846833526263,tp_uic_full,0,oracle
1,1.0669461211194639e-09,2.0143715263597788e-13,7.061110248030323e-17,2.0136654153349758e-13,0.9996494633608731,37.24002914932508,37.28382876702116,0.04379961769608306,45,5,1.0000000000000007,0.9998611770210785,0.999878491065244,0.9999894763163559,-34.98309706296114,1.1292343425591539e-12,0.0002505272513547061,tp_uic_full,0,oracle
2,9.501748190375326e-10,3.224508494323834e-13,1.3677369293345641e-16,3.2231407573944994e-13,0.9995758308803521,34.69339991487159,36.58074011632476,1.8873402014531733,45,5,1.0000000000000016,1.0004016140237397,0.9999967584380702,1.000017444100265,-32.8820259974029,2.9936606851054623e-13,0.0002895340832866871,tp_uic_full,0,oracle
3,5.027594999685612e-10,2.910623387391841e-13,2.7650165682065074e-16,2.907858370823635e-13,0.9990500259909325,32.37374270964309,32.63833381784515,0.2645911082020574,45,5,0.9999999999999987,0.9808376098294329,0.9956065950593714,0.9957171750491464,-33.3690494866586,2.039816488718044e-13,0.00063386004213321,tp_uic_full,0,oracle
4,1.3102955054008925e-09,1.9206299060620542e-13,6.655730711412931e-17,1.919964332990913e-13,0.9996534610499188,38.339255643339214,38.30088726299341,0.03836838034579662,45,5,1.0000000000000022,0.9999179927728385,0.9999179329991998,0.9999541585999204,-35.21419529239402,6.051905592572615e-13,0.00019876902568799557,tp_uic_full,0,oracle
5,4.942932884056571e-10,1.739969137721735e-13,1.734606807828061e-16,1.7382345309139067e-13,0.9990030818534521,34.534431684215306,33.14758862010268,1.3868430641126273,45,5,1.0,1.010336517144327,1.0001478886935127,0.9985708933062143,-35.609588618644736,1.128220339411651e-13,0.0006001973280906568,tp_uic_full,0,oracle
0,8.046419179791492e-10,2.35511659524044e-13,1.1025732904845537e-16,2.3540140219499553e-13,0.9995318391910138,35.33590240777962,35.95424903717921,0.6183466293995871,45,5,0.061033459091755005,0.9708213014069165,0.9992743705822084,0.9999807654848668,-34.2256374287882,5.200147302619617e-13,0.0003358751201664557,tp_uic_full,0,belief
1,1.0669461211194639e-09,1.8034651409495734e-13,6.551996263960858e-17,1.8028099413231772e-13,0.9996366995892967,37.72034736591544,37.373782617175394,0.3465647487400404,45,5,0.11231205722432948,0.9973966815567464,0.9997202914055181,0.9999965187186519,-35.46347073169904,1.1292343425591539e-12,0.00024484556245761774,tp_uic_full,0,belief
2,9.501748190375326e-10,3.0803617714469114e-13,1.749071648080317e-16,3.078612699798831e-13,0.9994321862891907,34.89201791844276,36.5158310502569,1.623813131814138,45,5,0.08569341896993143,0.9948776769649574,0.9999822613390356,1.0000012039726613,-33.08126815108121,2.9936606851054623e-13,0.0002950998351035815,tp_uic_full,0,belief
3,5.027594999685612e-10,4.877558901797011e-13,5.46250710614474e-16,4.872096394690866e-13,0.9988800735744816,30.13157762950096,31.774102447957645,1.6425248184566852,45,5,0.16650425454170292,0.9392931761349071,0.9912602590625347,1.000100169179017,-31.12762326516667,2.039816488718044e-13,0.0007762468145877699,tp_uic_full,0,belief
4,1.3102955054008925e-09,2.166786709780341e-13,6.852920527390335e-17,2.166101417727602e-13,0.9996837288831218,37.81553088167398,38.28382176919812,0.4682908875241426,45,5,0.15280019212153703,0.998714340099437,0.9997393508500719,0.9999832088059213,-34.69033903562124,6.051905592572615e-13,0.00019950026033065837,tp_uic_full,0,belief
5,4.942932884056571e-10,1.1783271508846696e-13,9.577454945248162e-17,1.1773694053901448e-13,0.9991871989932458,36.22718828817688,34.10054883793083,2.126639450246051,45,5,0.06432008307318905,0.9095353362907745,0.9953690077743179,0.9999924140278736,-37.3015448878351,1.128220339411651e-13,0.0005222333073063666,tp_uic_full,0,belief
