split,scene_id,boost_db,tp_uic_full_1cpi_h0,tp_uic_full_1cpi_h1,perfect_channel_1cpi_h0,perfect_channel_1cpi_h1,tp_uic_full_2cpi_h0,tp_uic_full_2cpi_h1,perfect_channel_2cpi_h0,perfect_channel_2cpi_h1,tp_uic_full_4cpi_h0,tp_uic_full_4cpi_h1,perfect_channel_4cpi_h0,perfect_channel_4cpi_h1
train,0,10.0,6.7824073791158614,12.736953569763036,6.740129664219272,12.138515470980725,17.040665389497832,25.53805976347929,17.718572521428325,24.462791680482667,34.37011871411301,35.86334951743655,35.23181143090264,34.82417284385595
calibration,1,10.0,10.346000423046515,5.835129250558826,10.345952598386335,5.824455949274293,14.848625296625134,11.107365976741692,15.229843167462327,11.154633661034854,31.946555753380693,28.183867114821822,32.38172237157096,28.146393694756906
calibration,2,10.0,8.963967343405447,7.4069608027299925,9.2946265407826,6.545251880836196,15.97643536480301,20.52043397891284,15.71106749751345,19.41953955653553,31.54232732057123,41.88216324759115,31.603990582425777,41.01346464681497
test,3,10.0,7.808381101410361,6.942670049276636,6.886335295631963,7.2954051966202,12.617884685665175,12.819679348843653,12.565692598154083,13.557203988978682,26.95932473904239,35.18058140598475,24.380335790210495,35.61136668317669
test,4,10.0,3.8110179803756825,12.379957677301032,3.7542886460830096,12.29518985622057,9.746979016931066,21.12200489182333,9.506038284564381,20.580617039643144,19.93932066031899,41.123477463986724,18.4282434563887,39.78393796170564
