trial,m_rx,base_h1,base_h0,search_h1,search_h0,oracle_h1,oracle_h0
0,1,18.078819280471045,21.127918912980558,27.40887511068297,24.16564803148408,15.961574187941885,9.982046904654952
1,1,23.073634726774003,19.0654099521918,29.0982525665339,22.952559751724547,23.444182494098147,23.51312860288252
2,1,13.184040870504546,13.674321175755317,20.368008020185215,14.763036549939883,14.151042136693292,13.773730118055333
3,1,15.125880520642813,23.987220124428212,19.52771622824482,23.987220124428212,17.002884014598088,20.789947554702046
4,1,16.075438707634554,17.904737251316106,16.511975206306616,21.104278160135827,14.529370997467232,17.588276711483864
5,1,40.15344574311483,33.941898914578665,43.2138395188876,49.876336679501364,33.282623078885834,31.79610740602854
6,1,41.32104350350381,25.53866573426297,52.18159397968853,39.90247384808269,48.06754527060003,32.21672011465898
7,1,11.830178024498096,20.08953325744493,12.621591757239639,20.08953325744493,12.23960715460099,16.168524215228167
8,1,34.38328546176953,11.502721222402727,35.49668617251046,18.417899626751673,25.72606343516678,11.965306064909438
9,1,28.173876027756023,26.621633875042992,43.086445756367645,37.485244554145424,28.109626138194102,26.668523896260734
10,1,23.99723003033292,15.414539021198983,28.017883958462036,23.139049760156638,25.316154590684448,14.89555535818772
11,1,26.087996618973772,24.814881704593525,30.65162307220358,33.10710851995689,44.31403163633209,51.00172342457964
12,1,21.50457179421379,22.711013332412964,21.50457179421379,23.024948346177727,36.47360778887824,35.31517313087704
13,1,26.91480962043138,11.808668461792973,29.824556064893912,15.014389050952559,16.383703855455096,8.17341709889433
14,1,28.00294422757344,32.75706275380868,39.27411908953334,32.75706275380868,29.01329787568426,24.420949255896133
15,1,13.104100988638644,13.012843160424511,18.393708200271806,16.715674318516314,16.36742349278801,16.054780248923997
16,1,14.86151436690072,15.735049371192144,17.883358492876155,21.01803461872951,18.38322012868839,12.81108287502644
17,1,15.802815255350502,15.268173917238856,16.354970485490014,17.559137465150243,12.112983436784749,16.502480683040414
18,1,9.369364820455221,15.530583432481285,13.864401151037725,21.185421976533732,12.88364786209508,15.054273448254191
19,1,92.66811565436612,95.65162061357843,139.53384628246368,122.59187298026023,124.54488936330692,125.97411003147778
0,8,13.619943232376265,12.340364057887033,22.679645298783555,17.134862659648277,5.969512001619407,18.656389453176626
1,8,13.810783227886258,12.855521334443948,16.85326770019229,25.23592809891738,15.874238657342612,15.012565695223975
2,8,9.940282044343022,13.78961569831704,16.060258502638053,19.55398313073092,14.16971831026091,18.69739710860824
3,8,17.464099423197297,13.350850310147269,21.754758439147384,20.07915749376387,16.005301522768487,14.90800065575232
4,8,21.76353779123994,15.026332596733074,32.25016666006967,21.493977396001934,9.371275687041095,16.949403186797536
5,8,14.243119023769172,19.688218823706386,37.070783683990925,32.509962281042434,24.497273982752983,8.55743248791076
6,8,15.552433546765558,15.012722596420552,21.462655300929168,20.611032284286278,15.916453216742148,13.688282734650597
7,8,13.968142539444804,13.264875977532206,21.341120219937356,15.67649201871274,11.387549329754064,19.514742667581643
8,8,10.012133284941367,12.406814316736641,14.282252371314492,14.067294400046347,6.776531789272899,10.274838730051759
9,8,17.939233328143814,13.134074113327998,31.545402040255706,20.759408913402467,19.958792782711868,14.560168177929857
10,8,24.99581844542368,16.420572587461496,28.742783340533414,18.681328868641092,13.408905836045541,18.429662124104418
11,8,11.27569263901911,10.078645682209167,17.091062013330497,14.656087173110963,18.946006625751362,15.377449231735664
12,8,17.3031586772654,12.174534730419664,19.46888447280498,19.957380420432777,21.86833183840923,14.72989921274209
13,8,13.303770896990018,19.286202960386667,17.665305021455627,21.610020469857986,14.897636485186787,6.902331232131965
14,8,11.479713317622448,16.919575228184744,18.35514646910972,22.764208840116503,17.721967647973777,13.180488033800522
15,8,10.913071956873681,27.580940384155497,21.338879551585986,28.330062758324395,16.992240424150197,15.19580355697951
16,8,10.713371908584788,16.065653824489246,21.48715396449692,17.07314310740092,9.945373897973521,19.180256241296572
17,8,9.615877884373617,9.159943962401936,15.165493201939013,14.784135972140085,10.17400865947392,16.68223864018986
18,8,21.150874722032086,11.255909652988434,21.150874722032086,20.884283980397765,27.339336046527805,18.19257007192381
19,8,18.544952581826713,8.596245311144305,19.270278270028488,17.167166030955322,18.225267887420173,6.954516762449817
