experiment,variant,use_target_priority,use_delay_price,use_comm_error_calibration,use_softmin_alpha,lambda_cost,mu_deficit,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
ablation,full,True,True,True,True,0.005,1.0,proposed_lagrangian,0.6105,0.6009016244030568,0.6200135088393569,0.009555942218150038,0.04373165198825727,0.04369666666666667,17674.88,28.63651587004717,27.617,0.9992000000000001,1.0,430.98,0.3195214631023853,1.1395552621457885,0.24208671658984568,0.3070993558580414,0.7740660725089772,0.5444384347771881,0.6015396075757468,-4.68023002834258,1.0,1.0,42.49310816112856,5.196935284516016,0.1962497325156318,95.24415855632158,0.01,30.07934690875542,0.613,0.6105,0.592,0.625,0.0345405456783865,0.021318934285527467,2.4041525691336267,1.483878428296332
ablation,w/o_alpha,False,True,True,True,0.005,1.0,proposed_lagrangian,0.6551,0.6457254593174352,0.6643554200119616,0.009314980347263191,0.04644874899112187,0.04604,35221.12,66.3226844017264,55.033,0.9912000000000001,1.0,430.98,0.3195214631023853,0.9280533105860435,0.2137657943497735,0.25463173573397546,0.7379312151843135,0.516625441319866,0.5603723597120339,-5.761781202300527,1.0,1.0,75.85545295510441,7.511073135892572,0.19266604937455223,163.3790891717239,0.01,52.16063102258275,0.617,0.6551,0.627,0.684,0.01859963567314157,0.009877465092214323,2.1536922436056667,1.1437331531341013
ablation,w/o_delay_price,True,False,True,True,0.005,1.0,proposed_lagrangian,0.651,0.641601210440646,0.6602828177910686,0.009340803675211284,0.046233333333333335,0.046233333333333335,37984.64,75.83398287784661,59.351,1.0,1.0,430.98,0.3195214631023853,0.8944817594812102,0.21278572181531985,0.24999386626064726,0.7312688548838778,0.5145970137713284,0.5550832657874393,-5.947043299842153,1.0,1.0,71.32861229822592,7.46146293413428,0.19853309182038809,161.60723320423352,0.01,51.01248658985991,0.617,0.651,0.636,0.676,0.017138506512105946,0.008584541854390412,1.877827782446429,0.9405890287092273
ablation,w/o_comm_error_calib,True,True,False,True,0.005,1.0,proposed_lagrangian,0.5495,0.5397309886030928,0.5592309941616083,0.00975000277925775,0.04656799013234657,0.04656333333333333,13258.88,27.411066336374162,20.717,0.9999,1.0,430.98,0.3195214631023853,0.9592218699000281,0.22429997356630735,0.265208664024569,0.7381696703156785,0.5277601321994857,0.5680061016600337,-5.687283366388041,1.0,1.0,106.06276242907482,19.80645628592049,1.0150301623574647,287.54595238332024,0.153,80.84927751979971,0.81,0.5495,0.535,0.582,0.041443922865279724,0.02004664806749309,7.999375696067452,3.869340985408174
ablation,w/o_softmin_alpha,True,True,True,False,0.005,1.0,proposed_lagrangian,0.6262,0.6166705294322392,0.6356325458183725,0.009481008193066631,0.0442497078951761,0.04418333333333333,22292.48,36.45294686917121,34.832,0.9985,1.0,430.98,0.3195214631023853,1.092008928560662,0.23359285772686894,0.294587010060044,0.7675168025028161,0.5368497948860429,0.5930482428837525,-4.897140106868901,1.0,1.0,44.024424498562496,7.344203915848761,0.19330093936622528,95.24415855632158,0.009,31.631591088524843,0.617,0.6262000000000001,0.612,0.659,0.028090190055121724,0.017178309403830024,1.9748553996039244,1.2077055020151086
