split,scene_id,max_h0,max_h1,logmeanexp_h0,logmeanexp_h1
train,0,11.579033683896945,1.7406859519574651,10.003199268870265,1.4550932604445626
train,1,5.697862598525233,5.689022605393722,4.986565649727027,4.292136608275407
train,2,6.345163498632785,13.090578466329791,5.264412060342697,11.297396945198287
train,3,5.693942168012225,6.422477508129182,5.010568730959552,5.553877269496812
train,4,8.05751694039569,4.762892821645348,6.660381547663976,3.570006889599941
train,5,5.4504653123307545,9.15676970557977,4.739336709790167,7.7463794708378595
train,6,6.125998798367706,5.800207661599044,5.39408415966484,4.170903187970196
train,7,6.232322796742439,4.604174035497476,5.341466442355556,3.8438299917830383
train,8,12.322991786400571,6.069997153832231,10.179628942000498,5.670759109472561
train,9,7.104194518711324,11.788791888069408,6.272407706409875,10.43080161278658
train,10,5.648949443952356,5.183472592897736,4.2094122572718335,4.372913289905516
train,11,7.997284629138983,9.784399472621612,7.206660701459851,8.231671846992706
train,12,13.721332949054826,8.983518459655148,11.617857536621676,7.892628764749468
train,13,8.811741187886375,7.5041436480063,7.396545158133437,6.586068315227857
train,14,5.147948623114697,3.4475570130058566,4.498255257626965,2.7290717542998175
train,15,5.547790906128259,7.7833788586719805,4.819270343631945,7.037452159568879
train,16,5.0426768291468065,7.922904943246454,4.2608327321051,6.805646962859938
train,17,8.422761748881243,8.276572840430074,6.967124148661574,6.475846923873269
train,18,5.779519050249567,7.189800693567246,4.915498362084698,5.87528368159469
train,19,6.748260974386659,7.928395392897045,5.615842364541697,6.701367277899225
calibration,20,7.706692389399773,5.663285129874947,5.958405532608767,4.304631253782004
calibration,21,11.116583566452544,6.924848102377667,10.103861166599064,5.703924148079495
calibration,22,10.074661844757204,11.085730818056286,7.998895674516062,8.96176142445061
calibration,23,6.6921693827458855,4.065215968149552,6.016476277163362,3.3086268552173985
calibration,24,4.792808005961879,6.3013046653095,3.4855371220103253,5.684454326247481
calibration,25,6.589955905565311,8.560948037881403,5.108002194442667,6.751234998448243
calibration,26,5.219981729339383,5.661812442853268,4.405376320874602,4.438171850747478
calibration,27,10.158653229052842,3.623963406600356,9.020109468561238,3.0388577631190956
calibration,28,4.627270714866503,2.2870745534858923,3.8127713218701818,2.0165004822529835
calibration,29,6.8391387376242605,4.141119412748071,5.801795926687005,3.454259989371
