area_m,rcs_m2,trial,label,family,pd,worst_pd,weak_pd,pfa,reports,observations,bits,delay_ms,n_looks,rho_mean,rho_std,sensing_w,power_seconds,per_target
400.0,0.05,2,looks16_capacitated,fusion,0.6,0.0,0.0,0.04,8.0,46.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;1;1;1;1;1;0;0;1;0
400.0,0.05,2,looks16_corr_capacitated,fusion,0.4,0.0,0.0,0.02666666666666667,8.0,46.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;1;1;1;0;1;0;0;0;0
400.0,0.05,2,looks16_budget,budget,0.6,0.0,0.0,0.04,15.0,86.0,9600.0,16.000000000000004,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;1;1;1;1;1;0;0;0;1
400.0,0.05,2,looks16_pfa10,roc,0.6,0.0,0.0,0.11,8.0,46.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;1;1;1;1;1;0;0;1;0
400.0,0.05,2,looks16_power,power,0.6,0.0,0.0,0.043333333333333335,8.0,44.0,5120.0,8.533333333333335,16,0.45000000000000007,0.35355339059327373,6.750000000000001,41.21750029991381,0;1;1;1;0;1;0;0;1;1
400.0,0.05,2,looks64_power,power,0.8,0.0,1.0,0.03666666666666667,8.0,33.0,5120.0,8.533333333333335,64,0.4000000000000001,0.33166247903553997,6.000000000000001,34.371073100017384,1;1;1;1;0;1;1;0;1;1
400.0,0.05,0,looks16,looks,0.5,0.0,1.0,0.06666666666666667,7.0,47.0,4480.0,7.466666666666669,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;1;0;0;0;1;0
400.0,0.05,0,looks32,looks,0.5,0.0,1.0,0.056666666666666664,8.0,43.0,5120.0,8.533333333333335,32,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;1;0;0;0;1;0
400.0,0.05,0,looks64,looks,0.5,0.0,1.0,0.056666666666666664,8.0,41.0,5120.0,8.533333333333335,64,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;1;0;0;0;1;0
400.0,0.05,0,looks128,looks,0.8,0.0,1.0,0.05333333333333334,6.0,39.0,3840.0,6.400000000000001,128,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;1;1;0;1;1;1
400.0,0.05,0,looks16_corr,fusion,0.6,0.0,1.0,0.06333333333333334,7.0,50.0,4480.0,7.466666666666669,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;1;0;0;1;1;0
400.0,0.05,0,looks16_capacitated,fusion,0.5,0.0,1.0,0.06666666666666667,7.0,47.0,4480.0,7.466666666666669,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;1;0;0;0;1;0
400.0,0.05,0,looks16_corr_capacitated,fusion,0.6,0.0,1.0,0.06333333333333334,7.0,50.0,4480.0,7.466666666666669,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;1;0;0;1;1;0
400.0,0.05,0,looks16_budget,budget,0.5,0.0,1.0,0.06333333333333334,9.0,89.0,5760.0,9.600000000000003,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;1;0;0;0;1;0
400.0,0.05,0,looks16_pfa10,roc,0.6,0.0,1.0,0.09666666666666666,8.0,46.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;1;0;0;0;1;1
400.0,0.05,0,looks16_power,power,0.4,0.0,1.0,0.06,8.0,50.0,5120.0,8.533333333333335,16,0.44000000000000006,0.3411744421846396,6.6000000000000005,42.3586061000824,1;0;1;0;1;1;0;0;0;0
400.0,0.05,0,looks64_power,power,0.6,0.0,1.0,0.06666666666666667,8.0,40.0,5120.0,8.533333333333335,64,0.44000000000000006,0.32310988842807026,6.6000000000000005,36.96549819991924,1;0;1;1;1;1;0;0;1;0
400.0,0.05,7,looks16,looks,0.5,0.0,1.0,0.056666666666666664,8.0,42.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;0;0;0;1;0;1;1
400.0,0.05,7,looks32,looks,0.6,0.0,1.0,0.06666666666666667,8.0,46.0,5120.0,8.533333333333335,32,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;0;0;1;1;0;1;1
400.0,0.05,7,looks64,looks,0.8,0.0,1.0,0.07,8.0,45.0,5120.0,8.533333333333335,64,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;1;1;1;0;1;1
400.0,0.05,7,looks128,looks,0.8,0.0,1.0,0.07,8.0,37.0,5120.0,8.533333333333335,128,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;1;1;1;0;1;1
400.0,0.05,7,looks16_corr,fusion,0.8,0.0,1.0,0.056666666666666664,8.0,47.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;1;1;1;0;1;1
400.0,0.05,7,looks16_capacitated,fusion,0.5,0.0,1.0,0.056666666666666664,8.0,42.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;0;0;0;1;0;1;1
400.0,0.05,7,looks16_corr_capacitated,fusion,0.8,0.0,1.0,0.056666666666666664,8.0,47.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;1;1;1;0;1;1
400.0,0.05,7,looks16_budget,budget,0.5,0.0,1.0,0.03666666666666667,16.0,78.0,10240.0,17.06666666666667,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;0;0;0;1;0;1;1
400.0,0.05,7,looks16_pfa10,roc,0.6,0.0,1.0,0.11333333333333333,8.0,46.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;0;0;1;1;0;1;1
400.0,0.05,7,looks16_power,power,0.7,0.0,1.0,0.04666666666666667,8.0,45.0,5120.0,8.533333333333335,16,0.48000000000000004,0.34583232931581165,7.2,39.08971660002135,1;0;1;0;1;1;1;0;1;1
400.0,0.05,7,looks64_power,power,0.7,0.0,1.0,0.06666666666666667,8.0,45.0,5120.0,8.533333333333335,64,0.5000000000000001,0.36742346141747667,7.500000000000001,38.175897900015116,1;0;1;1;0;1;1;0;1;1
400.0,0.05,4,looks16,looks,0.6,0.0,1.0,0.06,8.0,50.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;0;1;0;1;1;1;0
400.0,0.05,4,looks32,looks,0.7,0.0,1.0,0.04666666666666667,8.0,47.0,5120.0,8.533333333333335,32,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;0;1;1;1;1;1;0
400.0,0.05,4,looks64,looks,0.7,0.0,1.0,0.043333333333333335,8.0,41.0,5120.0,8.533333333333335,64,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;0;1;1;1;1;1;0
400.0,0.05,4,looks128,looks,0.8,0.0,1.0,0.04666666666666667,5.0,34.0,3200.0,5.333333333333334,128,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;0;1;1;1;1;1;1
400.0,0.05,4,looks16_corr,fusion,0.6,0.0,1.0,0.056666666666666664,8.0,50.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;0;1;0;1;1;1;0
