split,scene_id,boost_db,nominal_h1,perfect_h1,nominal_h0,perfect_h0
train,0,50.0,11.93646905483901,12.120581190415963,12.801313196089096,12.656733898735187
calibration,1,50.0,12.299801170302455,11.57279804239722,5.273539852723039,6.422221299694162
calibration,2,50.0,22.75808796666013,24.64713988477505,4.7470165812817395,4.268981558198934
calibration,3,50.0,4.114772664611541,5.6319678372770134,8.852205479614804,8.718298340547072
calibration,4,50.0,19.278612696365858,40.621905664235584,6.5796112239164035,5.710113590292107
calibration,5,50.0,7.993996358762459,8.786992297359081,5.630098169059131,6.564776065689184
calibration,6,50.0,13.378520902370857,13.296408843700263,4.182992265535921,4.129470573554663
calibration,7,50.0,58.51766406192465,55.768725645249944,3.9378040244261814,3.8910617460310073
calibration,8,50.0,9.115938436601583,8.84162911523597,3.663251648540809,5.428954574830712
calibration,9,50.0,12.493964369542093,10.767406240443469,6.348319504464835,5.442038280354088
calibration,10,50.0,9.224198599860738,9.262198247531668,5.539630123597712,4.002169695501344
calibration,11,50.0,6.288161600676953,5.5364995910392665,8.014573761286922,8.643453465691703
calibration,12,50.0,19.12164061990564,25.432276395606436,9.544766070778518,5.772822107519687
calibration,13,50.0,5.736809491465358,5.703052143515491,3.41995493839147,3.493290814267487
calibration,14,50.0,10.16530277389555,15.02686515522497,5.1143932296253,6.722889189359971
calibration,15,50.0,7.504098021562943,7.170677576330361,7.11592654348857,7.407060385082876
calibration,16,50.0,16.51521708569439,9.352469385925758,4.976238020359602,8.513262687835773
calibration,17,50.0,7.824169971067926,9.623521618762934,6.870090137937541,7.327017967351131
calibration,18,50.0,6.000951311813984,7.1101721394619,6.868250530316846,6.338062766079963
calibration,19,50.0,7.457738135692055,8.013681810432978,6.328552936177821,8.104022871300732
calibration,20,50.0,6.6565087824970846,6.481248492727251,5.539673222444668,6.987087242546511
calibration,21,50.0,4.100492622117332,3.9197043631435187,5.423106702581658,4.407744302010224
calibration,22,50.0,6.725905664366015,7.3727033982938615,3.965071040987392,6.3848276037721705
calibration,23,50.0,11.337871928328875,11.233309943249573,5.389935665946533,6.452443122270461
calibration,24,50.0,4.435104612665383,5.161846782109263,6.957700419387439,6.68695460284824
calibration,25,50.0,5.293914108997954,5.278952769534229,6.845050367792164,6.536224174259603
calibration,26,50.0,8.600894318606889,8.451899763653069,4.875683443324,4.012540082232959
calibration,27,50.0,5.867770035566409,5.496134691623228,5.541826897975436,5.043053621187333
calibration,28,50.0,10.455767413107004,11.260038971159371,5.672795124193694,5.870426167931159
calibration,29,50.0,13.64981319022254,25.356410217443642,9.143097317423969,4.719821367249642
calibration,30,50.0,4.057679756780159,5.1631997630428765,5.292672978496107,6.731204828423324
calibration,31,50.0,9.860389432141735,14.649129536832056,12.163083726462322,9.674431496166298
calibration,32,50.0,6.807343568789853,6.716363055861305,5.639387411606058,5.782613679182614
calibration,33,50.0,7.745058980588707,16.771551691617294,6.910699051673356,10.609835002622141
calibration,34,50.0,11.868858279954079,17.1743668547694,6.475367039884697,6.384838068619681
calibration,35,50.0,8.225476673144309,7.980926680800741,2.9274681698785385,3.2181597157607973
calibration,36,50.0,33.25775441627735,34.36955928751563,11.438762995105666,13.22299596693379
calibration,37,50.0,12.64083475011353,6.930290041019093,10.27312106892551,9.505808602290232
calibration,38,50.0,11.708135932142747,10.812133288639076,4.590245850434452,3.9054522828527762
calibration,39,50.0,6.416873451890038,7.0096321243034465,7.357444468113469,5.570376551214828
calibration,40,50.0,16.708899085851282,19.233120903515807,3.0335640557356043,3.062297009712968
test,41,50.0,4.1523787082369115,4.610592857366303,6.522914081553512,7.218184223526736
test,42,50.0,16.195199658976126,11.629554294431019,3.4433372323292666,5.63839782564191
test,43,50.0,21.607494433430013,15.06183296264189,5.371779971855183,5.977036480223876
test,44,50.0,7.471258926481658,7.546574484338383,2.6438438785682083,2.496699542955844
test,45,50.0,6.923268444300015,3.969610175491621,2.5389186845961462,4.944897314904082
test,46,50.0,6.123835238133955,5.756636987385453,4.831190055241407,4.521518281046953
test,47,50.0,10.907687163220233,24.07840235466624,3.465413719473955,6.7003310350277925
test,48,50.0,24.486268196646297,24.884193712552136,4.9949721213756995,4.903400368307126
test,49,50.0,12.34559397041693,9.420655725194989,7.284439297473657,7.9967745063093485
test,50,50.0,7.11854164790674,7.979041308140143,5.7213288550271875,5.739064449125043
test,51,50.0,12.900153685268075,13.902883956015891,5.225689843929391,5.2433297144927336
test,52,50.0,10.939765220041558,11.550960002652396,4.864005176441266,5.747168942560086
test,53,50.0,7.8516277969675885,8.916737872249577,6.778358806900564,6.1375857583067654
test,54,50.0,6.8147318064651845,6.377473806329469,5.54491339000962,6.101198505496463
test,55,50.0,9.720969549487219,10.292541806745817,10.631979361938196,11.05424213627443
test,56,50.0,12.983030095147237,52.605516936691124,6.45148418307124,6.730677270656557
test,57,50.0,12.941546932857682,12.717317116264693,4.552611697068068,4.54047924128785
test,58,50.0,3.207761996337139,5.873706068577508,6.706954667647205,7.705410630816424
test,59,50.0,11.081515522354914,19.925094960335297,11.152145531015083,10.871673617388808
test,60,50.0,4.905989155679131,4.520551405542673,3.0212570722803647,2.062958762145226
test,61,50.0,6.097344016692413,6.352000202332774,6.516279295020148,6.685627824308104
test,62,50.0,4.299621583541018,4.149568779294719,7.092591481810487,7.048498249266188
test,63,50.0,18.807312625359554,17.832835348512017,8.133022505237161,8.066224752844487
test,64,50.0,9.396398011404978,8.841176602954569,6.412536893589951,5.950441833934154
test,65,50.0,7.116567514930787,7.364334239652263,7.276723603980465,8.351477149194023
test,66,50.0,21.55170502481236,21.93463982955634,5.341933897468292,5.620596484557482
test,67,50.0,25.558935581335113,23.590526028851734,7.119522162148492,7.240921745122358
test,68,50.0,13.574676397389005,15.74144855927185,5.303534795368389,4.335249915305585
test,69,50.0,4.48072324103703,5.160365491971945,5.1711184304190105,4.441596881105182
test,70,50.0,80.983658378425,89.72697895247109,7.162041034998035,5.694053365069154
test,71,50.0,22.906325880294705,22.12983928197512,7.489138086977985,6.018071203505895
test,72,50.0,5.611224098991041,5.250641587288351,5.935934509446144,4.3590974617239615
test,73,50.0,9.598324310011115,5.848657352588185,5.65885166355338,4.676230916114646
test,74,50.0,6.549235781399698,5.02156937093216,4.927643370182414,6.934897076272096
test,75,50.0,7.489309405999052,7.357540059873223,4.211246864785648,4.108704066093986
test,76,50.0,5.810712416164916,5.578962767604949,4.638580310212257,4.945666704171362
test,77,50.0,8.687259623892048,6.089846735419985,7.965699926064691,7.897208515628771
test,78,50.0,12.144790075742023,12.02282616043611,8.747470037606217,8.25809357651287
test,79,50.0,14.472117476555017,16.13950880159534,6.085396435930483,7.841193631191393
test,80,50.0,4.092572736714412,11.510272864653757,7.467675292849887,6.384599991235278
