trial,budget,joint_F,nearest_exact_F,nearest_c2f_F,placement_gap,selection_gap,total_gap,joint_feasible_pairs,candidate_pairs_before_caps,joint_mean_predicted_pd,c2f_mean_predicted_pd,c2f_reports,joint_reports,joint_plan,joint_sets,nearest_plan,c2f_sets
37,0,1.004918585364318,1.004918585364318,1.0049185853643183,0.0,-2.220446049250313e-16,-2.220446049250313e-16,912,361201,0.7710020087062842,0.7710450338422448,0,0,"[0, 0]","[[[1, 0]], [[1, 0], [2, 0], [3, 0]]]","[1, 0]","[[[0, 1]], [[2, 0], [3, 0], [1, 0]]]"
37,1,1.2124539645713646,1.2124539645713646,1.2124539645713646,0.0,0.0,0.0,8784,361201,0.8168892951631159,0.8169323202990764,1,1,"[0, 0]","[[[1, 0]], [[0, 2], [2, 0], [3, 0]]]","[1, 0]","[[[0, 1]], [[0, 2], [2, 0], [3, 0]]]"
37,2,1.2191782662330128,1.2191782662330128,1.1335229875321908,0.0,0.08565527870082201,0.08565527870082201,31944,361201,0.8195838734881005,0.800732103477156,2,2,"[0, 0]","[[[1, 0]], [[0, 2], [0, 3], [2, 0]]]","[1, 0]","[[[0, 1]], [[0, 2], [2, 0], [3, 2]]]"
37,4,1.2191782662330128,1.2191782662330128,1.1335229875321908,0.0,0.08565527870082201,0.08565527870082201,69889,361201,0.8195838734881005,0.800732103477156,2,2,"[0, 0]","[[[1, 0]], [[0, 2], [0, 3], [2, 0]]]","[1, 0]","[[[0, 1]], [[0, 2], [2, 0], [3, 2]]]"
38,0,0.8759025710894046,0.8759025710894046,0.8759025710894046,0.0,0.0,0.0,912,180625,0.7405841464081272,0.7404741152779647,0,0,"[0, 0]","[[[1, 0], [2, 0], [3, 0]], [[3, 0]]]","[0, 3]","[[[2, 0], [3, 0], [1, 0]], [[0, 3]]]"
38,1,1.121517573015361,1.121517573015361,1.0724805530690487,0.0,0.04903701994631238,0.04903701994631238,6816,180625,0.7931115177770173,0.7824710285565958,1,1,"[0, 0]","[[[0, 3], [2, 0], [3, 0]], [[3, 0]]]","[0, 3]","[[[2, 0], [3, 0], [2, 3]], [[0, 3]]]"
38,2,1.1355721240060885,1.121517573015361,1.121517573015361,0.014054550990727499,0.0,0.014054550990727499,20784,180625,0.7973174106875955,0.7930014866468548,1,2,"[3, 0]","[[[0, 2], [0, 3], [2, 0]], [[3, 0]]]","[0, 3]","[[[2, 0], [3, 0], [0, 3]], [[0, 3]]]"
38,4,1.1355721240060885,1.121517573015361,1.121517573015361,0.014054550990727499,0.0,0.014054550990727499,40065,180625,0.7973174106875955,0.7930014866468548,1,2,"[3, 0]","[[[0, 2], [0, 3], [2, 0]], [[3, 0]]]","[0, 3]","[[[2, 0], [3, 0], [0, 3]], [[0, 3]]]"
39,0,1.5416758055276212,1.5416758055276212,1.5416758055276212,0.0,0.0,0.0,912,158404,0.8982450946101996,0.8982447289014817,0,0,"[3, 0]","[[[0, 3], [1, 3], [2, 3]], [[1, 0]]]","[3, 1]","[[[2, 3], [1, 3], [0, 3]], [[0, 1]]]"
39,1,1.6187918001647719,1.6187918001647719,1.6187918001647719,0.0,0.0,0.0,6816,158404,0.9224481901580849,0.9224478244493668,1,1,"[3, 0]","[[[1, 3], [2, 3], [3, 1]], [[1, 0]]]","[3, 1]","[[[2, 3], [1, 3], [3, 1]], [[0, 1]]]"
39,2,1.6187918001647719,1.6187918001647719,1.6187918001647719,0.0,0.0,0.0,20784,158404,0.9224481901580849,0.9224478244493668,1,1,"[3, 0]","[[[1, 3], [2, 3], [3, 1]], [[1, 0]]]","[3, 1]","[[[2, 3], [1, 3], [3, 1]], [[0, 1]]]"
39,4,1.6187918001647719,1.6187918001647719,1.6187918001647719,0.0,0.0,0.0,38229,158404,0.9224481901580849,0.9224478244493668,1,1,"[3, 0]","[[[1, 3], [2, 3], [3, 1]], [[1, 0]]]","[3, 1]","[[[2, 3], [1, 3], [3, 1]], [[0, 1]]]"
40,0,1.0351981166535509,1.0351981166535509,1.0351981166535509,0.0,0.0,0.0,912,736164,0.7790624693139102,0.7790386220617779,0,0,"[2, 0]","[[[0, 2], [1, 2], [3, 2]], [[1, 0]]]","[2, 1]","[[[3, 2], [0, 2], [1, 2]], [[0, 1]]]"
