experiment,R_min_bps,R_min_mbps,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
comm_sweep,100000.0,0.1,proposed_lagrangian,0.7261,0.7172736395770541,0.7347527099804997,0.00873953520172277,0.04345535773821431,0.04344666666666667,18684.8,33.856214288107175,29.195,0.9997999999999999,1.0,732.25,0.6295333979381537,1.2779043654080902,0.18099356765733984,0.2701598180812336,0.859152671102961,0.6262637139326339,0.7144556305074456,-4.503589096548371,1.0,1.0,12.176991655703533,5.956290412948567,0.4526828949304474,25.784473077301854,0.032,11.114497483962698,0.683,0.7261,0.717,0.741,0.03886046412056859,0.021446579757000782,0.6517057531096685,0.3596678456746713
comm_sweep,100000.0,0.1,sense_sinr,0.698,0.6889265172520296,0.7069214138067748,0.008997448277372588,0.04419883976795359,0.04419,18684.8,60.310622668053256,29.195,0.9997999999999999,1.0,732.25,0.6365972279792939,0.7780322705805989,0.12808378392318281,0.16463208110301678,0.7863338895390798,0.5575123775204666,0.6147705022280363,-7.29505395896235,1.0,1.0,9.415060457812055,4.150029740045269,0.43924800563552646,18.78090379707414,0.017,8.349401009634006,0.587,0.698,0.667,0.717,0.03735656790546326,0.011573417237652447,0.5038887468858139,0.15610948853292547
comm_sweep,100000.0,0.1,single_best,0.6908,0.6816697633847156,0.6997836974537687,0.00905696703452652,0.04083666666666667,0.04083666666666667,6400.0,5.655287434362343,10.0,1.0,1.0,732.25,0.7841259308381391,2.220663687096062,0.5424807116287383,0.7387460451112566,0.932877547358948,0.8264628256462302,0.868267455019891,-0.5841725654860208,1.0,1.0,15.301603023581663,5.158988143091708,0.2291909466526213,36.05579181143937,0.007,13.096702888141618,0.586,0.6908,0.677,0.7,0.10793749999999999,0.12215117410347694,2.390875472434635,2.7057162347941706
comm_sweep,100000.0,0.1,all_neighbor,0.7493,0.7407104019724335,0.757698129406152,0.008493863716859229,0.04870666666666667,0.04870666666666667,468640.0,2082.2361044233758,732.25,1.0,1.0,732.25,0.5405228141648825,0.529047424960585,0.1023511056607348,0.11979924993214956,0.7264379683084096,0.5058417915972347,0.5453582099743205,-9.114427155713884,1.0,1.0,20.782550950033148,9.08092202697286,0.48283904020296503,53.189066110238656,0.035,18.600895099057976,0.694,0.7493,0.731,0.773,0.0015988818709457152,0.00035985352401114967,0.04434651534233772,0.009980881085427325
comm_sweep,200000.0,0.2,proposed_lagrangian,0.6506,0.6411988854938196,0.6598854499478769,0.009343282227028626,0.04426327898369511,0.04425,21129.6,29.212402248125816,33.015,0.9997,1.0,430.98,0.38695495381822903,1.3814015162172892,0.27389511919499354,0.35759392699494835,0.8012242256112749,0.5740897531024625,0.63574175357225,-3.7103975347386298,1.0,1.0,7.715197577301142,4.098238078259158,0.2219252493807476,15.4832756988601,0.006,7.013766790073157,0.585,0.6506000000000001,0.627,0.665,0.03079092836589429,0.022271362501238342,0.36513694425361304,0.2641069197859661
comm_sweep,200000.0,0.2,sense_sinr,0.6408,0.6313441687739332,0.6501476933123278,0.009401762269197311,0.044883465039511856,0.04487,21129.6,42.38811452820277,33.015,0.9997,1.0,430.98,0.39278045833762393,0.9896716042789317,0.2400033802105294,0.2841760683682679,0.7491861196226296,0.5449902610121581,0.5861338801112047,-5.448923310996639,1.0,1.0,6.063312971797966,3.124652477952525,0.21275314344345858,11.374300178683422,0.001,5.416350217143094,0.494,0.6408,0.624,0.656,0.03032712403452976,0.015117445235117646,0.2869582468100658,0.1430427618516451
comm_sweep,200000.0,0.2,single_best,0.6318,0.6222976725920618,0.641201101718799,0.009451714563368574,0.040633333333333334,0.040633333333333334,6400.0,4.735619035800678,10.0,1.0,1.0,430.98,0.5775280316930966,2.4540601275838667,0.6818993344927433,0.8951302891626998,0.8969813716582478,0.7603098554587866,0.8061885273859375,0.22573301346658456,1.0,1.0,9.896180825046933,3.230415814984229,0.13622134876596906,22.455086554096876,0.001,8.56493382707213,0.497,0.6317999999999999,0.616,0.649,0.09871875,0.13341444808454236,1.5462782539135833,2.089733306297036
comm_sweep,200000.0,0.2,all_neighbor,0.6646,0.6552846024404319,0.6737889806518874,0.009252189105727782,0.04794,0.04794,275827.2,665.6111917078593,430.98,1.0,1.0,430.98,0.32313412146855786,0.8075716541980015,0.20802849636792461,0.23576396076439754,0.7116439779700551,0.5100413355987397,0.5419290811045542,-6.471923752532332,1.0,1.0,11.381933369185257,4.641962043740417,0.21530652630796085,28.671379782752343,0.006,10.025321481839708,0.568,0.6646,0.635,0.685,0.002409479558216158,0.0009984808072333268,0.04126472432445116,0.01709997294363532
comm_sweep,500000.0,0.5,proposed_lagrangian,0.5111,0.5013000331257441,0.5208914417972496,0.00979570433575272,0.045472796627183294,0.0453,21915.52,15.586259914457132,34.243,0.9962000000000001,1.0,181.35,0.17735731259060367,2.0700884291558532,0.6822151349218729,0.8068948348474065,0.769123144938542,0.5796516790502604,0.6220454823852714,-0.6535210187024749,1.0,1.0,4.450047091693122,1.7393418021612772,0.04097891516311822,9.418732463702105,0.001,3.953678156416972,0.371,0.5110999999999999,0.497,0.524,0.02332137225126303,0.032791702615322486,0.20305459745847335,0.2855108997358278
comm_sweep,500000.0,0.5,sense_sinr,0.5052,0.4954004146700031,0.5149955916002281,0.0097975884651125,0.045884360570166635,0.04571,21915.52,18.39075027456625,34.243,0.9962000000000001,1.0,181.35,0.1777570742925458,1.862759199866672,0.6459810182889965,0.7468834363712544,0.7512641956029349,0.5673276587994388,0.6052575163161239,-1.2515965921669672,1.0,1.0,3.7958895392785545,1.619999978783826,0.03967013916451073,7.799614950323033,0.0,3.4135762162410592,0.339,0.5052000000000001,0.492,0.523,0.023052156645153754,0.027470331142426172,0.1732055428882616,0.20640210337302736
comm_sweep,500000.0,0.5,single_best,0.5184,0.5086014502122386,0.5281844181285796,0.009791483958170533,0.04097,0.04097,6400.0,2.9769061132448935,10.0,1.0,1.0,181.35,0.30794082272602574,3.2632337577170363,1.248968155635613,1.5041820922375797,0.8614523758313961,0.7197011372032778,0.7587292583485875,2.64481900137709,1.0,1.0,5.533356266899445,1.6093366943900955,0.030703360507458265,12.463957803683856,0.0,4.8375267652764204,0.328,0.5184,0.506,0.543,0.08099999999999999,0.17414052720491494,0.8645869167030382,1.8587607591251725
comm_sweep,500000.0,0.5,all_neighbor,0.5129,0.5031001883807033,0.5226899040973704,0.009794857858333561,0.04625,0.04625,116064.0,107.15788537029901,181.35,1.0,1.0,181.35,0.15829852520972626,1.7188531766679902,0.6000489079406722,0.6843033694905339,0.7329941432110297,0.5483339064360293,0.5831637696986464,-1.7484177685129032,1.0,1.0,5.4817193866315534,1.6200249169680245,0.03929817298649501,12.659915194184524,0.0,4.706182627080206,0.359,0.5128999999999999,0.491,0.541,0.00441911359250069,0.004786395310318065,0.04723014359863139,0.05115553902252464
comm_sweep,1000000.0,1.0,proposed_lagrangian,0.3841,0.3746131517560096,0.39367586233633656,0.009531355290163468,0.04352737352737353,0.04187333333333333,16124.8,4.9622928426606325,25.195,0.962,1.0,83.895,0.1391576094541219,4.217994663730116,2.0091404820811887,2.3278757773221272,0.8353985984916863,0.6846838454547313,0.7233957422915318,4.978351445801437,1.0,1.0,3.6914224658008243,0.5690980206588098,0.0033280176757297156,9.40343774840383,0.0,3.1144816115916174,0.246,0.38410000000000005,0.369,0.419,0.02382045048620758,0.07740373496257773,0.22892826365603444,0.7438945227226038
comm_sweep,1000000.0,1.0,sense_sinr,0.3832,0.3737177155838733,0.3927719897309328,0.009527137073529757,0.04335758835758836,0.04171,16124.8,5.289375633811393,25.195,0.962,1.0,83.895,0.1380450296785728,4.13862916268586,1.9705277823292955,2.2777545571503914,0.8317142110556623,0.6798580961063845,0.717982417579288,4.816935198528574,1.0,1.0,3.456942235297895,0.5658550928433219,0.00325189379849988,8.773966089405022,0.0,2.8975199788449424,0.241,0.3832,0.358,0.415,0.023764635840444533,0.07244711408856314,0.2143866736516357,0.6535633833982232
comm_sweep,1000000.0,1.0,single_best,0.3828,0.373319755029346,0.3923702574954423,0.009525251233048149,0.04045,0.04045,6400.0,1.5849791687307113,10.0,1.0,1.0,83.895,0.19404256118519722,5.142089705507791,2.7706218847403465,3.186073227155919,0.8821506653359166,0.7719243940316065,0.8027978598918444,6.895266323825854,1.0,1.0,3.8241231916755902,0.5032360335280093,0.0029246863237275193,9.029719393934545,0.0,3.2708541187964775,0.239,0.38280000000000003,0.368,0.403,0.05981249999999999,0.24151736978761382,0.597519248699311,2.4127277298780134
comm_sweep,1000000.0,1.0,all_neighbor,0.384,0.3745136571447654,0.39357543375007636,0.009530888302655471,0.04447333333333333,0.04447333333333333,53692.8,19.07000417654662,83.895,1.0,1.0,83.895,0.1312078538302629,4.007202943114829,1.8856429281403821,2.175167527165666,0.8242271831903722,0.6686168574468837,0.7069408370158358,4.535570160355515,1.0,1.0,4.233306092685,0.555480883361627,0.004187137134084235,9.962908154788048,0.0,3.468257400558121,0.239,0.384,0.351,0.411,0.007151796888968353,0.020136335390647953,0.07884308683259207,0.22198768566036084
