trial,arm,p_d,p_fa,links,overhead_bits,overhead_delay_s,weak_detected,d_fuse_median,pd_per_mbit
0,baseline,0.5,0.05,48,12160.0,0.020266666666666672,0,4.133172854843097,41.118421052631575
0,robust,0.5,0.05333333333333334,60,5760.0,0.009600000000000003,0,5.407572874091852,86.80555555555556
0,links12,0.6,0.06,60,14720.0,0.02453333333333334,0,3.7605781116947776,40.76086956521739
0,robust_links12,0.5,0.06,60,5760.0,0.009600000000000003,0,12.674368122933519,86.80555555555556
1,baseline,0.4,0.04666666666666667,59,26240.0,0.043733333333333346,0,1.6860609401002913,15.243902439024392
1,robust,0.3,0.04,60,8960.0,0.014933333333333338,0,1.0811611321672399,33.48214285714286
1,links12,0.5,0.04,60,29440.0,0.04906666666666668,0,1.8631467369469603,16.983695652173914
1,robust_links12,0.4,0.03666666666666667,60,9600.0,0.016000000000000004,0,1.0791276692038763,41.66666666666667
2,baseline,0.4,0.04814814814814815,45,27520.0,0.04586666666666668,0,0.65969408943466,14.534883720930234
2,robust,0.4,0.056666666666666664,60,17280.0,0.02880000000000001,0,1.9447477628286538,23.14814814814815
2,links12,0.5,0.06296296296296296,60,38400.0,0.06400000000000002,0,0.7841482400702321,13.020833333333334
2,robust_links12,0.4,0.056666666666666664,60,18560.0,0.030933333333333344,0,1.920306077413714,21.551724137931036
3,baseline,0.3,0.05185185185185185,35,10240.0,0.01706666666666667,1,0.44099960296039475,29.296874999999996
3,robust,0.2,0.056666666666666664,60,15360.0,0.025600000000000008,0,1.2180246668275754,13.020833333333334
3,links12,0.4,0.06296296296296296,53,12800.0,0.02133333333333334,1,0.44099960296039475,31.25
3,robust_links12,0.3,0.043333333333333335,60,17280.0,0.02880000000000001,0,1.39757629082979,17.36111111111111
4,baseline,0.4,0.04,57,22400.0,0.03733333333333334,0,0.4885489247568856,17.857142857142858
4,robust,0.4,0.05333333333333334,60,5120.0,0.008533333333333335,0,0.6428579180088148,78.125
4,links12,0.4,0.05333333333333334,60,32000.0,0.05333333333333335,0,0.8860203679837677,12.5
4,robust_links12,0.4,0.06666666666666667,60,5760.0,0.009600000000000003,0,0.6590126595998517,69.44444444444444
5,baseline,0.3,0.056666666666666664,55,7040.0,0.011733333333333337,1,1.0467120801664158,42.61363636363636
5,robust,0.5,0.056666666666666664,60,2560.0,0.004266666666666667,1,0.8636766877936753,195.31249999999997
5,links12,0.3,0.056666666666666664,60,8960.0,0.014933333333333338,1,1.0819685107403407,33.48214285714286
5,robust_links12,0.4,0.06333333333333334,60,4480.0,0.007466666666666668,1,0.8502733670859701,89.28571428571429
6,baseline,0.4,0.07037037037037037,49,20480.0,0.03413333333333334,0,0.629300566729083,19.53125
6,robust,0.3,0.03666666666666667,60,10880.0,0.018133333333333338,0,0.05719053939489573,27.573529411764703
6,links12,0.5,0.07037037037037037,60,24320.0,0.040533333333333345,1,0.63101560957739,20.559210526315788
6,robust_links12,0.3,0.044444444444444446,60,14720.0,0.02453333333333334,0,0.0544971163122807,20.380434782608695
7,baseline,0.4,0.05925925925925926,40,13440.0,0.022400000000000007,0,6.0472995184543565,29.761904761904763
7,robust,0.8,0.05,60,12800.0,0.02133333333333334,0,15.232630298831252,62.5
7,links12,0.5,0.05555555555555555,60,16640.0,0.027733333333333342,0,11.04205672685908,30.048076923076927
7,robust_links12,0.7,0.04666666666666667,60,17280.0,0.02880000000000001,0,15.305233638232604,40.50925925925926
8,baseline,0.2,0.06666666666666667,40,11520.0,0.019200000000000005,0,0.14726613951493192,17.36111111111111
8,robust,0.4,0.043333333333333335,60,12800.0,0.02133333333333334,0,0.2760646647198094,31.25
8,links12,0.2,0.07666666666666666,60,16000.0,0.026666666666666675,0,0.19895299633187546,12.5
8,robust_links12,0.4,0.04,60,16640.0,0.027733333333333342,0,0.27410841825135324,24.038461538461544
9,baseline,0.1,0.06333333333333334,55,25600.0,0.04266666666666668,0,0.5680553016078019,3.90625
9,robust,0.0,0.043333333333333335,60,7680.0,0.012800000000000004,0,0.2964727406766081,0.0
9,links12,0.2,0.06666666666666667,60,26240.0,0.043733333333333346,0,0.47989678336840547,7.621951219512196
9,robust_links12,0.3,0.05333333333333334,60,10240.0,0.01706666666666667,0,0.28385185635367816,29.296874999999996
10,baseline,0.3,0.04,48,23680.0,0.03946666666666668,1,1.7908108350824445,12.66891891891892
10,robust,0.2,0.06333333333333334,60,14720.0,0.02453333333333334,0,0.6252299784820952,13.58695652173913
10,links12,0.2,0.04,60,31360.0,0.052266666666666683,1,2.0639953587289996,6.377551020408164
10,robust_links12,0.3,0.07333333333333333,60,14720.0,0.02453333333333334,0,0.6074622187440866,20.380434782608695
11,baseline,0.3,0.08,60,12160.0,0.020266666666666672,0,0.29278610622722057,24.671052631578945
11,robust,0.2,0.07666666666666666,60,0.0,0.0,0,0.17411527623689232,200000000000.0
11,links12,0.3,0.07666666666666666,60,15360.0,0.025600000000000008,0,0.32685689375715354,19.53125
11,robust_links12,0.1,0.07,60,0.0,0.0,0,0.17411527623689232,100000000000.0
12,baseline,0.1,0.02962962962962963,51,28160.0,0.04693333333333335,0,0.08678416337169324,3.5511363636363638
12,robust,0.3,0.05,60,12160.0,0.020266666666666672,0,0.21367951964380733,24.671052631578945
12,links12,0.2,0.02962962962962963,60,35840.0,0.059733333333333354,0,0.09135892141046992,5.580357142857143
12,robust_links12,0.3,0.05555555555555555,60,13440.0,0.022400000000000007,0,0.23702746943699,22.32142857142857
13,baseline,0.3,0.05,54,24320.0,0.040533333333333345,0,0.35196097594000597,12.335526315789473
13,robust,0.3,0.03333333333333333,59,5760.0,0.009600000000000003,0,0.10454468712668864,52.08333333333333
13,links12,0.3,0.04666666666666667,60,28800.0,0.048000000000000015,0,0.38514821980971303,10.416666666666666
13,robust_links12,0.3,0.02666666666666667,60,5760.0,0.009600000000000003,0,0.10371059931473571,52.08333333333333
14,baseline,0.3,0.06666666666666667,53,14720.0,0.02453333333333334,0,0.6568264232658818,20.380434782608695
14,robust,0.3,0.07,60,5120.0,0.008533333333333335,0,0.2164847598307994,58.59374999999999
14,links12,0.3,0.056666666666666664,60,17280.0,0.02880000000000001,0,0.8478835616015195,17.36111111111111
14,robust_links12,0.4,0.05333333333333334,60,5120.0,0.008533333333333335,0,0.2164847598307994,78.125
15,baseline,0.6,0.06333333333333334,50,20480.0,0.03413333333333334,0,9.43304683241866,29.296874999999996
15,robust,0.5,0.03,60,6400.0,0.01066666666666667,0,3.7058046273428316,78.125
15,links12,0.6,0.06333333333333334,60,22400.0,0.03733333333333334,0,9.33666340570856,26.785714285714285
15,robust_links12,0.5,0.04,60,7680.0,0.012800000000000004,0,3.588354873851988,65.10416666666667
16,baseline,0.5,0.043333333333333335,54,26880.0,0.04480000000000001,0,0.8400010832338141,18.601190476190474
16,robust,0.5,0.07,60,12800.0,0.02133333333333334,0,1.7334331732943462,39.0625
16,links12,0.5,0.05,60,32640.0,0.05440000000000002,0,0.7682407235818757,15.318627450980392
16,robust_links12,0.5,0.07,60,14720.0,0.02453333333333334,0,1.6504704656495444,33.96739130434783
17,baseline,0.6,0.06,42,13440.0,0.022400000000000007,0,3.0089254798899097,44.64285714285714
17,robust,0.6,0.04666666666666667,60,10240.0,0.01706666666666667,0,2.0327987114701243,58.59374999999999
17,links12,0.6,0.056666666666666664,60,17920.0,0.029866666666666677,0,3.3458118838678352,33.48214285714286
17,robust_links12,0.7,0.04666666666666667,60,12800.0,0.02133333333333334,0,2.4328272672905005,54.68749999999999
18,baseline,0.3,0.037037037037037035,44,17920.0,0.029866666666666677,0,1.1135993113481522,16.74107142857143
18,robust,0.4,0.07333333333333333,57,7040.0,0.011733333333333337,1,0.04621554118198027,56.81818181818182
18,links12,0.3,0.03333333333333333,60,19200.0,0.03200000000000001,0,1.115346977345956,15.625
18,robust_links12,0.4,0.07333333333333333,60,7040.0,0.011733333333333337,1,0.04387587406658058,56.81818181818182
19,baseline,0.6,0.03666666666666667,46,23680.0,0.03946666666666668,1,2.4951715456025747,25.33783783783784
19,robust,0.4,0.06666666666666667,59,19840.0,0.033066666666666675,0,2.1508937495312894,20.161290322580648
19,links12,0.6,0.04666666666666667,60,32000.0,0.05333333333333335,1,2.941178656588327,18.75
19,robust_links12,0.4,0.056666666666666664,60,21120.0,0.03520000000000001,0,2.1209429136199116,18.93939393939394
20,baseline,0.7,0.04666666666666667,38,12160.0,0.020266666666666672,1,8.07709069905716,57.565789473684205
20,robust,0.7,0.05,60,21120.0,0.03520000000000001,0,24.677777937540103,33.14393939393939
20,links12,0.6,0.05333333333333334,58,16640.0,0.027733333333333342,0,9.952816799345893,36.05769230769231
20,robust_links12,0.8,0.06,60,23680.0,0.03946666666666668,1,24.916196639158443,33.78378378378379
21,baseline,0.1,0.06333333333333334,47,20480.0,0.03413333333333334,0,2.2822318455574546,4.8828125
21,robust,0.4,0.06,60,12800.0,0.02133333333333334,0,3.966747159953914,31.25
21,links12,0.2,0.06,60,26880.0,0.04480000000000001,0,2.159927090502207,7.440476190476191
21,robust_links12,0.4,0.06666666666666667,60,14080.0,0.023466666666666674,0,3.9640117423536543,28.40909090909091
22,baseline,0.6,0.056666666666666664,40,23680.0,0.03946666666666668,1,88.45903995503227,25.33783783783784
22,robust,0.7,0.04,60,16640.0,0.027733333333333342,1,30.477583968090435,42.06730769230769
22,links12,0.6,0.04666666666666667,60,37120.0,0.06186666666666669,1,125.80527555328345,16.163793103448274
22,robust_links12,0.7,0.05,60,18560.0,0.030933333333333344,1,30.35870910129917,37.71551724137931
23,baseline,0.2,0.056666666666666664,60,27520.0,0.04586666666666668,0,0.346706471746156,7.267441860465117
23,robust,0.2,0.04,60,4480.0,0.007466666666666668,0,0.14715815034300916,44.642857142857146
23,links12,0.3,0.07,60,32640.0,0.05440000000000002,0,0.3757663321690965,9.191176470588234
23,robust_links12,0.2,0.04666666666666667,60,4480.0,0.007466666666666668,0,0.15396598377438334,44.642857142857146
24,baseline,0.8,0.043333333333333335,34,19840.0,0.033066666666666675,1,10.639179938183284,40.322580645161295
24,robust,0.7,0.06666666666666667,60,24960.0,0.04160000000000001,0,11.808051422066775,28.044871794871792
24,links12,0.8,0.05,56,30720.0,0.051200000000000016,1,11.340832926993643,26.041666666666668
24,robust_links12,0.7,0.06333333333333334,60,30080.0,0.05013333333333335,0,11.891136655697077,23.27127659574468
25,baseline,0.3,0.06333333333333334,50,14080.0,0.023466666666666674,0,0.39582683499154636,21.30681818181818
25,robust,0.4,0.05,60,5120.0,0.008533333333333335,0,0.20019815897560642,78.125
25,links12,0.3,0.07666666666666666,60,22400.0,0.03733333333333334,0,0.5727587437116859,13.392857142857142
25,robust_links12,0.3,0.06,60,5760.0,0.009600000000000003,0,0.17133901142450925,52.08333333333333
26,baseline,0.4,0.04666666666666667,44,21120.0,0.03520000000000001,0,1.4073016812505919,18.93939393939394
26,robust,0.3,0.06333333333333334,60,17280.0,0.02880000000000001,0,1.1745794999053452,17.36111111111111
26,links12,0.4,0.05333333333333334,60,28800.0,0.048000000000000015,0,1.4940748968266684,13.88888888888889
26,robust_links12,0.3,0.06,60,17280.0,0.02880000000000001,0,1.1702583565265743,17.36111111111111
27,baseline,0.3,0.04,50,22400.0,0.03733333333333334,0,2.126959742775445,13.392857142857142
27,robust,0.4,0.056666666666666664,60,12800.0,0.02133333333333334,0,2.8773867599084504,31.25
27,links12,0.3,0.05333333333333334,60,26880.0,0.04480000000000001,0,2.146483137024508,11.160714285714285
27,robust_links12,0.5,0.05,60,12800.0,0.02133333333333334,0,2.8773867599084504,39.0625
28,baseline,0.3,0.04666666666666667,53,28160.0,0.04693333333333335,0,0.3371914749019487,10.65340909090909
28,robust,0.3,0.04,60,9600.0,0.016000000000000004,0,0.12535151560721797,31.25
28,links12,0.3,0.04666666666666667,60,35200.0,0.058666666666666686,0,0.40342873763761233,8.522727272727272
28,robust_links12,0.3,0.03333333333333333,60,11520.0,0.019200000000000005,0,0.1357080404938062,26.041666666666664
29,baseline,0.4,0.04,56,31360.0,0.052266666666666683,0,1.2707901781559838,12.755102040816327
29,robust,0.4,0.05,59,8960.0,0.014933333333333338,0,0.08307471336126633,44.642857142857146
29,links12,0.5,0.043333333333333335,60,37760.0,0.06293333333333335,1,1.4088085092499603,13.241525423728813
29,robust_links12,0.3,0.043333333333333335,60,8960.0,0.014933333333333338,0,0.08227662660473568,33.48214285714286
30,baseline,0.2,0.06666666666666667,55,7040.0,0.011733333333333337,0,0.07707827548351848,28.40909090909091
30,robust,0.3,0.056666666666666664,60,0.0,0.0,0,0.4676251736046264,300000000000.0
30,links12,0.2,0.07,60,7680.0,0.012800000000000004,0,0.11099995800449966,26.041666666666668
30,robust_links12,0.3,0.056666666666666664,60,0.0,0.0,0,0.18699229814711696,300000000000.0
31,baseline,0.6,0.07333333333333333,60,10240.0,0.01706666666666667,0,5.970913579094967,58.59374999999999
31,robust,0.6,0.06333333333333334,60,640.0,0.0010666666666666667,0,4.383117464758991,937.4999999999999
31,links12,0.6,0.05333333333333334,60,14080.0,0.023466666666666674,0,6.258768696499604,42.61363636363636
31,robust_links12,0.6,0.06333333333333334,60,640.0,0.0010666666666666667,0,4.625097230800109,937.4999999999999
32,baseline,0.4,0.044444444444444446,38,17920.0,0.029866666666666677,0,0.2925664594919286,22.321428571428573
32,robust,0.4,0.05333333333333334,60,15360.0,0.025600000000000008,0,1.3386495011455362,26.041666666666668
32,links12,0.4,0.040740740740740744,60,24320.0,0.040533333333333345,0,0.30707551514353787,16.44736842105263
32,robust_links12,0.3,0.043333333333333335,60,19840.0,0.033066666666666675,0,1.2897225215441432,15.120967741935484
33,baseline,0.3,0.037037037037037035,42,25600.0,0.04266666666666668,0,1.8943911118835743,11.718749999999998
33,robust,0.2,0.02,60,17280.0,0.02880000000000001,0,0.6287902020828561,11.574074074074074
33,links12,0.3,0.04814814814814815,60,37120.0,0.06186666666666669,0,2.124728358750457,8.081896551724137
33,robust_links12,0.2,0.02,60,21760.0,0.036266666666666676,0,0.625508073996033,9.191176470588236
34,baseline,0.6,0.06333333333333334,39,18560.0,0.030933333333333344,0,3.208426809361253,32.32758620689655
