trial,m_rx,coll_mean,coll_max,coll_frac_gt1,rinr_median,gamma_mean,p_d,p_fa,n_selected
0,1,1.1561904761904762,3.0,0.14761904761904762,8.383940019267344,0.12128464364804556,0.5,0.02666666666666667,34
1,1,1.140952380952381,3.0,0.13238095238095238,7.127663230445735,0.12269280463227135,0.5,0.05,34
2,1,1.118095238095238,3.0,0.11238095238095239,9.125736245862612,0.08158852800978468,0.6,0.03666666666666667,31
3,1,1.1923809523809523,3.0,0.17809523809523808,6.717314752121419,0.14289029769171277,0.6,0.04,25
4,1,1.1085714285714285,3.0,0.1,7.400221246660456,0.10243985361255822,0.6,0.06333333333333334,29
5,1,1.2076190476190476,3.0,0.1961904761904762,6.087506019246576,0.08360483234053444,0.4,0.056666666666666664,37
6,1,1.1142857142857143,3.0,0.10285714285714286,8.423467775980335,0.42484926016215174,0.5,0.04666666666666667,37
7,1,1.1085714285714285,3.0,0.10285714285714286,8.544170674804636,0.04680346607282572,0.3,0.056666666666666664,40
8,1,1.0952380952380953,3.0,0.08952380952380952,5.6871300403346625,0.07235865398326417,0.5,0.05,34
9,1,1.198095238095238,4.0,0.17904761904761904,5.60801721749811,0.31468032530498835,1.0,0.05333333333333334,24
10,1,1.1523809523809523,3.0,0.13523809523809524,10.388355708726415,0.10277505945504291,0.7,0.03666666666666667,38
11,1,1.1523809523809523,3.0,0.1438095238095238,6.292981686985669,0.2102484673210956,0.7,0.06,27
12,1,1.1428571428571428,3.0,0.13428571428571429,9.075234754491728,0.15680423322210124,0.7,0.05,23
13,1,1.1276190476190475,3.0,0.11047619047619048,8.268381568331055,0.13727551338322222,0.8,0.07333333333333333,26
14,1,1.1866666666666668,3.0,0.16095238095238096,6.85725521089944,0.37274727531927015,0.5,0.056666666666666664,42
15,1,1.1238095238095238,2.0,0.12380952380952381,4.558343117870085,0.09052945562745304,0.8,0.05333333333333334,31
16,1,1.1504761904761904,3.0,0.1361904761904762,6.440916603885829,0.11072555917009055,0.6,0.043333333333333335,36
17,1,1.1942857142857144,3.0,0.18285714285714286,5.932272734053594,0.11256495025001664,0.5,0.05,33
18,1,1.1123809523809525,3.0,0.10666666666666667,9.407070388663842,0.14292628735779134,0.7,0.05,37
19,1,1.2019047619047618,3.0,0.1819047619047619,6.554165014993076,0.5561923790088745,0.4,0.03666666666666667,39
0,4,1.0645505892758627,2.9695747488192072,0.14761904761904762,8.383940019267344,0.12439859755038433,0.5,0.02666666666666667,34
1,4,1.0547117478030383,2.2219699975386082,0.13238095238095238,7.127663230445735,0.12600282197780177,0.6,0.06666666666666667,34
2,4,1.0400822938753023,1.9999691350504047,0.11238095238095239,9.125736245862612,0.08360049008188922,0.6,0.04,31
3,4,1.0656998383492238,2.504434625450932,0.17809523809523808,6.717314752121419,0.14923426066057682,0.6,0.04,25
4,4,1.053446712838229,2.507878122164844,0.1,7.400221246660456,0.10440164434651013,0.6,0.06333333333333334,29
5,4,1.0806901269189468,2.812595868388141,0.1961904761904762,6.087506019246576,0.08898003372325447,0.4,0.056666666666666664,37
6,4,1.04108238445738,2.851649410718939,0.10285714285714286,8.423467775980335,0.4296007966086089,0.5,0.043333333333333335,37
7,4,1.044630635090765,2.3183669884869844,0.10285714285714286,8.544170674804636,0.04827612554243119,0.3,0.056666666666666664,41
8,4,1.0291663221846492,2.8934645119463522,0.08952380952380952,5.6871300403346625,0.07369368449097222,0.5,0.04666666666666667,34
9,4,1.07363538728327,3.4753286969158577,0.17904761904761904,5.60801721749811,0.3350061155314814,1.0,0.05333333333333334,24
10,4,1.073588247115234,2.7821636633919957,0.13523809523809524,10.388355708726415,0.10520951201067627,0.6,0.043333333333333335,35
11,4,1.0584332747500556,2.5843986849897416,0.1438095238095238,6.292981686985669,0.2159214158886229,0.7,0.06333333333333334,27
12,4,1.0338779212110594,2.067728506476479,0.13428571428571429,9.075234754491728,0.16109246251893344,0.6,0.04666666666666667,23
13,4,1.050237951447958,2.4479379927296794,0.11047619047619048,8.268381568331055,0.13980450622406346,0.8,0.07,26
14,4,1.1111205177275647,2.9822323427055726,0.16095238095238096,6.85725521089944,0.37468401125901024,0.5,0.05,42
15,4,1.0571735026663,1.999776668121761,0.12380952380952381,4.558343117870085,0.09244342628276275,0.8,0.056666666666666664,31
16,4,1.0597370178328491,2.905323066476729,0.1361904761904762,6.440916603885829,0.11377000882889853,0.6,0.04666666666666667,36
17,4,1.0879424580330725,2.440268232357731,0.18285714285714286,5.932272734053594,0.11621032069163506,0.6,0.056666666666666664,33
18,4,1.0180479122262092,1.987248650577289,0.10666666666666667,9.407070388663842,0.14586408180948068,0.7,0.05,37
19,4,1.0582929939246022,2.951042356037292,0.1819047619047619,6.554165014993076,0.5789410990526944,0.4,0.04666666666666667,41
