g_hw_db,kappa_dc,arm,n_seeds,worst_min,worst_mean,worst_std
0.0,40.0,uncoordinated,4,0.65,0.7,0.03535533905932737
0.0,40.0,mask_only,4,0.7,0.73125,0.02072890493972127
0.0,40.0,sparse,4,0.75,0.78125,0.03247595264191644
0.0,60.0,uncoordinated,4,0.9,0.9125000000000001,0.012500000000000011
0.0,60.0,mask_only,4,0.9,0.9125000000000001,0.012500000000000011
0.0,60.0,sparse,4,0.85,0.875,0.030618621784789753
