split,scene_id,boost_db,two_cpi_h0,two_cpi_h1,perfect_two_cpi_h0,perfect_two_cpi_h1,crossfit_map_h0,crossfit_map_h1
train,0,30.0,13.47586345108379,14.01452422761326,13.221909382022972,11.390817601077334,12.866550690239459,12.967374600733212
calibration,1,30.0,13.24295225028542,14.673131057859177,13.559628066511806,16.706506582653937,13.179485265610174,14.631134187161583
calibration,2,30.0,11.872005351452401,26.74581944250322,13.715245626705801,26.183402063104275,12.234285111230601,26.916081333195542
calibration,3,30.0,38.591243364457505,52.507851062467125,14.716623220120969,43.41395559021179,10.980994481184894,26.28580122772196
calibration,4,30.0,20.184716644589017,42.347531303745555,22.837881418174454,49.30929440832885,19.54496605198264,40.04723687409056
calibration,5,30.0,14.562444867875199,19.116186875663967,13.70136063266568,35.11917407946198,13.479195879836677,19.681743573226875
calibration,6,30.0,18.010610675147696,11.2044813464641,18.01231943311339,11.011861428299873,18.053234900953942,11.236169299560645
calibration,7,30.0,9.816082360177344,18.16842448898792,9.988794306385024,17.79594159314746,9.888890668000938,17.8965296922106
calibration,8,30.0,12.50149818884255,18.97894605025389,12.148223371140428,17.279601965068352,12.73174908774175,16.69677885231142
calibration,9,30.0,15.895806464102952,10.740945353728796,15.051173085371282,10.466665462143986,15.915764260047588,10.91191229715745
calibration,10,30.0,17.78980070745505,25.3892176125292,19.169078341880475,41.584911629962114,17.80719756042501,24.385026943471125
calibration,11,30.0,21.444434822141957,14.870894585664217,20.488560596305277,14.486103675509053,21.58828704747449,14.906056682894867
calibration,12,30.0,15.077849737737933,77.14569654056615,19.25196516556818,84.05379200007755,14.847909843150056,74.24541966043822
calibration,13,30.0,10.269406961385258,26.220070446963202,10.559331369997599,24.784781921641667,10.469833649690258,26.66047590929523
calibration,14,30.0,13.366190164415318,13.394491496099967,13.49931721996179,13.32706005443645,13.17339692125844,13.501624389582403
calibration,15,30.0,11.405736150634006,20.47339931038697,12.2703257575567,21.250022170688098,11.839182084030718,21.257184888560158
calibration,16,30.0,17.04217181274423,60.0279753006827,16.337542471524557,59.08372827259568,17.147972748324037,60.118638628629995
