experiment,variant,use_target_priority,use_delay_price,use_comm_error_calibration,use_softmin_alpha,lambda_cost,mu_deficit,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
ablation,full,True,True,True,True,0.005,1.0,proposed_lagrangian,0.9481,0.94357758173567,0.9522782662817557,0.004350342273042873,0.04235,0.04235,9535.36,6.940672989058459,14.899,1.0,1.0,446.84,0.5042112879979547,2.9125515592399513,1.1167332656950306,1.3468546897307014,0.9103376927297658,0.787201375051539,0.8256837607047012,1.4250061956271511,1.0,1.0,25.10187907102537,15.845713434282164,5.819990062774671,50.84701232915413,0.826,24.33276668752656,0.973,0.9480999999999999,0.935,0.955,0.0994299114034499,0.13660058635446748,2.632504600877719,3.616634742855185
ablation,w/o_alpha,False,True,True,True,0.005,1.0,proposed_lagrangian,0.9567,0.9525323143049796,0.9605169286978282,0.003992307196424294,0.044713333333333334,0.044713333333333334,27212.8,30.144611722767486,42.52,1.0,1.0,446.84,0.38604064937054106,1.7955805796622426,0.6539268512081169,0.7708192421637854,0.8512049072760324,0.6977030388155042,0.741469034963978,-1.9316746967127452,1.0,1.0,34.87593841284434,25.056196703576468,5.156238799028398,71.00277000445236,0.8,33.64241052884262,0.968,0.9567,0.95,0.964,0.03515625,0.03173701518528527,1.2816005119959852,1.1569543085706226
ablation,w/o_delay_price,True,False,True,True,0.005,1.0,proposed_lagrangian,0.949,0.9445130043605195,0.953142152434446,0.004314574036963226,0.04314,0.04314,14060.16,14.665254483147496,21.969,1.0,1.0,446.84,0.4911942551994604,2.784338369193552,1.0975913864214843,1.318165483089596,0.8982369586757748,0.7725291684862978,0.8108865872856809,0.9380872961125625,1.0,1.0,27.246567037818163,17.45760763055288,5.816523195387115,57.09326987946,0.8,26.427679032027786,0.968,0.9490000000000001,0.938,0.956,0.06749567572488506,0.0647107761471537,1.9378561152802076,1.8578993681376903
ablation,w/o_comm_error_calib,True,True,False,True,0.005,1.0,proposed_lagrangian,0.8445,0.8372651783048177,0.8514702370980012,0.007102529396591728,0.041826666666666665,0.041826666666666665,6566.4,8.146998321688244,10.26,1.0,1.0,446.84,0.5238091624637868,1.5104724225387935,0.4060142451619039,0.512559836253703,0.8327823555569037,0.6624443340452749,0.7104988265812625,-2.874516635013122,1.0,1.0,550.2548846811501,369.3954747127855,46.86333863378605,1269.8440711577925,0.977,491.25067799772074,0.995,0.8445,0.83,0.859,0.128609283625731,0.10365780949676204,83.79856309106209,67.54081232793537
ablation,w/o_softmin_alpha,True,True,True,False,0.005,1.0,proposed_lagrangian,0.9544,0.9501336937130102,0.9583173157471957,0.004091811017092772,0.0429,0.0429,12234.24,10.441124468112523,19.116,1.0,1.0,446.84,0.48898376987580605,2.8119552166336543,1.099004245395814,1.3240571720387322,0.9040242305461631,0.7773326165650042,0.8183254139182329,1.1022723369086167,1.0,1.0,26.299265224299305,18.291553534337567,5.925754204808832,51.66714331822637,0.817,25.68491867715395,0.972,0.9544,0.946,0.962,0.07801056706423938,0.09140777920182482,2.1496443771169527,2.518815411560122
