experiment,variant,use_otfs_bin_validity,enable_dd_fractional_penalty,enable_dd_collision_penalty,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
dd_ablation,full_dd,True,True,True,proposed_lagrangian,0.6105,0.6009016244030568,0.6200135088393569,0.009555942218150038,0.04373165198825727,0.04369666666666667,17674.88,28.63651587004717,27.617,0.9992000000000001,1.0,430.98,0.3195214631023853,1.1395552621457885,0.24208671658984568,0.3070993558580414,0.7740660725089772,0.5444384347771881,0.6015396075757468,-4.68023002834258,1.0,1.0,42.49310816112856,5.196935284516016,0.1962497325156318,95.24415855632158,0.01,30.07934690875542,0.613,0.6105,0.592,0.625,0.0345405456783865,0.021318934285527467,2.4041525691336267,1.483878428296332
dd_ablation,full_dd,True,True,True,sense_sinr,0.5855,0.5758133091427999,0.5951210247235019,0.009653857790350995,0.04519282092340539,0.045156666666666664,17674.88,40.26250124064411,27.617,0.9992000000000001,1.0,430.98,0.3195214631023853,0.8521409433331235,0.2163122335002957,0.24863815855811428,0.7207043786685927,0.5190247739100176,0.5534223305770684,-6.218523037717575,1.0,1.0,39.20081508766884,4.469711731580425,0.19114030619573744,86.02084087233145,0.004,26.717051870434577,0.575,0.5855,0.563,0.605,0.033126108918419814,0.014542067232746847,2.2178829552262216,0.9736308942499697
dd_ablation,full_dd,True,True,True,single_best,0.5656,0.5558613536751225,0.5752882638877945,0.009713455106336033,0.042396666666666666,0.042396666666666666,6400.0,8.635075950813386,10.0,1.0,1.0,430.98,0.3195214631023853,1.3368365252665357,0.3608641476795324,0.4583338090392315,0.8137246249384325,0.6318511499202546,0.6835555866081808,-3.5689324463247267,1.0,1.0,40.9415184750418,3.8031592581349134,0.08429035622187087,93.44229799578099,0.003,28.70074585798675,0.51,0.5656,0.548,0.58,0.088375,0.06550029243769685,6.397112261725281,4.741303806503901
dd_ablation,full_dd,True,True,True,all_neighbor,0.6631,0.6537749870881907,0.6722997480415619,0.009262380476685594,0.04607666666666667,0.04607666666666667,275827.2,675.3877921347389,430.98,1.0,1.0,430.98,0.3195214631023853,0.7912703927233438,0.20561045501010447,0.23232913808656708,0.7085402099145541,0.507049543039826,0.5381725249515497,-6.557076813237027,1.0,1.0,78.13090025301666,7.891735373903742,0.21598592165822705,169.8602983173712,0.01,53.891057271718104,0.625,0.6631,0.653,0.672,0.0024040413708292727,0.0009818063159005286,0.2832603175213201,0.11568302116634892
dd_ablation,w/o_dd_validity,False,True,True,proposed_lagrangian,0.6105,0.6009016244030568,0.6200135088393569,0.009555942218150038,0.04373165198825727,0.04369666666666667,17674.88,28.63651587004717,27.617,0.9992000000000001,1.0,431.01,0.3195214631023853,1.1395552621457885,0.24208671658984568,0.3070993558580414,0.7740660725089772,0.5444384347771881,0.6015396075757468,-4.68023002834258,1.0,1.0,42.49310816112856,5.196935284516016,0.1962497325156318,95.24415855632158,0.01,30.07934690875542,0.613,0.6105,0.592,0.625,0.0345405456783865,0.021318934285527467,2.4041525691336267,1.483878428296332
dd_ablation,w/o_dd_validity,False,True,True,sense_sinr,0.5855,0.5758133091427999,0.5951210247235019,0.009653857790350995,0.04519282092340539,0.045156666666666664,17674.88,40.26250124064411,27.617,0.9992000000000001,1.0,431.01,0.3195214631023853,0.8521409433331235,0.2163122335002957,0.24863815855811428,0.7207043786685927,0.5190247739100176,0.5534223305770684,-6.218523037717575,1.0,1.0,39.20081508766884,4.469711731580425,0.19114030619573744,86.02084087233145,0.004,26.717051870434577,0.575,0.5855,0.563,0.605,0.033126108918419814,0.014542067232746847,2.2178829552262216,0.9736308942499697
dd_ablation,w/o_dd_validity,False,True,True,single_best,0.5656,0.5558613536751225,0.5752882638877945,0.009713455106336033,0.042396666666666666,0.042396666666666666,6400.0,8.635075950813386,10.0,1.0,1.0,431.01,0.3195214631023853,1.3368365252665357,0.3608641476795324,0.4583338090392315,0.8137246249384325,0.6318511499202546,0.6835555866081808,-3.5689324463247267,1.0,1.0,40.9415184750418,3.8031592581349134,0.08429035622187087,93.44229799578099,0.003,28.70074585798675,0.51,0.5656,0.548,0.58,0.088375,0.06550029243769685,6.397112261725281,4.741303806503901
dd_ablation,w/o_dd_validity,False,True,True,all_neighbor,0.6636,0.6542781805945419,0.6727961705227328,0.009258994964095435,0.04608333333333333,0.04608333333333333,275846.4,675.4001601722117,431.01,1.0,1.0,431.01,0.3195214631023853,0.7912703927233438,0.20561045501010447,0.23232913808656708,0.7085402099145541,0.507049543039826,0.5381725249515497,-6.557076813237027,1.0,1.0,78.13090025983158,7.891735373903742,0.21598592165822705,169.8602983173712,0.01,53.891057287518116,0.625,0.6636,0.653,0.672,0.002405686643001322,0.0009825286387714167,0.28324060150805513,0.1156809027701592
dd_ablation,w/o_dd_fractional_loss,True,False,True,proposed_lagrangian,0.6922,0.6830805958925048,0.7011717897110419,0.009045596909268538,0.04399213175968527,0.04398333333333333,15518.08,24.501835099549616,24.247,0.9997999999999999,1.0,430.98,0.3195214631023853,1.1889031863293722,0.25453274725958214,0.32807704482101885,0.7817987055063443,0.553633746163717,0.6135069051742127,-4.439478919144627,1.0,1.0,61.480444690654345,9.93197322995837,0.5393215903253052,150.83082278238854,0.07,45.801464446845856,0.734,0.6921999999999999,0.672,0.705,0.04460603373613231,0.028250945171560796,3.9618589858187576,2.5092179602410454
dd_ablation,w/o_dd_fractional_loss,True,False,True,sense_sinr,0.6628,0.6534730765503491,0.67200188898689,0.009264406218270405,0.04487564179502567,0.044866666666666666,15518.08,35.065582863452065,24.247,0.9997999999999999,1.0,430.98,0.3195214631023853,0.8691232999733016,0.2209821443759729,0.25612248137890725,0.723949080822802,0.5224316860323616,0.5585090304959964,-6.126533563698984,1.0,1.0,55.95989596562171,8.211255202805738,0.5238064813536962,137.5381623896421,0.028,40.30707069292457,0.702,0.6628000000000002,0.633,0.692,0.042711469460139394,0.01890172487880756,3.606109516487975,1.5958638469958883
