m_rx,delta_bw,delta_u,rho,rho_analytic,kind,q,r,dd_sep_bins,du_x,du_y,rho_weighted_x,rho_weighted_y,rho_median,n_templates
,,,,,pair,2,4,0.43090537899587344,0.011495343721097506,0.38566250795066603,,,,
,,,,,pair,2,6,0.39811162350739604,0.8951124496604519,0.293247995202801,,,,
,,,,,pair,2,9,0.4732069689895191,0.0993450421886749,0.37487871104348075,,,,
,,,,,pair,3,7,0.4472571454067218,1.0077630132679878,0.705061723374846,,,,
,,,,,pair,3,8,0.42159109005000656,0.1701397615367814,0.3622341908735496,,,,
,,,,,pair,4,6,0.41831492034514106,0.8836171059393545,0.09241451274786505,,,,
,,,,,pair,4,7,0.27217320531574773,0.28106942112031286,0.20606611083697923,,,,
,,,,,pair,5,8,0.19823890519798715,0.11499836948956402,0.2478321804782836,,,,
,,,,,pair,0,1,0.494916057605125,0.3578143543694571,0.37275705069345844,,,,
,,,,,pair,0,2,0.22709355764409445,0.42451097286263245,0.6914818155850035,,,,
,,,,,pair,0,6,0.40040149491307364,0.4781384888855224,0.5277291241781223,,,,
,,,,,pair,0,8,0.43438995339524616,0.4389490139991821,0.644490186848015,,,,
,,,,,pair,1,6,0.22713664147044987,0.8359528432549795,0.15497207348466396,,,,
,,,,,pair,2,8,0.2167722212202361,0.014438041136549673,0.04699162873698853,,,,
,,,,,pair,3,4,0.27683442011755366,0.6311141793169908,0.14358307628209654,,,,
,,,,,pair,3,6,0.26459572712487733,0.9411754410887825,0.3412997121534222,,,,
,,,,,pair,3,8,0.4928314561835503,0.9019859662024422,0.22453864948352964,,,,
,,,,,pair,5,6,0.3775958479628052,0.9786577256739675,0.27365071297397187,,,,
,,,,,pair,7,9,0.49609610592462294,0.37352570299409904,0.004831238913295149,,,,
,,,,,pair,0,1,0.4104115500000721,0.7268862015411872,0.618332587496557,,,,
,,,,,pair,0,8,0.11780232979993599,0.7009018103207212,0.3009822419809553,,,,
,,,,,pair,1,6,0.2312356040907364,0.3534626852650513,0.0747432294916942,,,,
,,,,,pair,1,8,0.17993694830003015,0.025984391220465974,0.3173503455156017,,,,
,,,,,pair,3,8,0.43294903197123624,0.4903608850854816,0.23849775422302472,,,,
,,,,,pair,5,9,0.304992792504557,0.9601549569310411,0.7128749453429172,,,,
,,,,,pair,1,5,0.26523773276272866,0.7530608741937461,0.6518076258309073,,,,
,,,,,pair,1,9,0.16856259487435565,0.8699711126276035,0.19702866643942585,,,,
,,,,,pair,2,4,0.3685654983522255,0.1274662650319128,0.9395846156042403,,,,
,,,,,pair,2,5,0.4227524879484085,0.025723355304972273,1.0587030208165942,,,,
,,,,,pair,2,6,0.35394091252127247,0.7422038392072329,0.28071520499786073,,,,
,,,,,pair,2,9,0.24002078855637443,0.09118688312888518,0.6039240614251127,,,,
