experiment,condition,fusion_rule,wall_time_s,seconds_per_trial,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,selected_observations_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
target_local_v1_fusion_rule,max_in_rate,max_in_rate,57.58028849994298,0.5758028849994298,proposed_c2f_adaptive_pd,0.919,0.9004424261087147,0.9343506328758902,0.016954103383587715,0.05045045045045045,0.0504,4256.0,7.0933333333333355,6.65,19.89,1.0,1.0,977.2,0.5314911618169282,4.016132733426248,3.746515922490908,3.7887386460059993,0.995732016866889,0.9895558831680173,0.9915896632863626,2.6889933263065933,1.0,1.0,2935.707320979572,93.77841919151355,7.735183247259959,2220.8847045710777,977.2,89.37,0.9982615629984051,0.45,709.5668781847794,0.82,0.9189999999999999,0.87,0.96,0.21593045112781956,0.1295582706766917,689.7808554933205,413.8685132959922
target_local_v1_fusion_rule,max_min_rate,max_min_rate,47.98010520002572,0.4798010520002572,proposed_c2f_adaptive_pd,0.969,0.956334233864468,0.9780761352614977,0.010870950698514847,0.05031698365031698,0.05026666666666667,4096.0,6.826666666666667,6.4,15.61,1.0,1.0,847.0,0.5314911618169282,1.4876129754690843,1.1020032337584857,1.1563378820395773,0.9977746589216808,0.99169290207302,0.994282219546985,-1.9077645929471243,1.0,1.0,3128.4383002744817,84.55586506551356,13.141659968451801,1285.6064541537194,847.0,89.18,0.999090909090909,0.49,379.43005571464397,0.87,0.969,0.94,0.99,0.236572265625,0.141943359375,763.7788819029496,458.2673291417697
target_local_v1_fusion_rule,nearest_target,nearest_target,35.32743899995694,0.3532743899995694,proposed_c2f_adaptive_pd,0.982,0.9717265156214581,0.9885843541412616,0.008428919259901746,0.04934804413239719,0.0492,473.6,0.7893333333333334,0.74,12.24,1.0,1.0,865.48,0.5314911618169282,3.953695469135882,3.6555863608660486,3.712334630642141,0.9996359665186019,0.9992722393114711,0.9993449847528971,3.54193705342311,1.0,1.0,14031.768472646438,242.9495041718097,27.45125726811289,7511.665627213504,865.48,61.11,0.9969999999999999,0.81,2310.1863613680944,0.95,0.982,0.95,1.0,2.07347972972973,1.2440878378378377,29627.889511500078,17776.733706900046
