experiment,frac_l,frac_k,eta_c_analytic,eta_c_psf,eta_loc_analytic,eta_loc_psf
waveform_check,-0.3210651863245638,0.13991316571515455,0.6595114748263322,0.6596206522733402,0.8812948916619119,0.8812948916619112
waveform_check,-0.03273159885651489,-0.12949947289195196,0.9427020950190915,0.9430657349975844,0.9782236485801654,0.978223648580164
waveform_check,-0.14508266569034878,0.290518245853265,0.7007899900055016,0.7002208586207873,0.8921195797486053,0.8921195797486068
waveform_check,0.4051438366771739,-0.32264680817695135,0.39549364106987517,0.3954306205203834,0.7873246247286139,0.7873246247286149
waveform_check,0.15278480268513195,-0.20169723264443074,0.8080990940184021,0.8076292125744121,0.9265932429435952,0.9265932429435934
waveform_check,0.46696220016239054,0.4198501605372782,0.24781650842553457,0.24774415803704233,0.7465219499995073,0.7465219499995073
waveform_check,0.13587080414465136,0.2527320970790866,0.7589315391680231,0.7585397219420134,0.9108560267929612,0.9108560267929608
waveform_check,0.01515369632235175,0.32589525837557,0.6954084106812786,0.69531015746352,0.9005088751097313,0.9005088751097309
waveform_check,-0.05161945459989681,-0.16118754668623814,0.9093802350472935,0.9094669087818787,0.9657238564138305,0.9657238564138305
waveform_check,-0.22210078449984094,-0.27366694315659656,0.6585164128166563,0.6582663544635183,0.8721521954473336,0.8721521954473358
waveform_check,0.025816843345248364,-0.06908793931556856,0.9822386715704176,0.9822516433424664,0.9930914197779219,0.9930914197779233
waveform_check,0.1631806204725954,-0.48715951763319343,0.3901816080816237,0.3905811352403145,0.8297391168252617,0.8297391168252619
waveform_check,-0.0522980984612792,-0.13481919886760863,0.9331724556344274,0.9331321733146466,0.9743769923788196,0.9743769923788175
waveform_check,-0.30460240012844597,0.09486587100605282,0.708335631254754,0.7077315813877967,0.8991688171356758,0.8991688171356764
waveform_check,-0.06468684404935543,-0.20000849625485018,0.8631491738395167,0.8630741072513676,0.9491031829009111,0.9491031829009122
waveform_check,-0.29058387876378045,0.3746240571921795,0.4625187352293118,0.46173804744746655,0.807709966955292,0.8077099669552907
waveform_check,0.29746231552143265,0.106709676684979,0.7134235718829597,0.7140201481921296,0.8998402438934016,0.8998402438934008
waveform_check,-0.15489942133270784,0.4468197909796484,0.4557219073228685,0.455475765036507,0.837811947820427,0.8378119478204272
waveform_check,0.06337737450254555,-0.06723726038004796,0.9722648104177168,0.9725265771266985,0.9892732067565478,0.9892732067565494
waveform_check,0.40044959900422206,-0.1806581960981376,0.5131830384519184,0.5137325328454763,0.8408461636283538,0.8408461636283527
waveform_check,0.19599487013378336,-0.18617967273762992,0.7839740661664051,0.7841912810086981,0.9173808917681529,0.9173808917681536
