trial,arm,p_d,p_fa,links,overhead_bits,overhead_delay_s,weak_detected,d_fuse_median,pd_per_mbit,kappa_median_db
0,baseline,0.8,0.05333333333333334,25,8320.0,0.013866666666666671,1,17.075390971182248,96.15384615384617,58.76136607005074
0,robust,0.9,0.07,58,15360.0,0.025600000000000008,1,677.4300158813336,58.59375,58.76136607005074
0,links12,0.9,0.05333333333333334,40,13440.0,0.022400000000000007,1,21.09339275154069,66.96428571428571,58.76136607005074
0,robust_links12,0.9,0.06333333333333334,60,19200.0,0.03200000000000001,1,374.93750081266114,46.87500000000001,58.76136607005074
1,baseline,0.8,0.03,28,12160.0,0.020266666666666672,1,8.750109307454723,65.78947368421052,56.5343747372667
1,robust,1.0,0.05,60,32000.0,0.05333333333333335,1,108.92685051853613,31.25,56.5343747372667
1,links12,0.8,0.04,40,15360.0,0.025600000000000008,1,9.393819402371944,52.083333333333336,56.5343747372667
1,robust_links12,1.0,0.03666666666666667,60,33920.0,0.05653333333333335,1,56.55834217455798,29.4811320754717,56.5343747372667
2,baseline,0.7,0.09333333333333334,10,3840.0,0.006400000000000001,1,11.49120620260035,182.29166666666666,55.14268459109083
2,robust,0.8,0.037037037037037035,51,28800.0,0.048000000000000015,1,69.83725059759854,27.77777777777778,55.14268459109083
2,links12,0.7,0.09333333333333334,10,3840.0,0.006400000000000001,1,11.49120620260035,182.29166666666666,55.14268459109083
2,robust_links12,0.8,0.040740740740740744,60,37760.0,0.06293333333333335,1,68.3008531188466,21.1864406779661,55.14268459109083
3,baseline,0.6,0.05925925925925926,25,7680.0,0.012800000000000004,1,10.131069664581194,78.125,58.618580134129246
3,robust,0.8,0.06666666666666667,50,21760.0,0.036266666666666676,1,73.68097191800476,36.76470588235294,58.618580134129246
3,links12,0.6,0.05925925925925926,35,10880.0,0.018133333333333338,1,10.403186719602685,55.147058823529406,58.618580134129246
3,robust_links12,0.9,0.08888888888888889,60,24960.0,0.04160000000000001,1,42.811129096255556,36.05769230769231,58.618580134129246
4,baseline,0.7,0.056666666666666664,27,14080.0,0.023466666666666674,0,14.864423302393881,49.715909090909086,59.299781165136416
4,robust,0.8,0.03666666666666667,58,30720.0,0.051200000000000016,0,61.341549474758935,26.041666666666668,59.299781165136416
4,links12,0.6,0.05333333333333334,41,22400.0,0.03733333333333334,0,15.242399884759642,26.785714285714285,59.299781165136416
4,robust_links12,0.8,0.04666666666666667,60,35840.0,0.059733333333333354,0,127.31031540378066,22.321428571428573,59.299781165136416
5,baseline,1.0,0.04,37,12800.0,0.02133333333333334,1,43.78247280852634,78.125,63.60976895961926
5,robust,1.0,0.043333333333333335,55,23680.0,0.03946666666666668,1,120.5090663043737,42.22972972972973,63.60976895961926
5,links12,1.0,0.04,52,17920.0,0.029866666666666677,1,45.34235128209721,55.80357142857143,63.60976895961926
5,robust_links12,1.0,0.03,60,25600.0,0.04266666666666668,1,103.72985121619627,39.0625,63.60976895961926
6,baseline,0.8,0.056666666666666664,27,14080.0,0.023466666666666674,1,21.023712807268076,56.81818181818182,61.37232224199291
6,robust,0.8,0.04666666666666667,54,29440.0,0.04906666666666668,1,101.53481642816583,27.17391304347826,61.37232224199291
6,links12,0.8,0.06,45,25600.0,0.04266666666666668,1,21.023712807268076,31.25,61.37232224199291
6,robust_links12,0.8,0.06,60,35200.0,0.058666666666666686,1,99.96285238228943,22.727272727272727,61.37232224199291
7,baseline,0.7,0.037037037037037035,20,7680.0,0.012800000000000004,1,7.842653759953085,91.14583333333333,58.11461480457831
