trial,arm,receiver,weak_target,kappa_db,kappa_pred_db,cal_err_db,eta_protect,eta_survive,noise_enh_db,protect_dim,candidates,i_in,i_res,i_res_structural,i_res_estimate,i_res_pred,i_res_retained,i_res_pred_estimate,stat_h1,stat_h0,echo_to_direct_db,gate
0,no_ic,1,9,0.0,0.0,0.0,0.546005517240261,1.0,-inf,0,0,4.601175956805305e-08,4.601175956805305e-08,4.601175956805305e-08,0.0,4.601175956805305e-08,0.0,0.0,8.939041422735413e-11,8.960663454543365e-11,-14.8662116629265,5.892789952317041e-12
0,fixed_kappa,1,9,40.000000000000014,40.000000000000014,0.0,0.546005517240261,1.0,-inf,0,0,4.601175956805305e-08,4.601175956805286e-12,4.601175956805286e-12,0.0,4.601175956805286e-12,0.0,0.0,1.126381331824138e-11,1.1595645622582613e-11,-14.8662116629265,5.892789952317041e-12
0,plain_ls,1,9,49.50695361748792,49.422917008786996,0.0840366087009177,0.546005517240261,0.39326476121332987,-24.882069927047805,0,0,4.601175956805305e-08,5.15434495036471e-13,7.351147890828219e-35,5.15434495036471e-13,5.25505348869748e-13,0.0,5.25505348869748e-13,5.3458033519414894e-12,5.410927490851175e-12,-14.8662116629265,5.892789952317041e-12
0,ridge_ls,1,9,49.48836195592846,49.422917008786996,0.0654449471414589,0.546005517240261,0.3947520781942039,-24.942439322766255,0,0,4.601175956805305e-08,5.176457421974405e-13,9.326511253549723e-15,5.083192309438908e-13,5.25505348869748e-13,0.0,5.25505348869748e-13,5.297217264230634e-12,5.364182695084447e-12,-14.8662116629265,5.892789952317041e-12
0,protected_ls,1,9,6.54930255028419,7.652323749821499,1.1030211995373091,0.546005517240261,0.6623563682661916,-25.12764837071422,108,0,4.601175956805305e-08,1.0184473599269433e-08,1.0183986502066606e-08,4.870972028272009e-13,7.900170545607034e-09,7.899693874140279e-09,4.766714667552819e-13,8.496838408539399e-11,8.514059223700674e-11,-14.8662116629265,5.892789952317041e-12
0,tp_uic_stage1,1,9,6.549355489422811,7.652323749821499,1.1029682603986886,0.546005517240261,0.664913817963182,-26.58809336383608,108,0,4.601175956805305e-08,1.0184349454479193e-08,1.0184001460975774e-08,3.4799350341893873e-13,7.900170545607034e-09,7.899693874140279e-09,4.766714667552819e-13,8.502306014803451e-11,8.51715864210801e-11,-14.8662116629265,5.892789952317041e-12
0,tp_uic_full,1,9,36.8527961317583,7.652323749821499,29.2004723819368,0.546005517240261,0.795436433523743,-15.595442328446234,108,420,4.601175956805305e-08,9.497061023260728e-12,5.123489432584991e-12,4.373571590675739e-12,7.900170545607034e-09,7.899693874140279e-09,4.766714667552819e-13,1.0545463184411925e-11,1.153061073970205e-11,-14.8662116629265,5.892789952317041e-12
0,perfect_channel,1,9,inf,inf,nan,0.546005517240261,1.0,-inf,0,0,4.601175956805305e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.118893501826288e-11,1.152193512044514e-11,-14.8662116629265,5.892789952317041e-12
1,no_ic,1,4,0.0,0.0,0.0,0.3945613949566049,1.0,-inf,0,0,1.007150447055503e-08,1.007150447055503e-08,1.007150447055503e-08,0.0,1.007150447055503e-08,0.0,0.0,6.5819087915662005e-12,6.226171437657343e-12,-11.330227672607219,6.278559885379103e-13
1,fixed_kappa,1,4,40.000000000000014,40.000000000000014,0.0,0.3945613949566049,1.0,-inf,0,0,1.007150447055503e-08,1.0071504470554996e-12,1.0071504470554996e-12,0.0,1.0071504470554996e-12,0.0,0.0,1.6715458421482208e-12,1.5854103620992968e-12,-11.330227672607219,6.278559885379103e-13
