kappa_db,arm,seed,worst_pd,mean_pd,n_tx,n_links,pfa_active
80.0,uncoordinated,20260917,0.960000,0.977000,15.0000,11.2600,0.048300
80.0,uncoordinated,101,0.955000,0.976500,15.0000,11.2050,0.047683
80.0,uncoordinated,202,0.950000,0.976500,15.0000,11.4450,0.048700
80.0,uncoordinated,303,0.950000,0.971500,15.0000,11.3550,0.049200
80.0,mask_only,20260917,0.960000,0.977000,4.1000,11.2600,0.048300
80.0,mask_only,101,0.955000,0.976500,3.9700,11.2050,0.047700
80.0,mask_only,202,0.950000,0.976500,4.1400,11.4450,0.048700
80.0,mask_only,303,0.950000,0.971500,4.1700,11.3550,0.049183
80.0,sparse,20260917,0.950000,0.973000,2.0650,11.8150,0.048017
80.0,sparse,101,0.970000,0.980000,2.1600,11.6550,0.047317
80.0,sparse,202,0.960000,0.971000,2.1300,11.9700,0.048083
80.0,sparse,303,0.950000,0.970000,2.1150,11.8650,0.048467
