kappa_db,arm,seed,worst_pd,mean_pd,n_tx,n_links,pfa_active
40.0,uncoordinated,20260917,0.800000,0.841500,15.0000,23.8650,0.048167
40.0,uncoordinated,101,0.805000,0.840000,15.0000,23.4900,0.048133
40.0,uncoordinated,202,0.810000,0.843500,15.0000,23.4450,0.049017
40.0,uncoordinated,303,0.780000,0.833000,15.0000,24.2050,0.048683
40.0,mask_only,20260917,0.840000,0.880500,9.8300,23.8650,0.048083
40.0,mask_only,101,0.855000,0.884500,9.7650,23.4900,0.048083
40.0,mask_only,202,0.860000,0.885500,9.9100,23.4450,0.049100
40.0,mask_only,303,0.815000,0.876000,9.9750,24.2050,0.048767
40.0,sparse,20260917,0.915000,0.930000,3.4950,17.3450,0.050367
40.0,sparse,101,0.905000,0.931500,3.2650,16.5450,0.048200
40.0,sparse,202,0.895000,0.938500,3.3700,16.9750,0.048183
40.0,sparse,303,0.915000,0.930500,3.3050,17.0550,0.049150
