kappa_db,arm,seed,worst_pd,mean_pd,n_tx,n_links,pfa_active
60.0,uncoordinated,20260917,0.965000,0.980000,15.0000,11.5500,0.048783
60.0,uncoordinated,101,0.960000,0.978000,15.0000,11.4400,0.047950
60.0,uncoordinated,202,0.965000,0.977000,15.0000,11.8000,0.048367
60.0,uncoordinated,303,0.950000,0.973000,15.0000,11.6750,0.049300
60.0,mask_only,20260917,0.965000,0.981500,4.3150,11.5500,0.048783
60.0,mask_only,101,0.965000,0.980000,4.1350,11.4400,0.047950
60.0,mask_only,202,0.970000,0.979000,4.4350,11.8000,0.048333
60.0,mask_only,303,0.955000,0.977000,4.3850,11.6750,0.049333
60.0,sparse,20260917,0.955000,0.973500,2.1000,11.8950,0.048150
60.0,sparse,101,0.965000,0.975500,2.1150,11.7350,0.048050
60.0,sparse,202,0.960000,0.972500,2.1050,12.0350,0.048200
60.0,sparse,303,0.950000,0.969500,2.1450,11.9850,0.049067
