split,scene_id,boost_db,receiver,target,two_cpi_h1_statistic,two_cpi_h1_raw_statistic,two_cpi_h1_whitened_residual_power,two_cpi_h1_glrt_residual_power,two_cpi_h1_rho_weighted,two_cpi_h1_xi_rel_q,two_cpi_h1_i_res,two_cpi_h1_i_res_structural,two_cpi_h1_i_res_pred,two_cpi_h1_eta_survive_q,two_cpi_h1_eta_survive_risk_q,two_cpi_h1_elapsed_seconds,two_cpi_h1,two_cpi_h0_statistic,two_cpi_h0_raw_statistic,two_cpi_h0_whitened_residual_power,two_cpi_h0_glrt_residual_power,two_cpi_h0_rho_weighted,two_cpi_h0_xi_rel_q,two_cpi_h0_i_res,two_cpi_h0_i_res_structural,two_cpi_h0_i_res_pred,two_cpi_h0_eta_survive_q,two_cpi_h0_eta_survive_risk_q,two_cpi_h0_elapsed_seconds,two_cpi_h0,perfect_two_cpi_h1_statistic,perfect_two_cpi_h1_raw_statistic,perfect_two_cpi_h1_whitened_residual_power,perfect_two_cpi_h1_glrt_residual_power,perfect_two_cpi_h1_rho_weighted,perfect_two_cpi_h1_xi_rel_q,perfect_two_cpi_h1_i_res,perfect_two_cpi_h1_i_res_structural,perfect_two_cpi_h1_i_res_pred,perfect_two_cpi_h1_eta_survive_q,perfect_two_cpi_h1_eta_survive_risk_q,perfect_two_cpi_h1_elapsed_seconds,perfect_two_cpi_h1,perfect_two_cpi_h0_statistic,perfect_two_cpi_h0_raw_statistic,perfect_two_cpi_h0_whitened_residual_power,perfect_two_cpi_h0_glrt_residual_power,perfect_two_cpi_h0_rho_weighted,perfect_two_cpi_h0_xi_rel_q,perfect_two_cpi_h0_i_res,perfect_two_cpi_h0_i_res_structural,perfect_two_cpi_h0_i_res_pred,perfect_two_cpi_h0_eta_survive_q,perfect_two_cpi_h0_eta_survive_risk_q,perfect_two_cpi_h0_elapsed_seconds,perfect_two_cpi_h0,crossfit_map_h1_statistic,crossfit_map_h1_raw_statistic,crossfit_map_h1_whitened_residual_power,crossfit_map_h1_glrt_residual_power,crossfit_map_h1_rho_weighted,crossfit_map_h1_xi_rel_q,crossfit_map_h1_i_res,crossfit_map_h1_i_res_structural,crossfit_map_h1_i_res_pred,crossfit_map_h1_eta_survive_q,crossfit_map_h1_eta_survive_risk_q,crossfit_map_h1_elapsed_seconds,crossfit_map_h1_gn_initial_cost,crossfit_map_h1_gn_final_cost,crossfit_map_h1_gn_nfev,crossfit_map_h1_gn_optimality,crossfit_map_h1_gn_active_bound_count,crossfit_map_h1_oracle_initial_delay_rmse,crossfit_map_h1_oracle_final_delay_rmse,crossfit_map_h1_oracle_initial_doppler_rmse,crossfit_map_h1_oracle_final_doppler_rmse,crossfit_map_h1,crossfit_map_h0_statistic,crossfit_map_h0_raw_statistic,crossfit_map_h0_whitened_residual_power,crossfit_map_h0_glrt_residual_power,crossfit_map_h0_rho_weighted,crossfit_map_h0_xi_rel_q,crossfit_map_h0_i_res,crossfit_map_h0_i_res_structural,crossfit_map_h0_i_res_pred,crossfit_map_h0_eta_survive_q,crossfit_map_h0_eta_survive_risk_q,crossfit_map_h0_elapsed_seconds,crossfit_map_h0_gn_initial_cost,crossfit_map_h0_gn_final_cost,crossfit_map_h0_gn_nfev,crossfit_map_h0_gn_optimality,crossfit_map_h0_gn_active_bound_count,crossfit_map_h0_oracle_initial_delay_rmse,crossfit_map_h0_oracle_final_delay_rmse,crossfit_map_h0_oracle_initial_doppler_rmse,crossfit_map_h0_oracle_final_doppler_rmse,crossfit_map_h0,tested_target_protected,protected_targets,protection_rank,direct_dictionary_condition
train,0,10.0,0,1,14.98114450346808,14.98114450346808,16457.274377949783,6.622005308978735e-10,0.8731559779137417,0.6066615842910437,3.135922405692374e-11,3.0634445508728764e-11,5.748325477638407e-13,0.9995055564544943,0.9869619349047553,6.2894127001054585,14.98114450346808,13.609904663387736,13.609904663387736,16327.890780578586,6.581880357426776e-10,0.8503368347756692,0.5856650741390546,3.1178036456831625e-11,3.0634445508728764e-11,5.748325477638407e-13,0.0,0.9869619349047553,6.335077699972317,13.609904663387736,14.585846773221126,14.585846773221126,16480.02346568501,6.325115275794046e-10,0.8768995011457573,0.6131740086657096,0.0,0.0,0.0,1.0,1.0,4.6961170001886785,14.585846773221126,12.956970470614623,12.956970470614623,16335.431628536837,6.265920800805494e-10,0.8096965394547178,0.5288923212277494,0.0,0.0,0.0,0.0,1.0,4.642875100020319,12.956970470614623,14.950463394236479,14.950463394236479,16443.21685162634,6.315784455818076e-10,0.8729107506785403,0.6052375110558892,6.930855450225872e-13,9.715574067384037e-16,5.748712839714164e-13,0.9995130767467788,0.9867769190942204,7.286029899958521,20243.341759578263,8272.131657944505,4.0,183.8643582224754,0.0,0.1152059079461874,0.007388094281624263,0.10290619701006005,0.006917628353816204,14.950463394236479,13.897136943199884,13.897136943199884,16307.395892402381,6.257273369657582e-10,0.8017327070778844,0.5151735301959048,5.474382639522021e-13,9.299086993142858e-16,5.748696746062757e-13,0.0,0.9867854424137064,7.198904299875721,20179.642237542284,8202.221436291415,4.0,185.02304471292348,0.0,0.1152059079461874,0.008091526652964365,0.10290619701006005,0.007405140034741768,13.897136943199884,1,1,15,25.458175689045124
train,0,10.0,3,2,8.820847755022399,8.820847755022399,16470.396402996725,6.331040333298406e-10,0.5610751697913672,0.3335354165898272,1.7499204977934129e-12,1.3095757933351503e-12,6.911275972005543e-13,1.0727853548970823,0.7224992823982213,6.655649699969217,8.820847755022399,12.157744262101913,12.157744262101913,16479.072584688136,6.337476975942259e-10,0.5516112847600974,0.3818704074954994,2.0642636229847324e-12,1.3095757933351503e-12,6.911275972005543e-13,0.0,0.7224992823982213,6.531263200100511,12.157744262101913,10.684375701163106,10.684375701163106,16488.840743986428,6.326024767297024e-10,0.5960092926806075,0.4000510000036233,0.0,0.0,0.0,1.0,1.0,4.680136099923402,10.684375701163106,16.577181458208223,16.577181458208223,16505.694057981316,6.331594889957469e-10,0.6122980990239487,0.39424812061057435,0.0,0.0,0.0,0.0,1.0,4.652101599844173,16.577181458208223,9.291154636553472,9.291154636553472,16469.02891608043,6.322412367107072e-10,0.5185199393586944,0.3505067753535157,4.2672731842983057e-13,6.726712199388207e-16,7.153982813705327e-13,1.0618809167910896,0.7203112389819151,7.0926681000273675,9280.007972727486,8237.686468007858,4.0,4.37818023125585,0.0,0.08351767418552498,0.00597119735006528,0.06602185612018115,0.006178699180998587,9.291154636553472,13.146261906263621,13.146261906263621,16477.270149897846,6.324044756516082e-10,0.5577199619432102,0.38380925797442533,7.456443418952215e-13,1.1085927767502777e-15,7.127859729323705e-13,0.0,0.721625626430582,7.183161299908534,9287.279210205863,8244.066432718284,4.0,3.944816621987588,0.0,0.08351767418552498,0.007830236235692881,0.06602185612018115,0.009601402387231487,13.146261906263621,0,1,15,82.09913519256936
train,0,10.0,1,1,25.576858595305197,25.576858595305197,16268.363285416923,6.612299448596949e-10,0.8384237732743993,0.14514670589425913,3.906777197068803e-11,3.8275499611969396e-11,1.0869076228235027e-12,0.8865655675507945,0.660116577988679,6.670632899971679,25.576858595305197,16.538575804702603,16.538575804702603,16386.511078306838,6.668461656372186e-10,0.8437012017330603,0.1231901596631737,3.9493194671786714e-11,3.8275499611969396e-11,1.0869076228235027e-12,0.0,0.660116577988679,6.616832500090823,16.538575804702603,14.344328738882451,14.344328738882451,16270.29017615182,6.25214510734037e-10,0.7371745338466034,0.27738533674481836,0.0,0.0,0.0,1.0,1.0,4.849535800050944,14.344328738882451,18.747872274273888,18.747872274273888,16386.597873998344,6.295293467389985e-10,0.6999509036451642,0.09624293503302125,0.0,0.0,0.0,0.0,1.0,4.828044099966064,18.747872274273888,10.238865838002575,10.238865838002575,16238.164015518127,6.250335899463041e-10,0.8834286609610131,0.2645449280438708,7.62183759235015e-13,5.275548544905721e-14,1.0251603346554517e-12,0.924523645582299,0.651106313748063,7.183379800058901,16611.896179394902,8264.375708737105,4.0,219.07592117749522,0.0,0.113762527619831,0.017083575662714793,0.13822346441430314,0.026995431780140487,10.238865838002575,9.424750925535417,9.424750925535417,16355.130608996646,6.300888274012006e-10,0.7445623153170954,0.11790728264753528,1.1842087286510346e-12,5.225230372558422e-14,1.0250657452599701e-12,0.0,0.6519369625432281,7.4033312001265585,16731.12236161594,8322.16903799778,4.0,219.0208777114736,0.0,0.113762527619831,0.016835317745427396,0.13822346441430314,0.026880795183190566,9.424750925535417,1,1,15,14.546796948050842
train,0,30.0,0,1,13.610057893186285,13.610057893186285,16456.457824459216,3.6952046901275577e-09,0.8660359092767276,0.5892571387249855,3.064087429451741e-09,3.063361407902409e-09,5.754877582636089e-13,0.9995065146649171,0.9869584117644783,6.512136899866164,13.610057893186285,13.784149571441944,13.784149571441944,16317.089080261412,3.7073622854037738e-09,0.7887609911092979,0.5019549330207499,3.0639065824033035e-09,3.063361407902409e-09,5.754877582636089e-13,0.0,0.9869584117644783,6.2181164000649005,13.784149571441944,14.585846773221188,14.585846773221188,16480.023465685015,6.325115275794047e-10,0.8768995011457573,0.6131740086657096,0.0,0.0,0.0,1.0,1.0,4.597305899951607,14.585846773221188,12.956970470614586,12.956970470614586,16335.431628536837,6.265920800805494e-10,0.8096965394547178,0.5288923212277494,0.0,0.0,0.0,0.0,1.0,4.689186699921265,12.956970470614586,13.978015640281484,13.978015640281484,16426.70787554379,6.316495731907846e-10,0.8664919111291527,0.5894806813016782,7.86398485872553e-13,9.254736018580329e-14,5.755992455377882e-13,0.9995169736259595,0.9867496132294918,7.1888584000989795,1205053.2678023844,11623.92330080823,4.0,17973.107190749088,0.0,0.1152059079461874,0.0069911942765412665,0.10290619701006005,0.007075661234437808,13.978015640281484,14.156534855751978,14.156534855751978,16289.78857578654,6.258727884562978e-10,0.7892193821085332,0.4999038785170351,6.40131548269258e-13,9.18373615226327e-14,5.755989185985848e-13,0.0,0.9867503927104888,7.240024300059304,1205072.3361504017,11569.399914421168,4.0,17984.27457393765,0.0,0.1152059079461874,0.007073942814901939,0.10290619701006005,0.007132144916855313,14.156534855751978,1,1,15,25.45817568904512
train,0,30.0,3,2,8.559580258114684,8.559580258114684,16459.74284714324,7.590881238995172e-10,0.5427311356878916,0.3609952619389189,1.3155243453742945e-10,1.310955553770728e-10,7.052656837387239e-13,1.079181207308563,0.7238056255102319,6.548388299997896,8.559580258114684,13.75961494502559,13.75961494502559,16464.750588747123,7.641623793213883e-10,0.5067380303695256,0.35820429205847276,1.3187358993740512e-10,1.310955553770728e-10,7.052656837387239e-13,0.0,0.7238056255102319,6.644433799898252,13.75961494502559,10.684375701163184,10.684375701163184,16488.840743986428,6.326024767297025e-10,0.5960092926806075,0.4000510000036233,0.0,0.0,0.0,1.0,1.0,4.85429949988611,10.684375701163184,16.5771814582084,16.5771814582084,16505.694057981316,6.33159488995747e-10,0.6122980990239487,0.39424812061057435,0.0,0.0,0.0,0.0,1.0,4.814525600057095,16.5771814582084,8.152022688902314,8.152022688902314,16453.547720209826,6.322413241290858e-10,0.5959305218984274,0.3751740069505973,4.3785571856058076e-13,1.9464246801652841e-16,7.300839715107312e-13,1.06599345089211,0.7230764238979128,7.202865900006145,112321.04068715835,8246.095231859472,4.0,626.9447783207916,0.0,0.08351767418552498,0.0024665671004650393,0.06602185612018115,0.002648195554855017,8.152022688902314,14.268026298642603,14.268026298642603,16461.90719024762,6.32411386318421e-10,0.51476768085813,0.36700193543982607,7.707620526228851e-13,2.54266701291659e-16,7.299181093970649e-13,0.0,0.7232161133591493,7.113009700085968,112328.06493613955,8252.692401541959,4.0,623.2482102745839,0.0,0.08351767418552498,0.0023421468240708175,0.06602185612018115,0.0024228142319983365,14.268026298642603,0,1,15,82.0991351925692
train,0,30.0,1,1,25.121433440453814,25.121433440453814,16296.131792341535,4.437621444564482e-09,0.8754076832103223,0.12857912134193591,3.833677316100897e-09,3.832881644961107e-09,1.0891726610220922e-12,0.8867164288669149,0.6601851818826108,6.48517130012624,25.121433440453814,14.744435148972144,14.744435148972144,16415.37963480747,4.446072614570534e-09,0.8754076832103223,0.12857912134193591,3.8341060494865025e-09,3.832881644961107e-09,1.0891726610220922e-12,0.0,0.6601851818826108,6.550917499931529,14.744435148972144,14.344328738882414,14.344328738882414,16270.290176151819,6.25214510734037e-10,0.7371745338466034,0.27738533674481836,0.0,0.0,0.0,1.0,1.0,4.7081929999403656,14.344328738882414,18.747872274273703,18.747872274273703,16386.597873998344,6.295293467389984e-10,0.6999509036451642,0.09624293503302125,0.0,0.0,0.0,0.0,1.0,4.728860900038853,18.747872274273703,11.658117435211139,11.658117435211139,16221.815984800869,6.286833601532496e-10,0.9009136053535408,0.46614826570588375,5.403516835376592e-12,4.691738530090704e-12,1.0261653655568306e-12,0.9290388202894859,0.6507441259881495,7.1824642000719905,858603.5139870996,20564.730525640833,4.0,21949.062044837043,0.0,0.113762527619831,0.016632153960631838,0.13822346441430314,0.02645531431373022,11.658117435211139,8.937058439352912,8.937058439352912,16336.879403615058,6.339642130217827e-10,0.7506118169503972,0.053644946376244645,5.831061960950405e-12,4.6889483751463205e-12,1.0261565091259579e-12,0.0,0.650725247154522,7.342657299945131,859265.4281843787,20618.81698233162,4.0,21948.323386631,0.0,0.113762527619831,0.01662081138522818,0.13822346441430314,0.026438043786359437,8.937058439352912,1,1,15,14.546796948050869
train,0,50.0,0,1,14.140693417132784,14.140693417132784,16547.77196830062,3.0697073913344425e-07,0.8975391879358902,0.6026530546782752,3.0633685065491067e-07,3.06336124620871e-07,5.754943295389705e-13,0.9995065243947849,0.9869583771637239,6.668509399984032,14.140693417132784,12.13812353864451,12.13812353864451,16393.49762660491,3.071446046379791e-07,0.7572951982171594,0.4789115899520576,3.063366698112881e-07,3.06336124620871e-07,5.754943295389705e-13,0.0,0.9869583771637239,6.225481699919328,12.13812353864451,14.585846773221203,14.585846773221203,16480.023465685015,6.325115275794049e-10,0.8768995011457573,0.6131740086657096,0.0,0.0,0.0,1.0,1.0,4.614708899985999,14.585846773221203,12.956970470615103,12.956970470615103,16335.431628536835,6.265920800805493e-10,0.8096965394547178,0.5288923212277494,0.0,0.0,0.0,0.0,1.0,4.549295899923891,12.956970470615103,12.960688708881529,12.960688708881529,16416.784861423188,6.406407903880978e-10,0.8506556364368557,0.5643846959096663,9.98199086236767e-12,9.288061285250985e-12,5.756068885166551e-13,0.9995172558452684,0.9867472059679514,6.993624000111595,119650512.99585071,346605.9892228473,4.0,1793094.1940482967,0.0,0.1152059079461874,0.006987806630678017,0.10290619701006005,0.007135270749373942,12.960688708881529,13.529139415336637,13.529139415336637,16281.348072452769,6.356065112240031e-10,0.7973367158477387,0.4746088232731406,9.82917605846429e-12,9.280863159369717e-12,5.756068557345057e-13,0.0,0.9867472831015449,7.193064100109041,119651359.74289924,346704.6944853694,4.0,1793206.129738947,0.0,0.1152059079461874,0.006996198490120955,0.10290619701006005,0.0071409713376544975,13.529139415336637,1,1,15,25.458175689045113
train,0,50.0,3,2,11.832488412899357,11.832488412899357,16472.132080509633,1.3701584807262865e-08,0.4917506602259727,0.31330995261038885,1.3112451451496429e-08,1.3111994371080116e-08,7.054231534522887e-13,1.0792548833672908,0.723825472439205,6.650015500141308,11.832488412899357,13.382861831966448,13.382861831966448,16466.940029089455,1.3751446017054105e-08,0.5000653814839915,0.3371640309087952,1.311277269055769e-08,1.3111994371080116e-08,7.054231534522887e-13,0.0,0.723825472439205,6.652062299894169,13.382861831966448,10.68437570116294,10.68437570116294,16488.84074398643,6.326024767297024e-10,0.5960092926806075,0.4000510000036233,0.0,0.0,0.0,1.0,1.0,4.839151800144464,10.68437570116294,16.577181458207857,16.577181458207857,16505.694057981324,6.331594889957472e-10,0.6122980990239487,0.39424812061057435,0.0,0.0,0.0,0.0,1.0,4.846299800090492,16.577181458207857,9.589805426242568,9.589805426242568,16439.85746109341,6.322312051201683e-10,0.5217970726383834,0.3571114138295556,4.5199553873726524e-13,1.4153342887879492e-14,7.302758306219068e-13,1.0659952021833243,0.7231670366385119,7.270036699948832,10414150.674383223,9141.117612839742,4.0,64121.46500823891,0.0,0.08351767418552498,0.0021720277794107716,0.06602185612018115,0.0025298722311965257,9.589805426242568,13.104356444209976,13.104356444209976,16449.411182862954,6.324355042811379e-10,0.5406610255081812,0.3711194762950941,7.857767934514178e-13,1.4594608111517386e-14,7.30259527059019e-13,0.0,0.7231809907273513,7.234400999965146,10414155.22874723,9148.314260700156,4.0,64086.93219432056,0.0,0.08351767418552498,0.0021551924992831302,0.06602185612018115,0.0025083075388243332,13.104356444209976,0,1,15,82.09913519256911
train,0,50.0,1,1,154.65046608998716,154.65046608998716,16631.530505406023,3.8371663687062305e-07,0.8883432644788635,0.4760398665655564,3.832950545757902e-07,3.8329425887045677e-07,1.0891954038213345e-12,0.8867179652455697,0.6601859274486779,6.540019900072366,154.65046608998716,125.71592357776242,125.71592357776242,16784.971424828866,3.8375353646381544e-07,0.7648012286908215,0.28181760938573386,3.8329548334249584e-07,3.8329425887045677e-07,1.0891954038213345e-12,0.0,0.6601859274486779,6.540020999964327,125.71592357776242,14.344328738882094,14.344328738882094,16270.290176151817,6.25214510734037e-10,0.7371745338466034,0.27738533674481836,0.0,0.0,0.0,1.0,1.0,4.774362900061533,14.344328738882094,18.747872274274528,18.747872274274528,16386.597873998347,6.295293467389986e-10,0.6999509036451642,0.09624293503302125,0.0,0.0,0.0,0.0,1.0,4.841767899924889,18.747872274274528,11.304680256509636,11.304680256509636,16216.764596803969,1.0825733572836408e-09,0.87461884917961,0.4852478842090038,4.693601261674781e-10,4.686482726497155e-10,1.026095132854999e-12,0.9293794646632851,0.6506289149329971,7.100700699957088,85082278.33396558,1249916.622640189,4.0,2195284.134511617,0.0,0.113762527619831,0.016620484641226434,0.13822346441430314,0.02644347711780766,11.304680256509636,9.64804288270626,9.64804288270626,16332.024642552002,1.0901357319411308e-09,0.7216504898897862,0.04623062413381442,4.697643024670424e-10,4.686216564131064e-10,1.0260942623312004e-12,0.0,0.6506270964464003,7.081676700152457,85088367.12831345,1249934.4409724192,4.0,2195276.486074162,0.0,0.113762527619831,0.01661946941109988,0.13822346441430314,0.026441695146020364,9.64804288270626,1,1,15,14.546796948050869
calibration,1,10.0,0,1,27.731298743443663,27.731298743443663,16327.340123062739,6.312319155078337e-10,0.9803977739567977,0.9335545267479818,5.057998868719357e-12,4.599833253999914e-12,5.820697257895643e-13,0.99973634195588,0.9959211901239408,6.441351399989799,27.731298743443663,10.122544438415613,10.122544438415613,16257.801494412544,6.289116329518936e-10,0.981226101043978,0.9346221955500953,5.174224446423982e-12,4.599833253999914e-12,5.820697257895643e-13,0.0,0.9959211901239408,6.227625299943611,10.122544438415613,28.093570232634313,28.093570232634313,16382.991776361863,6.284005252894414e-10,0.9837563209636737,0.9385974708525266,0.0,0.0,0.0,1.0,1.0,4.535112000070512,28.093570232634313,10.501361649565624,10.501361649565624,16319.515740800416,6.259812294612569e-10,0.9790176938984623,0.935283627997414,0.0,0.0,0.0,0.0,1.0,4.699071699986234,10.501361649565624,27.861159690567902,27.861159690567902,16322.042632004204,6.266898717475017e-10,0.9802778571132031,0.9328090569728302,4.438075327713772e-13,6.477839066876597e-17,5.83143586143634e-13,0.9997914241010303,0.9958240567485326,7.349920799955726,13354.4175516541,8177.440836591586,4.0,17.374448578172874,0.0,0.07952591481335627,0.0021180572814910197,0.05667757484716719,0.003731256357908415,27.861159690567902,9.922677178743239,9.922677178743239,16253.273580793142,6.239402001702396e-10,0.9810894252971029,0.9339444448507356,5.645630703863482e-13,8.110770590349131e-17,5.831748981459621e-13,0.0,0.9958342007524552,7.447367699816823,13336.507346953058,8143.964213867495,4.0,18.770675008852052,0.0,0.07952591481335627,0.001530734596903632,0.05667757484716719,0.004855165103527261,9.922677178743239,0,0,15,17.059164276230042
