split,scene_id,boost_db,tp_uic_full_1cpi_h0,tp_uic_full_1cpi_h1,refined_tp_uic_1cpi_h0,refined_tp_uic_1cpi_h1,perfect_channel_1cpi_h0,perfect_channel_1cpi_h1,tp_uic_full_2cpi_h0,tp_uic_full_2cpi_h1,refined_tp_uic_2cpi_h0,refined_tp_uic_2cpi_h1,perfect_channel_2cpi_h0,perfect_channel_2cpi_h1,tp_uic_full_4cpi_h0,tp_uic_full_4cpi_h1,refined_tp_uic_4cpi_h0,refined_tp_uic_4cpi_h1,perfect_channel_4cpi_h0,perfect_channel_4cpi_h1
train,0,50.0,5.854045231873466,11.081165626473275,6.462591104858249,11.26019349238563,6.740129664218955,12.138515470981044,15.243669405297517,25.777110874769914,16.49737637917061,25.12792668516322,17.71857252142775,24.462791680482745,32.37290158223562,34.891140176407745,34.24726449905621,34.73248671558737,35.23181143090117,34.82417284385624
calibration,1,50.0,10.62316152235818,5.67698545995584,10.565698771258061,5.683957228769002,10.345952598386448,5.8244559492741335,14.479170415541647,10.697362994471419,15.592441454205122,10.705237123063966,15.229843167462402,11.154633661034946,31.535174956043218,28.24326721840913,31.765932242419105,27.87681061570457,32.381722371571,28.146393694756675
calibration,2,50.0,15.061046786237352,11.280402952404591,8.639306976088559,7.683849709515598,9.294626540782879,6.545251880835908,23.27580647434631,25.703464656364268,15.140266019453088,20.30172305998061,15.711067497513675,19.419539556534865,47.716614574541865,68.12393164770336,32.15422713563717,41.87640087677253,31.603990582426114,41.013464646814064
test,3,50.0,12.98064957615672,8.368842498666474,7.801784802626127,4.433569389279223,6.88633529563226,7.295405196620186,18.783400961457076,17.23119691963197,12.205136763527172,11.587008350630967,12.565692598154321,13.557203988978427,30.534142872769007,52.509121577317885,24.879339737179812,39.771288953780214,24.38033579020969,35.611366683176094
test,4,50.0,5.375143500954715,12.135706619657187,4.518403500589299,11.933177241918253,3.754288646083102,12.295189856220524,10.488715140047614,23.360235124213567,10.365985199626438,20.252100238137636,9.506038284564356,20.580617039643478,25.10781462853091,46.87147948588855,21.522337815984645,39.85109818689588,18.428243456387886,39.78393796170761
