split,scene_id,max_h0,max_h1,logmeanexp_h0,logmeanexp_h1
train,0,5.868964060642476,11.411944948061352,5.135986352180284,10.335061424962518
train,1,5.06637464492324,7.7019672866851,4.285751911196352,6.2595347259445475
train,2,4.89128604049629,6.440223787494303,4.310287455800785,5.0900958535548915
train,3,9.419722785746695,4.040546319514003,8.464886214809521,2.651650903043789
train,4,5.3406437472937975,5.907457808820141,4.504557199640498,4.847761356411792
train,5,7.058831102546371,9.430958793853106,5.78340945722902,8.700982479207447
train,6,6.215094272704168,6.284165493577583,4.661384696859417,4.899825961563694
train,7,7.908084945343338,4.28579085225938,5.930500453497496,3.4709633797920554
train,8,8.90544456320486,9.095601897104874,7.43880329917574,7.716485321420906
train,9,5.4143204493415125,10.678698325268813,3.772096311188414,9.529143263770315
train,10,6.392766071581484,12.119389084470711,4.875052339479839,10.40897090635707
train,11,9.63907129260999,8.956411024833107,8.272457498001636,7.613880957675245
train,12,9.77126141089747,9.725415012188078,8.975790734779135,8.293851202772728
train,13,8.119053526607596,12.527807827084946,7.558581269907048,11.59172612221188
train,14,11.834538797269026,6.992425845351432,10.142123767584758,5.4125124140119265
train,15,7.9639485553618385,9.122500621478515,6.865689599223169,7.885054197473487
train,16,10.450411535292227,25.088088315768083,9.12980358405447,23.180534945475138
train,17,8.465352195661119,9.177996140448686,7.0802369737006465,7.400805168207748
train,18,13.426175033774006,15.028251618891668,12.073114664070415,13.275614716217511
train,19,8.157388548177533,15.6669468318151,7.313228876935347,14.018455459766784
calibration,20,4.795234171534506,9.922569991301641,4.365916406366293,8.994425520929514
calibration,21,7.148032147765738,7.67003552147054,6.200512376897375,6.571556661346713
calibration,22,8.63098507183622,10.074019275734454,7.387629358564454,8.622404912295956
calibration,23,5.653156092847989,7.42804485708346,4.893376733881199,5.567144219802909
calibration,24,7.368816844951863,10.650199998857504,5.882960231520658,8.998970768514159
calibration,25,6.3268450192930406,9.786069461410532,5.515430674796012,8.112226670188361
calibration,26,10.654313247129414,10.060548586571526,8.709566831608766,9.100575324209457
calibration,27,7.9966746336384995,3.9335501408226374,7.296242747105911,2.958556935225404
calibration,28,6.713744736624936,7.5111062720250334,5.791060300966935,5.973185469290852
calibration,29,6.189435443632186,5.719758447669623,5.165225986995386,5.096802395852805
calibration,30,5.857175532701562,8.706203761254407,5.122643965230888,7.374753460578233
calibration,31,4.529537552269371,20.666679480620076,3.668870187715205,18.669635442886044
calibration,32,13.028006749946417,12.490944369846243,11.605824283931941,10.649043634999778
calibration,33,4.503597574003127,4.224099143875459,3.5102839167817823,3.4117163663973225
calibration,34,2.7912367796397364,11.992405015884717,2.4621479163497795,10.693918782753446
calibration,35,5.67292009273944,19.379493772002416,4.6362830958421775,17.423846320944385
calibration,36,11.719532405839704,13.009789803682883,10.027119282942209,11.605641781184476
calibration,37,7.222959984447703,13.625375184550489,6.479931462569618,12.003553243331528
calibration,38,5.153831221937064,5.1159218015676515,4.017411363112931,3.8183601423868456
calibration,39,5.3954387994244515,6.822727309656137,4.7388296082061565,5.11924217878104
test,40,4.662212176871276,5.523456109994219,3.85606844981033,4.831655546346341
test,41,7.0308764933293535,5.732060652485955,5.478009632155322,4.648953063208005
