lambda_cost,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_worst_target_P_D,actual_mean_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
0.0005,0.6556,0.6462284688036833,0.6648520265132357,0.009311778854776187,0.04487,0.04487,25991.04,40.351611359054175,40.611,1.0,0.36740805495647394,1.2052567531195684,0.24717770849164147,0.7799246335887818,0.5512409348075116,1.0,1.0,8.074019896484437,4.445890481857875,0.21467944100951514,16.831893929107586,0.006,7.398788240631616,0.579,0.639,0.6556000000000001,0.025224077220457507,0.016247182650684783,0.3106462802752193,0.20009163511812947
0.001,0.656,0.6466308846077025,0.6652493034992344,0.009309209445765965,0.04435776911024436,0.044353333333333335,24634.24,37.28349218921717,38.491,0.9999,0.3728338517935031,1.2439081584427376,0.25262864201621754,0.7848588587137506,0.5561926779002291,1.0,1.0,7.909995158682125,4.328623451085434,0.21537797210334847,16.24525706688375,0.006,7.223405501412092,0.581,0.64,0.6559999999999999,0.02662960172507859,0.01759491832660791,0.3210975925655561,0.21215810789767675
0.003,0.6548,0.6454236590978494,0.6640574506390341,0.00931689577059236,0.04449223177968927,0.04448333333333333,22330.24,32.10470234118027,34.891,0.9997999999999999,0.38107112539905713,1.3252312874552328,0.26399756361582843,0.7943786611451109,0.5660970906189495,1.0,1.0,7.702029954356173,4.148682355758343,0.2201132717024998,15.32448240843073,0.006,7.032364111482156,0.585,0.631,0.6547999999999999,0.029323464503740224,0.020395766110564335,0.3449147861534929,0.23990348430911576
0.005,0.6506,0.6411988854938196,0.6598854499478769,0.009343282227028626,0.04426327898369511,0.04425,21129.6,29.212402248125816,33.015,0.9997,0.38695495381822903,1.3814015162172892,0.27389511919499354,0.8012242256112749,0.5740897531024625,1.0,1.0,7.715197577301142,4.098238078259158,0.2219252493807476,15.4832756988601,0.006,7.013766790073157,0.585,0.627,0.6506000000000001,0.03079092836589429,0.022271362501238342,0.36513694425361304,0.2641069197859661
0.01,0.651,0.641601210440646,0.6602828177910686,0.009340803675211284,0.043452857905982904,0.043383333333333336,19161.6,24.826004410445336,29.94,0.9984,0.39805237138168614,1.4838022372410224,0.2937339111697676,0.8125248031572541,0.5884705989365735,1.0,1.0,7.800484459483599,4.005899602341417,0.22194820199597454,15.716965498868053,0.006,7.0647753773067095,0.586,0.631,0.651,0.03397419839679359,0.02622250400173526,0.40708941108694463,0.3142061980864552
0.02,0.6539,0.644518283035176,0.6631635179241676,0.009322617444495807,0.04346283840310544,0.043293333333333336,16898.56,20.197885309309843,26.404,0.9961,0.41225582908603753,1.6129058094593842,0.3283541652908772,0.8265772601225064,0.6097879318241181,1.0,1.0,7.965955253426083,3.984193358461641,0.21477344908050236,16.369635044709266,0.006,7.18770987123096,0.58,0.645,0.6539,0.03869560483260112,0.03237467635775696,0.4713984655157648,0.3943955088087525
0.05,0.6483,0.6388856571642116,0.6576004447348827,0.00935739378533551,0.042935971198815655,0.04253666666666667,13648.0,13.871310676495462,21.325,0.9907,0.44056592851592175,1.8920334179999672,0.40496898929590247,0.8517861310798763,0.6527796810705777,1.0,1.0,8.560529798966096,4.004196440873429,0.18947491403000255,17.997083085974033,0.006,7.625365910173618,0.579,0.63,0.6483,0.047501465416178196,0.04673675149519402,0.6272369430660973,0.6171392162293408
0.1,0.6547,0.6453230599361184,0.6639581266032606,0.009317533333571104,0.04257224257224257,0.04184,11347.2,9.919485939055722,17.73,0.9828000000000001,0.4674270722602719,2.151044678926982,0.4885439728073671,0.8721716025747382,0.6915428938701498,1.0,1.0,9.149611220627023,4.059775470341311,0.16896513703823904,19.208514765411874,0.006,8.059687923045518,0.575,0.636,0.6547000000000001,0.057697053017484484,0.06600140410727007,0.8063320661156076,0.9223876395249987
0.2,0.653,0.643612943813883,0.6622695483679205,0.009328302277018752,0.04174663777387955,0.04045666666666667,9378.56,6.941615610428007,14.654,0.9691000000000002,0.4987719022375204,2.4686476793080736,0.6003327032893123,0.8922638450759648,0.7329467010385672,1.0,1.0,9.740009384718881,4.0524635220425616,0.15321927534574084,20.55350992026997,0.004,8.587659753279821,0.565,0.638,0.6530000000000001,0.06962689368090624,0.09407031974214101,1.0385399661268768,1.4031329205389882
