experiment,trial,greedy_obj,oracle_obj,gap,greedy_links,oracle_links
same_objective_gap,0,-1.5758734294687544,-1.5758734294687544,0.0,6,6
same_objective_gap,1,2.654416313399567,2.654416313399567,0.0,3,3
same_objective_gap,2,-4.660689601496054,-4.660689601496054,0.0,4,4
same_objective_gap,3,-4.6795980341953936,-4.6795980341953936,0.0,0,0
same_objective_gap,4,-1.0620470373342767,-1.0620470373342767,0.0,5,5
same_objective_gap,5,-4.415484529674127,-4.415484529674127,0.0,6,6
same_objective_gap,6,1.603464250336863,1.603464250336863,0.0,5,5
same_objective_gap,7,-4.581835875281003,-4.581835875281003,0.0,2,2
same_objective_gap,8,-1.5135861170614011,-1.5135861170614011,0.0,6,6
same_objective_gap,9,1.8474416756083805,1.847441675608381,2.4038063864929304e-16,5,5
same_objective_gap,10,-2.8592139190189765,-2.8592139190189765,0.0,4,4
same_objective_gap,11,1.824421059172577,1.824421059172577,0.0,4,4
same_objective_gap,12,-2.6938907928198708,-2.6938907928198708,0.0,6,6
same_objective_gap,13,-1.345083196304991,-1.345083196304991,0.0,4,4
same_objective_gap,14,-4.355721197331302,-4.355721197331302,0.0,3,3
same_objective_gap,15,-3.358872324117288,-3.358872324117288,0.0,6,6
same_objective_gap,16,-0.7602592537191296,-0.7602592537191296,0.0,4,4
same_objective_gap,17,-2.2434330261669015,-2.243433026166902,-4.4408920985006256e-07,6,6
same_objective_gap,18,1.5803418846537713,1.5803418846537713,0.0,5,5
same_objective_gap,19,0.7492282303273772,0.7492282303273772,0.0,5,5
