trial,budget,joint_F,nearest_exact_F,nearest_c2f_F,placement_gap,selection_gap,total_gap,joint_feasible_pairs,candidate_pairs_before_caps,c2f_reports,joint_reports,joint_plan,joint_sets,nearest_plan,c2f_sets
83,0,0.5299451180811748,0.5299451180811748,0.5299451180811748,0.0,0.0,0.0,144,1156,0,0,"[1, 1]","[[[0, 1], [2, 1]], [[0, 1], [2, 1]]]","[1, 1]","[[[2, 1], [0, 1]], [[0, 1], [2, 1]]]"
83,1,0.5299451180811748,0.5299451180811748,0.5299451180811748,0.0,0.0,0.0,504,1156,0,0,"[1, 1]","[[[0, 1], [2, 1]], [[0, 1], [2, 1]]]","[1, 1]","[[[2, 1], [0, 1]], [[0, 1], [2, 1]]]"
83,2,0.5299451180811748,0.5299451180811748,0.5299451180811748,0.0,0.0,0.0,800,1156,0,0,"[1, 1]","[[[0, 1], [2, 1]], [[0, 1], [2, 1]]]","[1, 1]","[[[2, 1], [0, 1]], [[0, 1], [2, 1]]]"
83,4,0.5299451180811748,0.5299451180811748,0.5299451180811748,0.0,0.0,0.0,884,1156,0,0,"[1, 1]","[[[0, 1], [2, 1]], [[0, 1], [2, 1]]]","[1, 1]","[[[2, 1], [0, 1]], [[0, 1], [2, 1]]]"
84,0,0.6964709566886522,0.6964709566886522,0.6964709566886522,0.0,0.0,0.0,144,5184,0,0,"[0, 1]","[[[1, 0], [2, 0]], [[0, 1], [2, 1]]]","[0, 1]","[[[1, 0], [2, 0]], [[0, 1], [2, 1]]]"
84,1,0.853913368386004,0.853913368386004,0.8271655834225985,0.0,0.026747784963405463,0.026747784963405463,864,5184,1,1,"[0, 1]","[[[0, 1], [1, 0]], [[0, 1], [2, 1]]]","[0, 1]","[[[1, 0], [2, 0]], [[0, 1], [1, 0]]]"
84,2,1.0768510179436206,1.0768510179436206,1.0768510179436206,0.0,0.0,0.0,2048,5184,2,2,"[0, 0]","[[[0, 1], [1, 0]], [[0, 1], [1, 0]]]","[0, 1]","[[[1, 0], [0, 1]], [[0, 1], [1, 0]]]"
84,4,1.0768510179436206,1.0768510179436206,1.0768510179436206,0.0,0.0,0.0,2888,5184,2,2,"[0, 0]","[[[0, 1], [1, 0]], [[0, 1], [1, 0]]]","[0, 1]","[[[1, 0], [0, 1]], [[0, 1], [1, 0]]]"
85,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,144,5184,0,0,"[1, 0]","[[[2, 1]], [[2, 0]]]","[1, 0]","[[[2, 1]], [[2, 0]]]"
85,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,864,5184,0,0,"[1, 0]","[[[2, 1]], [[2, 0]]]","[1, 0]","[[[2, 1]], [[2, 0]]]"
85,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,2048,5184,0,0,"[1, 0]","[[[2, 1]], [[2, 0]]]","[1, 0]","[[[2, 1]], [[2, 0]]]"
85,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,2888,5184,0,0,"[1, 0]","[[[2, 1]], [[2, 0]]]","[1, 0]","[[[2, 1]], [[2, 0]]]"
86,0,0.41378388580105957,0.41378388580105957,0.41378388580105957,0.0,0.0,0.0,144,5184,0,0,"[2, 1]","[[[0, 2], [1, 2]], [[0, 1], [2, 1]]]","[2, 1]","[[[1, 2], [0, 2]], [[2, 1], [0, 1]]]"
86,1,0.6417409743839664,0.641601865658041,0.6158032778327149,0.00013910872592537427,0.02579858782532607,0.025937696551251443,864,5184,1,1,"[1, 1]","[[[2, 1]], [[0, 1], [1, 2], [2, 1]]]","[2, 1]","[[[1, 2]], [[2, 1], [0, 1], [1, 0]]]"
86,2,0.6417409743839664,0.641601865658041,0.6416018656580409,0.00013910872592537427,1.1102230246251565e-16,0.0001391087259254853,2048,5184,1,1,"[1, 1]","[[[2, 1]], [[0, 1], [1, 2], [2, 1]]]","[2, 1]","[[[1, 2]], [[2, 1], [1, 2], [0, 1]]]"
86,4,0.6417409743839664,0.641601865658041,0.6416018656580409,0.00013910872592537427,1.1102230246251565e-16,0.0001391087259254853,2888,5184,1,1,"[1, 1]","[[[2, 1]], [[0, 1], [1, 2], [2, 1]]]","[2, 1]","[[[1, 2]], [[2, 1], [1, 2], [0, 1]]]"
87,0,-0.45248045356566413,-0.45248045356566413,-0.45248045356566413,0.0,0.0,0.0,144,15876,0,0,"[0, 0]","[[[1, 0], [2, 0]], [[1, 0], [2, 0]]]","[0, 0]","[[[1, 0], [2, 0]], [[2, 0], [1, 0]]]"
87,1,-0.40318867650257695,-0.40318867650257695,-0.40318867650257695,0.0,0.0,0.0,1224,15876,1,1,"[0, 0]","[[[1, 0], [2, 0]], [[0, 2], [2, 0]]]","[0, 0]","[[[1, 0], [2, 0]], [[2, 0], [0, 2]]]"
87,2,-0.40318867650257695,-0.40318867650257695,-0.40318867650257695,0.0,0.0,0.0,3888,15876,1,1,"[0, 0]","[[[1, 0], [2, 0]], [[0, 2], [2, 0]]]","[0, 0]","[[[1, 0], [2, 0]], [[2, 0], [0, 2]]]"
87,4,-0.40318867650257695,-0.40318867650257695,-0.40318867650257695,0.0,0.0,0.0,6876,15876,1,1,"[0, 0]","[[[1, 0], [2, 0]], [[0, 2], [2, 0]]]","[0, 0]","[[[1, 0], [2, 0]], [[2, 0], [0, 2]]]"
88,0,0.04685467153730183,0.04685467153730183,0.04685467153730183,0.0,0.0,0.0,144,1156,0,0,"[2, 0]","[[[0, 2], [1, 2]], [[1, 0], [2, 0]]]","[2, 0]","[[[1, 2], [0, 2]], [[1, 0], [2, 0]]]"
88,1,0.04685467153730183,0.04685467153730183,0.04685467153730183,0.0,0.0,0.0,504,1156,0,0,"[2, 0]","[[[0, 2], [1, 2]], [[1, 0], [2, 0]]]","[2, 0]","[[[1, 2], [0, 2]], [[1, 0], [2, 0]]]"
88,2,0.04685467153730183,0.04685467153730183,0.04685467153730183,0.0,0.0,0.0,800,1156,0,0,"[2, 0]","[[[0, 2], [1, 2]], [[1, 0], [2, 0]]]","[2, 0]","[[[1, 2], [0, 2]], [[1, 0], [2, 0]]]"
88,4,0.04685467153730183,0.04685467153730183,0.04685467153730183,0.0,0.0,0.0,884,1156,0,0,"[2, 0]","[[[0, 2], [1, 2]], [[1, 0], [2, 0]]]","[2, 0]","[[[1, 2], [0, 2]], [[1, 0], [2, 0]]]"
89,0,0.3286724414358642,0.3209145619747511,0.3209145619747511,0.007757879461113115,0.0,0.007757879461113115,144,1156,0,0,"[1, 0]","[[[0, 1], [2, 1]], [[1, 0], [2, 0]]]","[2, 0]","[[[1, 2], [0, 2]], [[1, 0], [2, 0]]]"
