experiment,method,belief_sigma_pos_m,belief_sigma_vel_mps,P_D,P_D_ci95_low,P_D_ci95_high,D_mean,belief_capture_rate_mean,selected_links_mean,T_mean_ms
belief_mismatch,proposed_lagrangian,0.0,0.0,0.9481,0.94357758173567,0.9522782662817557,25.10187907102537,1.0,14.899,6.940672989058459
belief_mismatch,all_neighbor,0.0,0.0,0.9757,0.9724943932867947,0.9785402572418582,41.57199497503818,1.0,446.84,688.4524788409291
belief_mismatch,proposed_lagrangian,50.0,5.0,0.3784,0.3689426401300504,0.3879507517045424,9.07488798831062,0.37188213212141186,14.921,6.9643525434616915
belief_mismatch,all_neighbor,50.0,5.0,0.7964,0.788394446199732,0.8041779112034481,15.947279104531638,0.3678977331896471,446.832,688.4471697734574
belief_mismatch,proposed_lagrangian,150.0,15.0,0.0762,0.07116096679551817,0.08156452218063673,1.706023985969758,0.07172159770302255,15.216,7.297881997470684
belief_mismatch,all_neighbor,150.0,15.0,0.3461,0.33683648207583244,0.35548171696482406,3.2480690384293616,0.07198110187566993,446.776,688.3934573911525
belief_mismatch,proposed_lagrangian,300.0,25.0,0.0249,0.02202350577814466,0.0281413828782291,0.4114422011087456,0.022264712701862664,16.205,8.3278244905601
belief_mismatch,all_neighbor,300.0,25.0,0.1556,0.14862786312190407,0.16283664467278147,0.9475638412012367,0.02301308087869201,446.63,688.2246521989779
