scene_id,nominal_10_h0,perfect_10_h0,nominal_30_h0,perfect_30_h0,nominal_50_h0,perfect_50_h0
81,9.626247608458451,9.65864862034522,9.69929631470313,9.658648620345225,9.796005271098743,9.658648620345252
82,7.037088849967597,7.631290901897109,7.517235604628547,7.631290901896955,6.778098630219679,7.631290901899132
83,4.935949863499652,4.902293817576901,5.437327749476976,4.902293817576877,5.462082411115294,4.902293817576782
84,5.0292925251891045,7.587111534180869,4.907740533971893,7.587111534180902,4.863363889333044,7.587111534180274
85,7.193840586891518,6.370267450117153,6.852724361278842,6.370267450117042,6.078261403889049,6.370267450115895
86,5.578386863498229,4.949152936448533,5.4283033992877865,4.94915293644866,5.440019196332131,4.949152936447778
87,6.930710270857924,7.294329397355595,7.118900654936155,7.294329397355586,7.078698292300296,7.294329397355606
88,9.336339238310325,9.525663426820323,9.453875277069027,9.52566342682033,9.616087688611415,9.525663426820257
89,13.72361118152674,13.469564792574282,13.886380083785452,13.46956479257428,13.756291273965193,13.469564792574282
90,8.83310121874908,8.53975727903385,9.763528910807208,8.539757279033868,9.813116444329742,8.539757279033774
91,4.341658267359078,4.793223211912264,4.993518373574465,4.793223211912267,5.011335878223324,4.793223211912319
92,3.7856871971611032,4.414727759487228,3.857368261980769,4.41472775948727,3.9052263253075226,4.414727759487179
93,6.371137650179038,6.075768941074609,6.405011863015124,6.07576894107468,6.387543197485458,6.075768941074117
94,5.65675530701798,5.173636471039368,5.007987349163094,5.173636471039304,5.882312626668302,5.173636471039897
95,6.410810551241944,6.251537434766233,5.825191229550276,6.251537434766266,6.106958362317231,6.251537434765974
96,7.40282199167417,6.8572955250497145,6.465270419010543,6.857295525049766,6.523643201297763,6.857295525049072
97,12.99832951437297,15.265999100915929,11.802273810951766,15.265999100915957,11.815229207718305,15.265999100915854
98,7.036482304564648,7.188040270034511,7.066613556123648,7.188040270034501,7.071660715924833,7.188040270034492
99,4.635356661748509,4.320550845219701,5.302197735467107,4.3205508452197705,5.9478625255674755,4.320550845218891
100,5.172687989583169,6.206007941783626,3.164800540656232,6.2060079417835885,2.92853073782935,6.206007941786284
101,11.868799522828557,9.759389641565226,10.259637369850239,9.759389641565228,6.809382368526572,9.75938964156524
102,7.09186515982885,6.776050802839057,7.093007015466522,6.776050802839094,6.869452560726047,6.776050802838998
103,9.513019410192241,9.536575385060006,9.556713498049199,9.536575385059999,9.654518311265809,9.536575385060047
104,4.595241078036886,5.687997610322607,4.4898343308918855,5.687997610322618,4.756596859734029,5.687997610322775
105,6.291096539558865,8.057761633233257,5.7888463389257385,8.05776163323335,6.203563386636021,8.057761633232406
106,8.620151166515997,8.178994646677396,9.215448728685118,8.178994646677367,9.804799993436609,8.17899464667746
107,5.831997030124319,5.9888464737476514,6.304730846395604,5.988846473747633,7.443354501862347,5.988846473747741
108,8.649894593726259,8.163912768490013,8.614890361475274,8.16391276849,8.92604256022173,8.16391276849039
109,6.653845261051476,6.6191263918043415,6.617172647999173,6.619126391804347,6.620843499306681,6.61912639180438
110,2.575141770558799,2.804893473945648,2.6059605945881397,2.804893473945648,2.6198622272002368,2.804893473945606
111,5.760074910070972,5.71732320242298,5.279082481423247,5.717323202423,5.1003551134005205,5.717323202422879
112,6.659150741204245,6.809685510096552,6.467115464094898,6.809685510096559,6.480083429890555,6.80968551009661
113,8.137780484626488,8.060746098178575,7.655564800256932,8.060746098178635,7.685817059344911,8.06074609817883
114,3.7085275547078798,3.594621068026433,3.970535735593494,3.5946210680264277,3.8351790097562977,3.594621068026207
115,5.931565739299226,5.949055131426475,5.7263737649294555,5.9490551314264595,5.607657017237012,5.94905513142642
116,10.217158003405235,8.910494222810659,11.106059289176251,8.910494222810675,11.458162037236308,8.910494222810648
117,10.481765138547972,10.20442341386592,10.569024723689296,10.204423413865879,10.580706469501933,10.204423413866753
118,11.077865567209216,10.85403401655423,11.345740812969558,10.854034016554216,11.099204741141135,10.854034016554234
119,3.9939254117382816,3.8422124501410497,3.875912922521138,3.842212450141049,3.9049983153698475,3.842212450140919
120,5.128887522757396,5.190915008803911,5.311487283316067,5.190915008803884,5.453451747000184,5.190915008804033
