direct_gain_boost_db,receiver,target,arm,threshold,empirical_pfa,pfa_ci95_low,pfa_ci95_high,empirical_pd,pd_ci95_low,pd_ci95_high,auc,n_cal_h0,n_test_h0,n_test_h1,median_conflict_index,median_direct_inr_db,median_kappa_accounted_db,median_kappa_structural_db,median_eta_survive_q,median_eta_survive_risk_q,median_identifiable_fraction,median_protect_dim
30.0,0,0,tp_uic_full,1922.3837663357408,0.0,0.0,0.1936076805344365,0.0,0.0,0.1936076805344365,0.79296875,8,16,16,0.009707303581887435,28.34116709801158,12.753377586343753,12.753436181147919,0.9999542790662403,0.9998250337191192,0.9553124737941613,45.0
30.0,1,0,tp_uic_full,150.12702693049727,0.0625,0.01111934476464252,0.28328737570298945,0.0625,0.01111934476464252,0.28328737570298945,0.73828125,8,16,16,0.0017227731430981513,28.240464031348722,13.258112472784092,13.258216592572575,1.0000078034769047,0.9998137568530199,0.9866225817703137,45.0
30.0,2,0,tp_uic_full,431.1487316569056,0.125,0.03497748774324047,0.36022827265758695,0.1875,0.06591599071428142,0.4300888096197414,0.59375,8,16,16,0.003182989188728853,31.10963036344638,12.537757426142594,12.537772018669887,1.0000005508217602,0.9998217750728267,0.9386573164062229,45.0
30.0,3,0,tp_uic_full,1286.496899659335,0.0,0.0,0.1936076805344365,0.0,0.0,0.1936076805344365,0.79296875,8,16,16,0.002752646615985097,30.083593539667312,13.260698244473577,13.260715850563312,1.0000002451470005,0.9998237860384254,0.9945676627412716,45.0
30.0,4,0,tp_uic_full,2084.935772370794,0.0625,0.01111934476464252,0.28328737570298945,0.0625,0.01111934476464252,0.28328737570298945,0.64453125,8,16,16,0.007598362284342106,28.630374296604757,11.743829740240141,11.743860833492146,0.9999780135544896,0.9994886791611493,0.976836283913705,45.0
30.0,5,0,tp_uic_full,41.29407242333808,0.375,0.18481232558863633,0.6135895945449727,0.625,0.38641040545502714,0.8151876744113636,0.76171875,8,16,16,0.01354983223275731,29.404120132278415,12.240177373706302,12.24021672201773,1.0000143348525357,0.9995547840474486,0.9841048787694963,45.0
