seed,arm,worst_pd,mean_pd,pfa_active,n_tx,n_links,per_target
20260917,uncoordinated,0.9,0.922,0.05053333333333333,15.0,19.2,0.9000;0.9400;0.9000;0.9200;0.9400;0.9400;0.9200;0.9200;0.9400;0.9000
20260917,mask_only,0.92,0.958,0.050666666666666665,8.36,19.2,0.9600;0.9600;0.9800;0.9600;0.9600;0.9800;0.9600;0.9400;0.9600;0.9200
20260917,sparse,0.94,0.9760000000000002,0.050133333333333335,2.14,11.66,1.0000;0.9800;1.0000;0.9600;0.9400;0.9800;0.9800;0.9600;1.0000;0.9600
101,uncoordinated,0.9,0.9359999999999999,0.0502,15.0,17.64,0.9200;0.9600;0.9200;1.0000;0.9800;0.9200;0.9000;0.9200;0.9200;0.9200
101,mask_only,0.92,0.9640000000000001,0.0502,7.86,17.64,0.9400;0.9800;0.9800;1.0000;1.0000;0.9600;0.9200;0.9400;0.9600;0.9600
101,sparse,0.92,0.9760000000000002,0.04733333333333333,2.14,11.46,1.0000;1.0000;0.9600;0.9800;1.0000;0.9800;0.9200;0.9600;1.0000;0.9600
202,uncoordinated,0.86,0.9200000000000002,0.04853333333333333,15.0,19.24,0.8600;0.9400;0.9400;0.9000;0.9400;0.9200;1.0000;0.9200;0.8800;0.9000
202,mask_only,0.88,0.942,0.04853333333333333,8.44,19.24,0.8800;0.9600;0.9400;0.9000;0.9600;0.9400;1.0000;0.9600;0.9000;0.9800
202,sparse,0.92,0.9739999999999999,0.05026666666666667,2.44,13.18,0.9600;0.9800;0.9800;0.9800;1.0000;0.9200;0.9800;0.9800;0.9600;1.0000
303,uncoordinated,0.88,0.9339999999999998,0.04853333333333333,15.0,17.7,0.9200;0.9000;0.9200;0.9400;0.9600;0.9800;0.9600;0.8800;0.9400;0.9400
303,mask_only,0.94,0.974,0.049,7.82,17.7,0.9800;0.9800;0.9800;0.9600;0.9600;0.9800;0.9800;1.0000;0.9800;0.9400
303,sparse,0.96,0.992,0.0534,1.82,11.24,1.0000;1.0000;1.0000;1.0000;1.0000;0.9800;1.0000;0.9600;1.0000;0.9800
