trial,budget,joint_F,nearest_exact_F,nearest_c2f_F,placement_gap,selection_gap,total_gap,joint_feasible_pairs,candidate_pairs_before_caps,joint_mean_predicted_pd,c2f_mean_predicted_pd,c2f_reports,joint_reports,joint_plan,joint_sets,nearest_plan,c2f_sets,M,polished_F,polished_gap,accepted
98,4,1.586720610094772,1.586720610094772,1.586720610094772,0.0,0.0,0.0,884,1156,0.8696794203366343,0.8696794203366343,1,1,"[0, 2]","[[[1, 0]], [[0, 2], [1, 2], [2, 1]]]","[0, 2]","[[[1, 0]], [[2, 1], [1, 2], [0, 2]]]",3,1.586720610094772,0.0,0
99,0,-0.8252762063516252,-0.8252762063516252,-0.8252762063516252,0.0,0.0,0.0,144,15876,0.06703456052890167,0.06703456052890167,0,0,"[1, 2]","[[[0, 1], [2, 1]], [[0, 2], [1, 2]]]","[1, 2]","[[[2, 1], [0, 1]], [[1, 2], [0, 2]]]",3,-0.8252762063516252,0.0,0
99,1,-0.8244127743344232,-0.8244127743344232,-0.8252762063516252,0.0,0.0008634320172020704,0.0008634320172020704,1224,15876,0.06862803509026859,0.06703456052890167,0,1,"[1, 2]","[[[1, 2], [2, 1]], [[0, 2], [1, 2]]]","[1, 2]","[[[2, 1], [0, 1]], [[1, 2], [0, 2]]]",3,-0.8244127743344232,0.0,1
99,2,-0.8244127743344232,-0.8244127743344232,-0.8252762063516252,0.0,0.0008634320172020704,0.0008634320172020704,3888,15876,0.06862803509026859,0.06703456052890167,0,1,"[1, 2]","[[[1, 2], [2, 1]], [[0, 2], [1, 2]]]","[1, 2]","[[[2, 1], [0, 1]], [[1, 2], [0, 2]]]",3,-0.8244127743344232,0.0,1
99,4,-0.8244127743344232,-0.8244127743344232,-0.8252762063516252,0.0,0.0008634320172020704,0.0008634320172020704,6876,15876,0.06862803509026859,0.06703456052890167,0,1,"[1, 2]","[[[1, 2], [2, 1]], [[0, 2], [1, 2]]]","[1, 2]","[[[2, 1], [0, 1]], [[1, 2], [0, 2]]]",3,-0.8244127743344232,0.0,1
0,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,49284,0.9743068265770531,0.9855058713829181,0,0,"[3, 0]","[[[0, 3], [1, 3]], [[2, 0]]]","[3, 2]","[[[2, 3], [0, 3]], [[0, 2]]]",4,1.7613705638880106,0.0,0
0,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,4848,49284,0.9743068265770531,0.9855058713829181,0,0,"[3, 0]","[[[0, 3], [1, 3]], [[2, 0]]]","[3, 2]","[[[2, 3], [0, 3]], [[0, 2]]]",4,1.7613705638880106,0.0,0
0,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,11208,49284,0.9743068265770531,0.9855058713829181,0,0,"[3, 0]","[[[0, 3], [1, 3]], [[2, 0]]]","[3, 2]","[[[2, 3], [0, 3]], [[0, 2]]]",4,1.7613705638880106,0.0,0
0,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,16409,49284,0.9743068265770531,0.9855058713829181,0,0,"[3, 0]","[[[0, 3], [1, 3]], [[2, 0]]]","[3, 2]","[[[2, 3], [0, 3]], [[0, 2]]]",4,1.7613705638880106,0.0,0
1,0,-0.16011444584129275,-0.16011444584129275,-0.16011444584129275,0.0,0.0,0.0,912,361201,0.4875558320157029,0.4875558320157029,0,0,"[3, 2]","[[[0, 3], [1, 3]], [[0, 2], [3, 2]]]","[3, 2]","[[[0, 3], [1, 3]], [[3, 2], [0, 2]]]",4,-0.16011444584129275,0.0,0
