scene,receiver,target,plain_predicted_risk,plain_truth_survival,plain_ls_ncp,plain_ls_stat_h0,plain_ls_stat_h1,plain_ls_truth_survival,plain_ls_kappa_db,targeted_tpuic_full_ncp,targeted_tpuic_full_stat_h0,targeted_tpuic_full_stat_h1,targeted_tpuic_full_truth_survival,targeted_tpuic_full_kappa_db,tp_uic_full_ncp,tp_uic_full_stat_h0,tp_uic_full_stat_h1,tp_uic_full_truth_survival,tp_uic_full_kappa_db,delta_ncp_targeted_plain
0,0,0,0.9989998312863044,0.9999423115095258,0.5867808460400827,10.589648472885704,7.393738779386638,0.9999423115095258,30.865609850061972,0.586792656034806,10.589483940185993,7.393909646783219,0.9999881258708512,30.865613543047992,0.586792656034806,10.589483940185993,7.393909646783219,0.9999881258708512,30.865613543047992,1.1809994723277484e-05
0,0,1,0.4008402559213968,0.4553338727112896,0.436836167028587,4.21141003569474,5.943309727295235,0.4553338727112896,30.865609850061972,0.44035652698337163,4.276974253815209,5.981267665417837,0.5635127906810717,30.76429311255164,0.4368370909858349,4.211225078250098,5.943485360110068,0.45533389092259674,30.865613543047992,0.003520359954784613
0,0,2,0.5347091867410275,0.5613363735354409,2.284987941445631,10.835936711310874,5.602530539412858,0.5613363735354409,30.865609850061972,2.30194485779851,10.913129567265091,5.634266823296263,0.5982301823404391,29.44634155045064,2.2849884843575103,10.835903089447424,5.602855835451332,0.5613363762647828,30.865613543047992,0.016956916352879325
0,1,0,0.9996556981002541,0.9999218798952919,0.30113704393677765,5.430007596529855,7.792731234904944,0.9999218798952919,30.04447759328581,0.30113854096120585,5.429669205939293,7.792739749673032,0.9999341046747169,30.044479768605633,0.30113854096120585,5.429669205939293,7.792739749673032,0.9999341046747169,30.044479768605633,1.4970244281986567e-06
0,1,1,0.9959134984298244,0.9978664027265925,2.109360462931276,5.014556483428403,5.427634405536713,0.9978664027265925,30.04447759328581,2.1103101620881826,5.023665883185508,5.433795450564624,0.9994374337974087,30.04447728855833,2.1093598228101866,5.014577026595596,5.427655940698813,0.9978667466529392,30.044479768605633,0.0009496991569064583
0,1,2,0.9659215263013168,0.9724459121708561,6.15233233003028,5.2483833016031385,18.902447551780988,0.9724459121708561,30.04447759328581,6.160233125976325,5.250622886202413,18.96070069953749,0.9828480593984009,30.044180172417754,6.152332368574822,5.248414983767135,18.902439556535654,0.972445912474194,30.044479768605633,0.007900795946045314
0,2,0,0.9810238232234906,0.9898611422688789,0.41646980388957217,6.661684095110441,6.086392240333275,0.9898611422688789,36.316203814238925,0.4170359540185653,6.659442405102582,6.096536173096165,0.992889962795874,36.315705380618255,0.4170359540185653,6.659442405102582,6.096536173096165,0.992889962795874,36.315705380618255,0.000566150128993137
0,2,1,0.637192463939708,0.6934271862280151,0.44678247058720105,8.151337439783406,10.543383789326477,0.6934271862280151,36.316203814238925,0.4523962621061186,8.269396180189494,10.578553076649587,0.7877047363652049,36.282305696789365,0.4467842546073519,8.151127708152563,10.543766943987407,0.6934358420069231,36.315705380618255,0.005613791518917555
0,2,2,0.8157424597256161,0.8201010802560991,2.256907516697281,7.933005156749186,14.875140373652684,0.8201010802560991,36.316203814238925,2.2635030580451296,7.95476695653953,14.96820660777418,0.8507980692725893,36.090769774122876,2.2569081311820365,7.933096638151902,14.875012696758375,0.8201015939150273,36.315705380618255,0.006595541347848677
0,3,0,0.9950035864383402,0.9976343224346891,0.3802320063209806,4.593905934454007,7.985035116477743,0.9976343224346891,25.220090243754022,0.38032898385715896,4.5844769463895965,7.981290071487837,0.9983009131943279,25.22007390640407,0.38032898385715896,4.5844769463895965,7.981290071487837,0.9983009131943279,25.22007390640407,9.697753617837757e-05
0,3,1,0.45902799571883696,0.48209220316765633,0.7516095249790173,9.557093754963395,5.145603368973474,0.48209220316765633,25.220090243754022,0.7559647278115292,9.59403955858115,5.222700646601053,0.6322913423681061,25.128741948947905,0.7516176217554859,9.558226844617346,5.145836714948034,0.4820946539065326,25.22007390640407,0.004355202832511895
0,3,2,0.5756264605749982,0.7704358158540019,11.060941684591576,8.015398357788122,20.75972699093756,0.7704358158540019,25.220090243754022,11.430283010212133,8.248442097488379,21.170930292749095,0.8955788503800739,24.29004201484188,11.06093335865909,8.015260066759701,20.760211548268288,0.7704368103021185,25.22007390640407,0.36934132562055666
0,4,0,0.9988746053420234,0.9995160439065909,0.4483295192774263,5.029097236850728,6.130171392014992,0.9995160439065909,20.75747516056883,0.44836097190693974,5.0271605890751,6.130656921100874,0.9996607974230759,20.757475822924356,0.44836097190693974,5.0271605890751,6.130656921100874,0.9996607974230759,20.757475822924356,3.1452629513428754e-05
0,4,1,0.8845973806134695,0.994325715591491,4.84359926051312,7.469314377351242,16.455640490195776,0.994325715591491,20.75747516056883,4.867710104705685,7.5261033411768885,16.550069473903992,1.0040089420641058,20.75747026895804,4.843595153694711,7.469416027922069,16.455940223170522,0.994326812477966,20.757475822924356,0.02411084419256504
0,4,2,0.5591713288954839,0.891132027071797,8.716366267654532,7.901537898795011,26.91738924359016,0.891132027071797,20.75747516056883,8.80327814493108,7.871707746568568,27.21136508884595,0.9909331440660225,20.192052434461218,8.716365736459654,7.901521157982342,26.91755667536262,0.8911320384017318,20.757475822924356,0.08691187727654714
0,5,0,0.9978490721158827,0.9986935670551685,0.2527662847015353,8.395459012186365,4.685990576101844,0.9986935670551685,29.354778017597646,0.2527895291911785,8.394952707794102,4.687168915269411,0.9988786091559098,29.35477017452829,0.2527895291911785,8.394952707794102,4.687168915269411,0.9988786091559098,29.35477017452829,2.32444896431927e-05
0,5,1,0.7851613000832516,0.8077953575783174,1.9296834151827105,3.654386589000952,13.162509630504125,0.8077953575783174,29.354778017597646,1.9573407602542343,3.7956513012383133,13.343331492751151,0.9001842289082957,29.227165506558098,1.9296810062458731,3.653496986042469,13.162791212352293,0.8077967044911561,29.35477017452829,0.027657345071523842
0,5,2,0.6591366863671247,0.8864466625893042,8.198939878648744,8.361255996992703,14.354403399532316,0.8864466625893042,29.354778017597646,8.344846782925632,8.495340457044637,14.690881581878726,0.9754206661841103,29.324676571180376,8.198907280684042,8.36001142152408,14.355140528680684,0.8864466735174947,29.35477017452829,0.14590690427688813
1,0,0,0.7399441436864339,0.9337642581464716,1.7154667859571326,5.695541187291,9.308044432615748,0.9337642581464716,24.981947539675872,1.735195443933499,5.701089521155399,9.37715488312364,0.9538031802421735,24.973559912469362,1.7154282615289467,5.694289917461827,9.308036363467734,0.9337645733542836,24.98174292460677,0.01972865797636625
1,0,1,0.7854056649637875,0.9736920999809491,1.3009609407620828,10.774637580984608,10.981574036409834,0.9736920999809491,24.981947539675872,1.3046469115553418,10.816168497148876,11.006831284288479,0.9876853056500777,24.981220163754642,1.3009956694938962,10.774812671237843,10.98413682307936,0.9736933588020844,24.98174292460677,0.0036859707932590524
1,0,2,0.992404197590125,0.9984656755929252,0.2115390840575601,8.741075089991785,11.364003194147822,0.9984656755929252,24.981947539675872,0.21162805352431194,8.74500900693912,11.366799805791807,0.9993914870125647,24.98174292460677,0.21162805352431194,8.74500900693912,11.366799805791807,0.9993914870125647,24.98174292460677,8.896946675182593e-05
1,1,0,0.9432333063706285,0.9794651904260783,0.4734741882500504,11.244641274172537,7.324392419391279,0.9794651904260783,31.53632031178298,0.47427972852891165,11.298228007749131,7.343647328855624,0.9856565536469096,31.536078665826714,0.4734746535604895,11.244658128034299,7.3242626638950155,0.9794652039946532,31.536321741804127,0.0008055402788612609
1,1,1,0.5250051354965335,0.5275431581176,0.275959784522949,6.034399728236396,9.597558191458242,0.5275431581176,31.53632031178298,0.27705374730297594,6.048139942648258,9.686902365147272,0.5641564793282932,31.52897411075475,0.27595961528119894,6.034343690630224,9.597516251759128,0.527543160019556,31.536321741804127,0.0010939627800269358
1,1,2,0.999402088955344,0.9999328353376493,0.07779453526016224,6.15699444142651,4.892631750674736,0.9999328353376493,31.53632031178298,0.07779478827285978,6.1570139245514435,4.892614631853311,0.9999392096696657,31.536321741804127,0.07779478827285978,6.1570139245514435,4.892614631853311,0.9999392096696657,31.536321741804127,2.5301269754307576e-07
1,2,0,0.9423580815088151,0.9801337430242193,1.6087103418519575,4.420829443114345,5.052449707260729,0.9801337430242193,32.19238549557927,1.615950300396522,4.450725319217655,5.059036549665814,0.9910482878578248,32.192368688426505,1.608711108699377,4.420871435002698,5.05239699249267,0.980133911708494,32.19237654574175,0.007239958544564606
1,2,1,0.841640076559422,0.9721722417648313,0.9670525359545392,5.669294759437944,3.9644907939671414,0.9721722417648313,32.19238549557927,0.9741148810415761,5.7104534666266415,3.9818337272857973,0.9982045683843438,32.19235479674283,0.9670515415740715,5.669036193505829,3.964469422927846,0.9721723709409731,32.19237654574175,0.007062345087036848
1,2,2,0.9953242969828883,0.9970085302778334,0.14173638081258697,8.110016904889946,3.851254662924831,0.9970085302778334,32.19238549557927,0.14176035219516595,8.109444375113258,3.851422175138599,0.9972864895153789,32.19237654574175,0.14176035219516595,8.109444375113258,3.851422175138599,0.9972864895153789,32.19237654574175,2.3971382578980016e-05
1,3,0,0.8684117039414923,0.9496096424912609,0.9912256547240219,7.395739126593193,11.110347941243882,0.9496096424912609,25.037299991439724,0.9992113561299582,7.401925176624094,11.125319865055287,0.9741604318403861,25.035776027775984,0.9912266883699815,7.395686720035019,11.110296456118277,0.9496098311982701,25.037298262803432,0.00798570140593624
1,3,1,0.8180703732821827,0.8801341644868336,0.6516423621359566,4.447562543401308,7.126249381378936,0.8801341644868336,25.037299991439724,0.661560457225895,4.521235035764679,7.502806315043252,0.9146985088881968,25.035075966624255,0.6516425067162113,4.447656151084527,7.126375753015867,0.8801357859118716,25.037298262803432,0.00991809508993835
1,3,2,0.9930741080881084,0.9962932874477193,0.13765460184062675,8.330892170790692,5.429468749505186,0.9962932874477193,25.037299991439724,0.13770023742307852,8.331750461797,5.43060269639964,0.9964377276511205,25.037298262803432,0.13770023742307852,8.331750461797,5.43060269639964,0.9964377276511205,25.037298262803432,4.5635582451769574e-05
