trial,arm,p_d,p_fa,n_selected
0,baseline,0.6666666666666666,0.05555555555555555,9
0,stop_off,0.6666666666666666,0.05555555555555555,9
0,links12,0.6666666666666666,0.05555555555555555,15
0,links12_stop_off,0.6666666666666666,0.05555555555555555,15
0,score_exact,0.6666666666666666,0.05555555555555555,9
0,corr_on,0.6666666666666666,0.06666666666666667,9
0,llr_erasure,0.6666666666666666,0.05555555555555555,9
0,llr_gauss_exact,0.6666666666666666,0.05555555555555555,9
0,pd_robust,0.6666666666666666,0.05555555555555555,9
1,baseline,0.3333333333333333,0.03333333333333333,13
1,stop_off,0.3333333333333333,0.03333333333333333,13
1,links12,0.3333333333333333,0.03333333333333333,22
1,links12_stop_off,0.3333333333333333,0.03333333333333333,22
1,score_exact,0.3333333333333333,0.03333333333333333,13
1,corr_on,0.6666666666666666,0.05555555555555555,9
1,llr_erasure,0.3333333333333333,0.03333333333333333,13
1,llr_gauss_exact,0.3333333333333333,0.03333333333333333,13
1,pd_robust,0.3333333333333333,0.03333333333333333,13
2,baseline,0.3333333333333333,0.044444444444444446,18
2,stop_off,0.3333333333333333,0.044444444444444446,18
2,links12,0.0,0.044444444444444446,26
2,links12_stop_off,0.0,0.044444444444444446,26
2,score_exact,0.3333333333333333,0.044444444444444446,18
2,corr_on,0.3333333333333333,0.05555555555555555,10
2,llr_erasure,0.3333333333333333,0.044444444444444446,18
2,llr_gauss_exact,0.3333333333333333,0.044444444444444446,18
2,pd_robust,0.3333333333333333,0.044444444444444446,18
3,baseline,0.3333333333333333,0.011111111111111112,13
3,stop_off,0.3333333333333333,0.011111111111111112,13
3,links12,0.3333333333333333,0.011111111111111112,19
3,links12_stop_off,0.3333333333333333,0.011111111111111112,19
3,score_exact,0.3333333333333333,0.011111111111111112,13
3,corr_on,1.0,0.03333333333333333,11
3,llr_erasure,0.3333333333333333,0.011111111111111112,13
3,llr_gauss_exact,0.3333333333333333,0.011111111111111112,13
3,pd_robust,0.3333333333333333,0.011111111111111112,13
4,baseline,0.6666666666666666,0.03333333333333333,13
4,stop_off,0.6666666666666666,0.03333333333333333,13
4,links12,0.6666666666666666,0.05555555555555555,20
4,links12_stop_off,0.6666666666666666,0.05555555555555555,20
4,score_exact,0.6666666666666666,0.03333333333333333,13
4,corr_on,0.6666666666666666,0.03333333333333333,10
4,llr_erasure,0.6666666666666666,0.05555555555555555,13
4,llr_gauss_exact,0.6666666666666666,0.03333333333333333,13
4,pd_robust,0.6666666666666666,0.03333333333333333,13
5,baseline,0.3333333333333333,0.044444444444444446,16
5,stop_off,0.3333333333333333,0.044444444444444446,16
5,links12,0.3333333333333333,0.05555555555555555,17
5,links12_stop_off,0.3333333333333333,0.05555555555555555,17
5,score_exact,0.3333333333333333,0.044444444444444446,16
5,corr_on,0.0,0.03333333333333333,11
5,llr_erasure,0.3333333333333333,0.044444444444444446,16
5,llr_gauss_exact,0.3333333333333333,0.044444444444444446,16
5,pd_robust,0.3333333333333333,0.044444444444444446,16
6,baseline,0.6666666666666666,0.03333333333333333,8
6,stop_off,0.6666666666666666,0.03333333333333333,8
6,links12,0.6666666666666666,0.022222222222222223,10
6,links12_stop_off,0.6666666666666666,0.022222222222222223,10
6,score_exact,0.6666666666666666,0.03333333333333333,8
6,corr_on,0.6666666666666666,0.022222222222222223,4
6,llr_erasure,0.6666666666666666,0.03333333333333333,8
6,llr_gauss_exact,0.6666666666666666,0.03333333333333333,8
6,pd_robust,0.6666666666666666,0.03333333333333333,8
7,baseline,0.6666666666666666,0.07777777777777778,13
7,stop_off,0.6666666666666666,0.07777777777777778,13
7,links12,0.6666666666666666,0.06666666666666667,17
7,links12_stop_off,0.6666666666666666,0.06666666666666667,17
7,score_exact,0.6666666666666666,0.07777777777777778,13
7,corr_on,0.6666666666666666,0.022222222222222223,11
7,llr_erasure,0.6666666666666666,0.07777777777777778,13
7,llr_gauss_exact,0.6666666666666666,0.06666666666666667,13
7,pd_robust,0.6666666666666666,0.07777777777777778,13
8,baseline,0.6666666666666666,0.044444444444444446,13
8,stop_off,0.6666666666666666,0.044444444444444446,13
8,links12,0.6666666666666666,0.03333333333333333,21
8,links12_stop_off,0.6666666666666666,0.03333333333333333,21
8,score_exact,0.6666666666666666,0.044444444444444446,13
8,corr_on,0.6666666666666666,0.05555555555555555,12
8,llr_erasure,0.6666666666666666,0.044444444444444446,13
8,llr_gauss_exact,0.6666666666666666,0.044444444444444446,13
8,pd_robust,0.6666666666666666,0.044444444444444446,13
9,baseline,0.6666666666666666,0.06666666666666667,10
9,stop_off,0.6666666666666666,0.06666666666666667,10
9,links12,0.6666666666666666,0.07777777777777778,14
9,links12_stop_off,0.6666666666666666,0.07777777777777778,14
9,score_exact,0.6666666666666666,0.06666666666666667,10
9,corr_on,0.3333333333333333,0.06666666666666667,7
9,llr_erasure,0.6666666666666666,0.05555555555555555,10
9,llr_gauss_exact,0.6666666666666666,0.05555555555555555,10
9,pd_robust,0.6666666666666666,0.06666666666666667,10
10,baseline,0.3333333333333333,0.03333333333333333,15
10,stop_off,0.3333333333333333,0.03333333333333333,15
10,links12,0.3333333333333333,0.03333333333333333,17
10,links12_stop_off,0.3333333333333333,0.03333333333333333,17
10,score_exact,0.3333333333333333,0.03333333333333333,15
10,corr_on,0.3333333333333333,0.03333333333333333,13
10,llr_erasure,0.3333333333333333,0.03333333333333333,15
10,llr_gauss_exact,0.3333333333333333,0.03333333333333333,15
10,pd_robust,0.3333333333333333,0.03333333333333333,15
11,baseline,0.0,0.044444444444444446,11
11,stop_off,0.0,0.044444444444444446,11
11,links12,0.0,0.044444444444444446,11
11,links12_stop_off,0.0,0.044444444444444446,11
11,score_exact,0.0,0.044444444444444446,11
11,corr_on,0.3333333333333333,0.05555555555555555,6
11,llr_erasure,0.0,0.05555555555555555,12
11,llr_gauss_exact,0.0,0.044444444444444446,11
11,pd_robust,0.0,0.044444444444444446,11
12,baseline,1.0,0.03333333333333333,3
12,stop_off,1.0,0.03333333333333333,3
12,links12,1.0,0.03333333333333333,3
12,links12_stop_off,1.0,0.03333333333333333,3
12,score_exact,1.0,0.03333333333333333,3
12,corr_on,1.0,0.03333333333333333,3
12,llr_erasure,1.0,0.03333333333333333,3
12,llr_gauss_exact,1.0,0.03333333333333333,3
12,pd_robust,1.0,0.03333333333333333,3
13,baseline,0.0,0.03333333333333333,15
13,stop_off,0.0,0.03333333333333333,15
13,links12,0.0,0.044444444444444446,23
13,links12_stop_off,0.0,0.044444444444444446,23
13,score_exact,0.0,0.03333333333333333,15
13,corr_on,0.6666666666666666,0.07777777777777778,13
13,llr_erasure,0.0,0.03333333333333333,15
13,llr_gauss_exact,0.0,0.03333333333333333,15
13,pd_robust,0.0,0.03333333333333333,15
14,baseline,0.6666666666666666,0.03333333333333333,14
14,stop_off,0.6666666666666666,0.03333333333333333,14
14,links12,0.6666666666666666,0.06666666666666667,24
14,links12_stop_off,0.6666666666666666,0.06666666666666667,24
14,score_exact,0.6666666666666666,0.03333333333333333,14
14,corr_on,0.3333333333333333,0.08888888888888889,11
14,llr_erasure,0.6666666666666666,0.011111111111111112,14
14,llr_gauss_exact,0.6666666666666666,0.03333333333333333,14
14,pd_robust,0.6666666666666666,0.03333333333333333,14
15,baseline,0.6666666666666666,0.011111111111111112,10
15,stop_off,0.6666666666666666,0.011111111111111112,10
15,links12,0.6666666666666666,0.011111111111111112,10
15,links12_stop_off,0.6666666666666666,0.011111111111111112,10
15,score_exact,0.6666666666666666,0.011111111111111112,10
15,corr_on,0.3333333333333333,0.022222222222222223,5
15,llr_erasure,0.6666666666666666,0.011111111111111112,10
15,llr_gauss_exact,0.6666666666666666,0.011111111111111112,10
15,pd_robust,0.6666666666666666,0.011111111111111112,10
16,baseline,0.3333333333333333,0.044444444444444446,13
16,stop_off,0.3333333333333333,0.044444444444444446,13
16,links12,0.3333333333333333,0.044444444444444446,18
16,links12_stop_off,0.3333333333333333,0.044444444444444446,18
16,score_exact,0.3333333333333333,0.044444444444444446,13
16,corr_on,0.3333333333333333,0.05555555555555555,11
16,llr_erasure,0.3333333333333333,0.044444444444444446,13
16,llr_gauss_exact,0.3333333333333333,0.044444444444444446,13
16,pd_robust,0.3333333333333333,0.044444444444444446,13
17,baseline,0.6666666666666666,0.022222222222222223,13
17,stop_off,0.6666666666666666,0.022222222222222223,13
17,links12,0.6666666666666666,0.022222222222222223,18
17,links12_stop_off,0.6666666666666666,0.022222222222222223,18
17,score_exact,0.6666666666666666,0.022222222222222223,13
17,corr_on,0.3333333333333333,0.03333333333333333,8
17,llr_erasure,0.6666666666666666,0.022222222222222223,13
17,llr_gauss_exact,0.6666666666666666,0.022222222222222223,13
17,pd_robust,0.6666666666666666,0.022222222222222223,13
18,baseline,0.6666666666666666,0.06666666666666667,15
18,stop_off,0.6666666666666666,0.06666666666666667,15
18,links12,1.0,0.06666666666666667,27
18,links12_stop_off,1.0,0.06666666666666667,27
18,score_exact,0.6666666666666666,0.06666666666666667,15
18,corr_on,0.3333333333333333,0.05555555555555555,13
18,llr_erasure,0.6666666666666666,0.06666666666666667,15
18,llr_gauss_exact,0.6666666666666666,0.06666666666666667,15
18,pd_robust,0.6666666666666666,0.06666666666666667,15
19,baseline,0.6666666666666666,0.1,14
