split,scene_id,boost_db,perfect_one_h1,perfect_two_h1,perfect_one_h0,perfect_two_h0,nominal_one_h1,nominal_two_h1,nominal_one_h0,nominal_two_h0
train,0,10.0,10.37909456895308,22.585925918142877,7.750963206911877,17.15689498801186,10.257011090915922,22.718248760650916,7.709413561242754,16.63957355514959
train,0,30.0,10.379094568953073,22.585925918142884,7.75096320691187,17.156894988011857,10.232851637918449,23.040334022047226,7.663934410439633,16.876511991455505
train,0,50.0,10.379094568953112,22.58592591814306,7.750963206912045,17.15689498801207,10.202097634621554,22.987162343458614,7.395186504112784,16.73539022782586
calibration,1,10.0,8.664445630061302,17.985142353147857,4.497623908604086,11.621930252965242,8.246011521238426,18.10992012590735,4.260483766295356,11.519426905815747
calibration,1,30.0,8.6644456300613,17.98514235314787,4.497623908604091,11.621930252965232,8.278522052634049,17.90946086369604,4.345493201361318,11.384306396928807
calibration,1,50.0,8.6644456300609,17.985142353147346,4.497623908604165,11.621930252965289,8.778974764350952,18.100169385189936,4.393888503186229,11.139266793196981
calibration,2,10.0,11.20733705265036,27.17263426318459,8.483810959235177,17.210974294966082,10.910434956567983,27.021951914728348,8.741046362985495,17.283430042357523
calibration,2,30.0,11.20733705265033,27.172634263184513,8.483810959235202,17.210974294966075,10.828162865242058,26.92464347089804,8.393524878310112,17.200943076869287
calibration,2,50.0,11.20733705265125,27.172634263185056,8.483810959233695,17.21097429496507,10.8545672600643,27.15997764932677,8.238519166303801,17.18574943644069
test,3,10.0,7.964338899433569,16.55396256482965,3.2783397200818363,9.428977028659574,7.7859169929896765,16.439407638725186,3.3174283389966557,9.503065131147203
test,3,30.0,7.964338899433536,16.55396256482961,3.2783397200818145,9.428977028659553,7.870755998125984,16.580814293453173,3.33501594253964,9.494701098455575
test,3,50.0,7.964338899433652,16.5539625648296,3.2783397200820095,9.428977028659812,7.951719617399835,16.65222097053352,3.3456291118089547,9.505132019882353
test,4,10.0,28.1727905830869,54.26063875743238,3.5616169577949695,8.58981216316405,27.303833918348566,43.039937480323346,3.9674402481099658,9.253132325980658
test,4,30.0,28.172790583086854,54.2606387574325,3.561616957794995,8.589812163164037,28.221062723598003,43.60907795570251,4.735178266613642,11.190035153901203
test,4,50.0,28.172790583088698,54.2606387574364,3.561616957794936,8.589812163164167,30.231096212566104,47.06023209083726,5.663197956524075,13.245657617400019
test,5,10.0,7.702051872291546,15.228877120199826,7.40032869141158,14.332338735546733,7.633771848490451,15.315892796813843,7.656689268806142,14.493534559868927
test,5,30.0,7.702051872291578,15.228877120199876,7.400328691411586,14.332338735546728,7.708230683838911,15.337614729338071,7.706362418022047,14.653599277083543
test,5,50.0,7.7020518722920706,15.228877120200494,7.400328691411563,14.332338735546994,7.656343228354802,15.304689436855387,7.799254747309753,14.587387364048062
test,6,10.0,30.798826175600354,72.2481675125994,8.347623501693512,13.625493902916777,32.70886971393007,68.11046805690293,6.624869202672423,11.039566577188562
test,6,30.0,30.798826175600524,72.24816751259962,8.347623501693572,13.625493902916975,28.576534855438464,62.25771160883622,6.045908329598641,12.768383590293553
test,6,50.0,30.798826175599366,72.24816751259553,8.347623501692919,13.625493902915537,30.957809685870618,65.58493092804613,6.3226293790660915,13.90637256853578
test,7,10.0,42.79081907799426,75.49502801434288,5.195691185974886,11.064714576646276,40.94699071993255,71.91948317237957,4.948212462838722,10.006463922321956
test,7,30.0,42.79081907799413,75.49502801434278,5.195691185974869,11.064714576646324,40.495613380167946,69.99019162399453,5.269274130018831,10.14574769639454
test,7,50.0,42.79081907799361,75.49502801434252,5.195691185975002,11.064714576645823,40.072370695161126,69.20389202899372,5.553942378445487,10.584530771656821
test,8,10.0,8.886709097202516,21.02389417014754,6.84591531602172,17.154501345239073,6.974100646317345,17.71090960284522,4.89364436854723,16.5207103713971
test,8,30.0,8.886709097202603,21.02389417014774,6.8459153160219355,17.154501345239453,6.193696806196229,16.179126432856993,4.453381694137121,16.87476328719117
test,8,50.0,8.886709097202866,21.023894170147692,6.845915316021212,17.15450134523847,6.165213424045039,15.994031475662815,5.035242189713339,17.604425150170137
test,9,10.0,11.710107169261422,26.13256980086472,7.614587462334056,15.11871573290361,11.56395595038026,26.713635203045037,7.6151250278889195,15.236192263834347
test,9,30.0,11.710107169261423,26.13256980086472,7.61458746233406,15.11871573290362,12.006628184185498,26.79120179616871,7.573788881471633,15.902798423064638
test,9,50.0,11.710107169261631,26.132569800865213,7.614587462333873,15.118715732903464,11.731855685499745,26.714237738221943,7.396576640727491,16.217133132807504
test,10,10.0,11.545001317411467,21.218949808624238,8.223477744917778,22.019002469130243,11.79602780744185,21.11138925369754,8.400800675943023,22.47115816472754
test,10,30.0,11.545001317411476,21.218949808624245,8.223477744917778,22.019002469130243,11.555642212965896,21.128633090906842,8.307755256361624,22.546781935327346
test,10,50.0,11.545001317411577,21.218949808624576,8.223477744917595,22.019002469129603,11.375996932611171,21.015591165581213,8.405186715655395,22.48825327941752
