area_side_m,rcs_m2,report_budget,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms
600,0.05,0,v1,0.461,0.047766666666666666,0.0,48.65,10.0,0.982391955339509,0.0,0.0
600,0.05,0,joint,0.463,0.04716666666666667,0.0,45.82,10.0,0.9814829645976895,0.0,0.0
600,0.05,0,balanced,0.494,0.05083333333333333,0.0,60.0,10.0,0.9833333333333333,0.0,0.0
600,0.05,0,robust,0.508,0.04956666666666667,0.0,60.0,10.0,0.9831666666666666,0.0,0.0
600,0.05,2,v1,0.458,0.04769999999999999,2.0,46.84,9.98,0.9808117211286534,1280.0,2.133333333333333
600,0.05,2,joint,0.469,0.0475,1.98,45.71,10.0,0.9804366218957551,1267.2,2.111999999999999
600,0.05,2,balanced,0.499,0.05043333333333334,2.0,60.0,10.0,0.9824999999999998,1280.0,2.133333333333333
600,0.05,2,robust,0.48900000000000005,0.048499999999999995,2.0,56.36,9.89,0.9816209595959596,1280.0,2.133333333333333
600,0.05,8,v1,0.475,0.048566666666666654,7.66,44.67,10.0,0.9798031669455693,4902.4,8.170666666666666
600,0.05,8,joint,0.48700000000000004,0.04743333333333332,7.25,44.4,10.0,0.9795072402978264,4640.0,7.733333333333333
600,0.05,8,balanced,0.5219999999999999,0.05163333333333333,8.0,60.0,10.0,0.9818333333333332,5120.0,8.533333333333331
600,0.05,8,robust,0.457,0.05006666666666667,7.46,46.84,10.0,0.9819154263293279,4774.4,7.957333333333333
600,0.1,0,v1,0.5650000000000001,0.0483,0.0,42.32,10.0,0.9808124669775787,0.0,0.0
600,0.1,0,joint,0.5730000000000001,0.048100000000000004,0.0,40.18,10.0,0.9795393720303991,0.0,0.0
600,0.1,0,balanced,0.632,0.05083333333333333,0.0,60.0,10.0,0.9833333333333333,0.0,0.0
600,0.1,0,robust,0.642,0.04956666666666667,0.0,60.0,10.0,0.9831666666666666,0.0,0.0
600,0.1,2,v1,0.5680000000000001,0.048,2.0,41.01,9.99,0.9795578105438293,1280.0,2.133333333333333
600,0.1,2,joint,0.581,0.04793333333333332,1.98,39.92,10.0,0.9794023675528923,1267.2,2.111999999999999
600,0.1,2,balanced,0.636,0.05043333333333334,2.0,60.0,10.0,0.9824999999999998,1280.0,2.133333333333333
600,0.1,2,robust,0.6419999999999999,0.04813333333333334,2.0,58.54,9.93,0.9818086353733411,1280.0,2.133333333333333
600,0.1,8,v1,0.5800000000000001,0.04843333333333333,7.26,40.24,10.0,0.9793288515547897,4646.4,7.743999999999999
600,0.1,8,joint,0.5890000000000001,0.04833333333333333,6.72,40.01,10.0,0.9786859895199953,4300.8,7.167999999999999
600,0.1,8,balanced,0.6509999999999999,0.05163333333333333,8.0,60.0,10.0,0.9818333333333332,5120.0,8.533333333333331
600,0.1,8,robust,0.614,0.0495,7.9,52.73,10.0,0.9810424155308055,5056.0,8.426666666666666
600,0.2,0,v1,0.68,0.048333333333333346,0.0,35.55,10.0,0.9825691257569636,0.0,0.0
600,0.2,0,joint,0.6929999999999998,0.04850000000000001,0.0,33.6,10.0,0.9815275753994308,0.0,0.0
600,0.2,0,balanced,0.7570000000000001,0.05083333333333333,0.0,60.0,10.0,0.9833333333333333,0.0,0.0
600,0.2,0,robust,0.7680000000000001,0.04953333333333333,0.0,59.97,10.0,0.9831609195402298,0.0,0.0
600,0.2,2,v1,0.6879999999999998,0.04813333333333333,1.98,34.68,10.0,0.9818739060753863,1267.2,2.111999999999999
600,0.2,2,joint,0.7019999999999998,0.047499999999999994,1.9,33.6,10.0,0.9810381116320045,1216.0,2.0266666666666664
600,0.2,2,balanced,0.758,0.05043333333333334,2.0,60.0,10.0,0.9824999999999998,1280.0,2.133333333333333
600,0.2,2,robust,0.7670000000000001,0.049733333333333345,2.0,59.5,9.98,0.9820188142770719,1280.0,2.133333333333333
600,0.2,8,v1,0.7020000000000001,0.048866666666666676,6.75,34.36,10.0,0.9816490220330659,4320.0,7.2
600,0.2,8,joint,0.71,0.04826666666666666,6.11,33.91,10.0,0.9811696153500352,3910.4,6.517333333333335
600,0.2,8,balanced,0.784,0.05163333333333333,8.0,60.0,10.0,0.9818333333333332,5120.0,8.533333333333331
600,0.2,8,robust,0.7710000000000002,0.049633333333333335,7.95,56.38,10.0,0.9811669495708969,5088.0,8.479999999999997
