trial,arm,p_d,p_fa,links,overhead_bits,overhead_delay_s,weak_detected,d_fuse_median,pd_per_mbit
0,baseline,0.5,0.05,48,12160.0,0.020266666666666672,0,4.133172854843097,41.118421052631575
0,robust,0.5,0.05333333333333334,60,5760.0,0.009600000000000003,0,5.407572874091852,86.80555555555556
0,links12,0.6,0.06,60,14720.0,0.02453333333333334,0,3.7605781116947776,40.76086956521739
0,robust_links12,0.5,0.06,60,5760.0,0.009600000000000003,0,12.674368122933519,86.80555555555556
1,baseline,0.4,0.04666666666666667,59,26240.0,0.043733333333333346,0,1.6860609401002913,15.243902439024392
1,robust,0.3,0.04,60,8960.0,0.014933333333333338,0,1.0811611321672399,33.48214285714286
1,links12,0.5,0.04,60,29440.0,0.04906666666666668,0,1.8631467369469603,16.983695652173914
1,robust_links12,0.4,0.03666666666666667,60,9600.0,0.016000000000000004,0,1.0791276692038763,41.66666666666667
