experiment,variant,use_otfs_bin_validity,enable_dd_fractional_penalty,enable_dd_collision_penalty,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
dd_ablation,full_dd,True,True,True,proposed_lagrangian,0.6506,0.6411988854938196,0.6598854499478769,0.009343282227028626,0.04426327898369511,0.04425,21129.6,29.212402248125816,33.015,0.9997,1.0,430.98,0.38695495381822903,1.3814015162172892,0.27389511919499354,0.35759392699494835,0.8012242256112749,0.5740897531024625,0.63574175357225,-3.7103975347386298,1.0,1.0,7.715197577301142,4.098238078259158,0.2219252493807476,15.4832756988601,0.006,7.013766790073157,0.585,0.6506000000000001,0.627,0.665,0.03079092836589429,0.022271362501238342,0.36513694425361304,0.2641069197859661
dd_ablation,full_dd,True,True,True,sense_sinr,0.6408,0.6313441687739332,0.6501476933123278,0.009401762269197311,0.044883465039511856,0.04487,21129.6,42.38811452820277,33.015,0.9997,1.0,430.98,0.39278045833762393,0.9896716042789317,0.2400033802105294,0.2841760683682679,0.7491861196226296,0.5449902610121581,0.5861338801112047,-5.448923310996639,1.0,1.0,6.063312971797966,3.124652477952525,0.21275314344345858,11.374300178683422,0.001,5.416350217143094,0.494,0.6408,0.624,0.656,0.03032712403452976,0.015117445235117646,0.2869582468100658,0.1430427618516451
dd_ablation,full_dd,True,True,True,single_best,0.6318,0.6222976725920618,0.641201101718799,0.009451714563368574,0.040633333333333334,0.040633333333333334,6400.0,4.735619035800678,10.0,1.0,1.0,430.98,0.5775280316930966,2.4540601275838667,0.6818993344927433,0.8951302891626998,0.8969813716582478,0.7603098554587866,0.8061885273859375,0.22573301346658456,1.0,1.0,9.896180825046933,3.230415814984229,0.13622134876596906,22.455086554096876,0.001,8.56493382707213,0.497,0.6317999999999999,0.616,0.649,0.09871875,0.13341444808454236,1.5462782539135833,2.089733306297036
dd_ablation,full_dd,True,True,True,all_neighbor,0.6646,0.6552846024404319,0.6737889806518874,0.009252189105727782,0.04794,0.04794,275827.2,665.6111917078593,430.98,1.0,1.0,430.98,0.32313412146855786,0.8075716541980015,0.20802849636792461,0.23576396076439754,0.7116439779700551,0.5100413355987397,0.5419290811045542,-6.471923752532332,1.0,1.0,11.381933369185257,4.641962043740417,0.21530652630796085,28.671379782752343,0.006,10.025321481839708,0.568,0.6646,0.635,0.685,0.002409479558216158,0.0009984808072333268,0.04126472432445116,0.01709997294363532
dd_ablation,w/o_dd_validity,False,True,True,proposed_lagrangian,0.6506,0.6411988854938196,0.6598854499478769,0.009343282227028626,0.04426327898369511,0.04425,21129.6,29.212402248125816,33.015,0.9997,1.0,431.01,0.38695495381822903,1.3814015162172892,0.27389511919499354,0.35759392699494835,0.8012242256112749,0.5740897531024625,0.63574175357225,-3.7103975347386298,1.0,1.0,7.715197577301142,4.098238078259158,0.2219252493807476,15.4832756988601,0.006,7.013766790073157,0.585,0.6506000000000001,0.627,0.665,0.03079092836589429,0.022271362501238342,0.36513694425361304,0.2641069197859661
dd_ablation,w/o_dd_validity,False,True,True,sense_sinr,0.6408,0.6313441687739332,0.6501476933123278,0.009401762269197311,0.044883465039511856,0.04487,21129.6,42.38811452820277,33.015,0.9997,1.0,431.01,0.39278045833762393,0.9896716042789317,0.2400033802105294,0.2841760683682679,0.7491861196226296,0.5449902610121581,0.5861338801112047,-5.448923310996639,1.0,1.0,6.063312971797966,3.124652477952525,0.21275314344345858,11.374300178683422,0.001,5.416350217143094,0.494,0.6408,0.624,0.656,0.03032712403452976,0.015117445235117646,0.2869582468100658,0.1430427618516451
dd_ablation,w/o_dd_validity,False,True,True,single_best,0.6318,0.6222976725920618,0.641201101718799,0.009451714563368574,0.040633333333333334,0.040633333333333334,6400.0,4.735619035800678,10.0,1.0,1.0,431.01,0.5775280316930966,2.4540601275838667,0.6818993344927433,0.8951302891626998,0.8969813716582478,0.7603098554587866,0.8061885273859375,0.22573301346658456,1.0,1.0,9.896180825046933,3.230415814984229,0.13622134876596906,22.455086554096876,0.001,8.56493382707213,0.497,0.6317999999999999,0.616,0.649,0.09871875,0.13341444808454236,1.5462782539135833,2.089733306297036
dd_ablation,w/o_dd_validity,False,True,True,all_neighbor,0.6648,0.6554858923898869,0.6739875370974412,0.009250822353777166,0.047946666666666665,0.047946666666666665,275846.4,665.6234421476673,431.01,1.0,1.0,431.01,0.32313412146855786,0.8075716541980015,0.20802849636792461,0.23576396076439754,0.7116439779700551,0.5100413355987397,0.5419290811045542,-6.471923752532332,1.0,1.0,11.38193337621151,4.641962043740417,0.21530652630796085,28.671379782752343,0.006,10.025321495953303,0.568,0.6648000000000001,0.636,0.686,0.002410036890095357,0.0009987629009203605,0.04126185216196952,0.01709965823842852
dd_ablation,w/o_dd_fractional_loss,True,False,True,proposed_lagrangian,0.7502,0.741620220747915,0.7585876194082106,0.00848369933014781,0.04435443544354435,0.04435,19542.4,25.50705634539144,30.535,0.9999,1.0,430.98,0.3990958499405415,1.5100364076273045,0.30510354056110545,0.4021019434907499,0.8129873153885325,0.5887543205716863,0.652243733306934,-3.234118114971105,1.0,1.0,10.551259268257567,6.073893008233586,0.582284346020738,20.563096819241423,0.057,9.65686361780605,0.709,0.7502000000000001,0.733,0.766,0.038388324873096444,0.029411469118252234,0.5399162471476158,0.4136604053946016
dd_ablation,w/o_dd_fractional_loss,True,False,True,sense_sinr,0.7195,0.7106118233470363,0.7282195951752243,0.008803885914093978,0.04487448744874487,0.04487,19542.4,38.510005018274114,30.535,0.9999,1.0,430.98,0.40575679934318043,1.031576295037614,0.24887987194732972,0.2983196025490788,0.7551660560141966,0.5527486762368282,0.5952161680150478,-5.259449453350351,1.0,1.0,7.871737908073241,4.162274226687174,0.551769264471961,14.512988452405498,0.022,7.107952018671245,0.605,0.7194999999999999,0.704,0.733,0.03681738169313902,0.01868345640720058,0.40280302870032547,0.20440760535704613
