method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_D_cluster_ci95_low,P_D_cluster_ci95_high,P_D_cluster_ci95_half_width,P_D_weak,P_D_weak_cluster_ci95_low,P_D_weak_cluster_ci95_high,P_FA,P_FA_ci95_low,P_FA_ci95_high,P_FA_ci95_half_width,P_FA_cluster_ci95_low,P_FA_cluster_ci95_high,P_FA_cluster_ci95_half_width,P_FA_overall,P_FA_overall_ci95_low,P_FA_overall_ci95_high,P_FA_overall_ci95_half_width,B_mean_bits,B_std_bits,T_mean_ms,T_std_ms,selected_links_mean,selected_links_std,selected_observations_mean,selected_observations_std,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,receiver_capacity_max_utilization_mean,receiver_capacity_binding_rate,fusion_capacity_max_utilization_mean,fusion_capacity_binding_rate,report_capacity_utilization_mean,report_capacity_binding_rate,assignment_capacity_max_utilization_mean,assignment_capacity_binding_rate,cpu_capacity_max_utilization_mean,cpu_capacity_binding_rate,selector_score_evaluations_mean,coordination_messages_mean,bid_rounds_mean,bundle_column_count_mean,bundle_pricing_iterations_mean,bundle_lp_worst_deficit_bound_mean,detection_runtime_mean_ms,detection_runtime_p90_ms,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,paired_proposed_delta_P_D,paired_proposed_delta_ci95_low,paired_proposed_delta_ci95_high,paired_reference_method,paired_reference_delta_P_D,paired_reference_delta_ci95_low,paired_reference_delta_ci95_high,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
proposed_c2f_adaptive_pd,0.9764,0.9732367404948062,0.9791973724163777,0.00298031596078574,0.9734,0.9794,0.0030000000000000027,0.942,0.928,0.956,0.04867692926853808,0.04791031387253886,0.049455174140142666,0.0007724301338019046,0.047888835648148144,0.049437706018518525,0.0007744351851851905,0.04838,0.047617944906882016,0.0491536212342897,0.000767838163703842,480.64,870.2585767460151,0.8010666666666668,1.450430961243359,0.751,1.3597790261656488,12.101,3.1462356872936263,1.0,1.0,860.244,0.5304100292548655,3.973526750411772,3.366066221096635,3.4735191192258106,0.9994007606502044,0.9987713728480826,0.9989078857575496,3.697497630560619,1.0,1.0,977545.5437809363,255.5307569297396,26.42087301155969,7162.906596694587,860.244,61.278,0.9940322971361284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12673.894,12673.894,0.0,0.0,0.0,nan,0.0,0.0,0.726,9296.442492502321,0.955,0.9763999999999999,0.966,0.985,,,,proposed_c2f_adaptive_pd,0.0,0.0,0.0,2.031458055925433,1.2188748335552595,2033841.427640097,1220304.8565840581
exact_marginal_greedy,0.9408,0.9360029452780613,0.9452585093215397,0.004627782021739191,0.9360000000000002,0.9454000000000001,0.004699999999999982,0.897,0.878,0.916,0.04931873723678484,0.04854799302105209,0.05010107339703386,0.0007765401879908859,0.0485729537037037,0.050108898148148145,0.000767972222222222,0.049106666666666667,0.04833915309510393,0.049885727769221656,0.0007732873370588644,3283.84,1379.4693379702212,5.473066666666668,2.299115563283703,5.131,2.1554208405784707,11.728,2.9769138381888047,1.0,1.0,860.244,0.5304100292548655,2.784877105970434,1.131941528213375,1.3336517381131126,0.9964887121867442,0.9845767068508204,0.990735244007181,1.2100376751467035,1.0,1.0,181618.67591070567,81.87875004192358,11.079746585595455,2105.821776780928,0.0,0.0,0.9957232740513701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.388,4758.836638179058,0.891,0.9408,0.931,0.953,,,,proposed_c2f_adaptive_pd,0.03559999999999999,0.0311142635325227,0.04008573646747728,0.286493860845839,0.17189631650750337,55306.79811157232,33184.07886694339
sense_sinr,0.9784,0.9753615985002152,0.9810709783610577,0.0028546899304212614,0.9754,0.9812000000000001,0.0029000000000000137,0.925,0.908,0.941,0.049379361245303274,0.048607355479183226,0.050162981892904634,0.0007778132068607044,0.048584444444444444,0.05019075925925926,0.0008031574074074087,0.049063333333333334,0.048296143944993396,0.04984207136244687,0.0007729637087267385,2940.8,1404.355282683125,4.901333333333334,2.340592137805209,4.595,2.194305129192383,12.101,3.1462356872936263,1.0,1.0,860.244,0.5304100292548655,3.168318784127086,1.3397750051594108,1.5904528014250883,0.9879899520388395,0.9559019446575936,0.9703795902722209,2.05835161378498,1.0,1.0,5738867.393086823,1660.4961657433637,37.57535489606042,138439.0905932549,0.0,0.0,0.9940387882757078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.734,337156.02987969946,0.96,0.9783999999999999,0.972,0.985,,,,proposed_c2f_adaptive_pd,-0.0020000000000000005,-0.005048047932069999,0.0010480479320699987,0.3326985854189336,0.19961915125136015,1951464.7011312642,1170878.8206787584
