split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,selected_base_arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,dof_real,identifiable_fraction,ncp_unit,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,s_q_energy,post_ic_sinr,protect_dim,n_coefficients,calibration_error_db
calibration,0,1,0,0,30.0,tp_uic_full,tp_uic_full,0.022847998098617508,27.015019384210067,1,3,72.45764941759018,106.1633178192312,10,0.9976067932237984,52.61255788850304,10.103418057881509,10.10343726450094,3.156625833527148e-07,3.082345382665544e-08,3.082331751061578e-08,1.3631603965934235e-13,1.000471257679108,0.9843546250527132,1.0000079356417544,0.992993777420716,0.9553989194405256,1.946012534281979e-12,6.190336889843572e-05,45,5,51.86377218816507
calibration,0,1,0,1,30.0,tp_uic_full,tp_uic_full,0.02417875563016789,26.774439559020323,1,3,23.229838504202746,46.40613901674645,10,0.997242210992418,52.4634456012805,12.465613195330654,12.4656402589048,2.9865179125300824e-07,1.6927928046981795e-08,1.6927822558925305e-08,1.0548805648883205e-13,1.0000665604823167,0.9873449736026191,0.9999868061872261,0.9947571161910018,0.9489369332852305,1.939809447257069e-12,0.00011050265483884253,45,5,49.34792025883204
calibration,1,1,0,0,30.0,tp_uic_full,tp_uic_full,0.0028635923480850606,27.56106627130786,1,3,2.69436745243243,34.813939494699596,10,0.99674054183116,71.05491585879709,9.945259129350179,9.945282705473419,3.5795447415173995e-07,3.6249488447930815e-08,3.624929166438348e-08,1.967835473364253e-13,0.9999983230550149,1.0037103535460492,1.0000006184097439,0.9999969456376211,0.8137725785423382,3.09258393096904e-12,8.386166699740715e-05,45,5,52.65011667176865
calibration,1,1,0,1,30.0,tp_uic_full,tp_uic_full,0.003081125450442523,26.484823209450077,1,3,7.406884040958182,32.55157462404941,10,0.9968356880134364,71.06963931633403,10.845405879933807,10.845428036482986,2.7938525959417955e-07,2.2996561331198194e-08,2.2996444009158986e-08,1.1732203920830953e-13,1.0000357888720963,1.0027390807762597,0.9999996308985684,0.9999890207027452,0.7839261438661111,2.685747652555308e-12,0.00011369027890700527,45,5,50.745166998456675
calibration,2,1,0,0,30.0,tp_uic_full,tp_uic_full,0.466873565806976,27.921376042795977,1,3,2776.2656207336004,2522.5061508523263,10,0.9889397187956234,529.3952644548307,8.421647954541205,8.421659374093842,3.889186524208905e-07,5.59363310368904e-08,5.593618395534471e-08,1.4708154568831793e-13,1.0078127442378797,1.0211679502716877,0.9988777089136258,0.9796339369280465,0.9251637837854277,2.2908269483987985e-11,0.0004081615785707487,45,5,53.3220605957382
calibration,2,1,0,1,30.0,tp_uic_full,tp_uic_full,0.18997159808736616,28.000842310870297,1,3,196.21987252431762,207.54302379284323,10,0.9907469789802633,554.2180979686173,9.465476499585069,9.465484667120766,3.961005077243678e-07,4.479790960961317e-08,4.4797825360745855e-08,8.424886731219503e-14,1.0016509488355698,1.0026491939456341,0.9999349016988801,0.9943888327346004,0.9219407269697847,2.2994076802261367e-11,0.0005070281220753962,45,5,52.71125210711635
calibration,3,1,0,0,30.0,tp_uic_full,tp_uic_full,0.023431647059634853,24.77141649823495,1,3,5.164889696155966,13.93302190682806,10,0.9993849782303046,7.714106340161573,15.787806996960763,15.787981135109572,1.8830541883641563e-07,4.9668622797797195e-09,4.96666312853585e-09,1.991512438689793e-13,0.999883517264432,1.0001517028424016,0.999936949187271,0.999889639222337,0.9801004169187015,3.33301749952394e-13,5.956955610397649e-05,45,5,43.95005863035763
calibration,3,1,0,1,30.0,tp_uic_full,tp_uic_full,0.023895927303330546,26.626718574892557,1,3,32.2586087439574,34.36840546946717,10,0.9993395794345123,7.711951650619924,16.52488398315632,16.52497102604116,2.8866426598092626e-07,6.425465959874311e-09,6.4253371796313735e-09,1.2878024293756394e-13,0.99998387006061,1.00046406789466,0.9999433676962645,0.9997755513073716,0.9715249205587559,9.407103807465366e-14,1.3337289672655211e-05,45,5,45.094644479727364
calibration,4,1,0,0,30.0,tp_uic_full,tp_uic_full,0.0013116051132580585,32.63152132779773,1,3,7.613809745114407,8.991762005244095,10,0.8423897682846775,13.487128067937434,13.721199312265206,13.721213923807692,1.1504647083117322e-06,4.883749385106386e-08,4.883732954091359e-08,1.643101502736387e-13,1.0000098734196536,1.0007819800390056,0.9999958164526239,0.9999871943830132,0.9803833159390226,8.49716281459478e-13,1.7178249463569326e-05,45,5,53.96810062979452
calibration,4,1,0,1,30.0,tp_uic_full,tp_uic_full,0.0009902549235206509,31.777619965058513,1,3,5.563169949502356,13.88477427576094,10,0.842372221835272,13.487436682132987,12.396574034997057,12.39659334795465,9.45111754322692e-07,5.442842421335153e-08,5.442818217216629e-08,2.4204118524028345e-13,0.9999997331856977,1.0008340853717321,0.999993230398371,0.9999913096387398,0.983012117307638,8.195578153037613e-13,1.4885869182396202e-05,45,5,54.44286367372708
